mechanism_id,mechanism,evidence_status,rationale,repository_reference,claim_type,synthetic_promotion_check
A1,Genuine event-to-event excitation,PARTIALLY_SUPPORTED,"Pooled significance vs a homogeneous-Poisson null is consistent with this mechanism but not exclusive to it -- cannot be separated from A2-A8 without a comparator architecture that has not yet been built (Section 9, this instruction).",HAWKES_BASELINE_V2A residual validation report; project_markov_hawkes_models memory,AGENT_INTERPRETATION,NOT_APPLICABLE
A2,Nonstationary historical baseline,SUPPORTED,"Multiple independently corroborated regime-shift episodes (1626 monopoly/withdrawal, 1660 post-peace wave, 1682 post-alliance wave, 1694 Sas expedition, 1755-56 renovation wave) argue structurally against a constant baseline; already the subject of an explicit RESEARCHER_DECISION requiring a nonstationary/exposure-adjusted comparator before further use.",project_markov_hawkes_models memory; project_nias_1693_gap_evidence memory; RESEARCHER_DECISION (prior turn),SOURCE_SUPPORTED_CLAIM,"PASS -- evidence is corpus-historical (documented episodes cross-checked against primary sources), not a synthetic-DGP analogue promoted to historical-mechanism status."
A3,Document-density or archival-exposure variation,PARTIALLY_SUPPORTED,"Corpus size changed repeatedly across research calendar time as new source volumes were incorporated (n=113 to n=141 across sessions); no formal exposure covariate has been constructed to separate this from genuine occurrence clustering.",project_markov_hawkes_models memory; project_generale_missiven_corpus memory,SOURCE_SUPPORTED_CLAIM,NOT_APPLICABLE
A4,Survival/access variation,NOT_TESTABLE,"No systematic archival-survival covariate exists for this corpus at present; absence of a testing artifact, not a finding of no effect.",none located,AGENT_INTERPRETATION,NOT_APPLICABLE
A5,Source-volume or reporting bursts,PARTIALLY_SUPPORTED,"Same underlying evidence as A3 -- GM/CD volume additions are lumpy by source-publication unit, not continuous, which can generate apparent event bursts unrelated to occurrence timing.",project_generale_missiven_corpus memory,SOURCE_SUPPORTED_CLAIM,NOT_APPLICABLE
A6,Parent-episode fragmentation into multiple coded rows,PARTIALLY_SUPPORTED,"A dedup-adjudication artifact exists in-repository (HAWKES_BASELINE_V2_DEDUP_ADJUDICATION.csv) indicating some duplicate/episode review already occurred, but PARENT_EPISODE remains an unmodeled entity under the current ontology gate (G_ontology=0), so scope of that prior review relative to this specific mechanism is unverified in this operation.","HAWKES_BASELINE_V2_DEDUP_ADJUDICATION.csv (repository file, not re-read for content in this bounded operation)",REPOSITORY_FACT,NOT_APPLICABLE
A7,Duplicate or near-duplicate reports,PARTIALLY_SUPPORTED,"Same dedup-adjudication artifact applies most directly at the report level; degree of remaining residual duplication after that pass is not re-verified in this operation.",HAWKES_BASELINE_V2_DEDUP_ADJUDICATION.csv,REPOSITORY_FACT,NOT_APPLICABLE
A8,Date heaping and point substitution,PARTIALLY_SUPPORTED,"Documented GOTCHA: 48/101 (at the time) event-years share an identical coded year, requiring deterministic jitter; unconstrained MLE without bounds was shown to degenerate to a pathological delta-spike solution, confirming date-handling sensitivity in principle. A jitter-free MBPP comparator reproduced the branching ratio within 0.1%% of the production fit, partially but not fully mitigating this concern (covers one summary statistic, not kernel shape or peak timing).",project_markov_hawkes_models memory,SOURCE_SUPPORTED_CLAIM,NOT_APPLICABLE
A9,Latent common-cause clustering (shared external shock affecting multiple actors simultaneously),SUPPORTED,"Several documented cluster years read as VOC-wide or region-wide policy shocks hitting multiple forts together (1626 monopoly, 1680 general-alliance wave reflected in the 1682 peak, 1755 renovation wave) rather than sequential fort-to-fort contagion -- a latent-common-cause reading distinct from event-to-event excitation.",project_markov_hawkes_models memory,SOURCE_SUPPORTED_CLAIM,"PASS -- evidence is documented historical episodes, not a synthetic simulation result."
A10,Event-type heterogeneity (different action types coded as equivalent events),NOT_TESTABLE,"Existing stratification work (Siklus/Stabil/Sisa) is actor/fort-cluster heterogeneity, not action-type heterogeneity; no formal test of event-type pooling bias was located in the repository.",none located,AGENT_INTERPRETATION,NOT_APPLICABLE
A11,Spatial or actor heterogeneity,SUPPORTED,"Stratified per-archetype refit (2026-08-01 reproduction) found materially different branching ratios by fort cluster (Siklus 0.759 p<0.0001, Stabil 0.368 p=0.0031, Sisa not significant p=0.58) -- a reproduced, currently-standing finding, though the earlier 'Siklus-exclusive' framing of this same result did NOT replicate and was corrected.",project_markov_hawkes_models memory (2026-08-01 update),SOURCE_SUPPORTED_CLAIM,"PASS -- refit to the real corpus (n=109 labeled events), not a synthetic DGP; the finding is a model-behavior/heterogeneity result, not promoted here to a historical-causal claim (see C9, claim matrix)."
A12,Coding-policy variation,SUPPORTED,"A directly analogous coding-policy artifact was found and corrected elsewhere in this same corpus family: the `pelabuhan_disebut` field was contaminated by archive-index pages, filtered and validated, removing 76%% of noise from a downstream graph structure. Establishes precedent that coding-policy artifacts materially affect derived structures in this corpus, not a finding specific to Hawkes clustering itself.",feedback_register_page_contamination memory,SOURCE_SUPPORTED_CLAIM,"PASS -- direct in-corpus precedent, not a synthetic analogue."
