family_id,source_id,canonical_expression,provider_expression,field_code_mapping,boolean_operator_status,phrase_search_status,wildcard_status,proximity_operator_status,filter_translation_status,language_support_status,verification_status,execution_status,notes
C1,SRC-01,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_EXECUTED,"SRC-01's proposed domain coverage (S2,S4,S5,S6) does not include S1 (C1) per SLR_SEARCH_SOURCE_REGISTRY.csv - row retained per instruction, not deleted"
C1,SRC-02,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_EXECUTED,"SRC-02's proposed domain coverage (S2,S4,S5,S6) does not include S1 (C1) per SLR_SEARCH_SOURCE_REGISTRY.csv - row retained per instruction, not deleted"
C1,SRC-03,Q_C1^canonical = M_C1 AND H_C1^context (per SLR_SEARCH_STRING_REGISTRY.csv C1; not yet expressed as an executable boolean string),PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,LANGUAGE_PROVIDER_SUPPORT_PENDING_SLR_DEC_05,UNVERIFIED_NOT_EXECUTED,NOT_EXECUTED,SRC-03 claims coverage of domain S1 (C1) per SLR_SEARCH_SOURCE_REGISTRY.csv; no provider syntax feature asserted from memory - all fields pending the separate controlled source-verification turn
C1,SRC-04,Q_C1^canonical = M_C1 AND H_C1^context (per SLR_SEARCH_STRING_REGISTRY.csv C1; not yet expressed as an executable boolean string),PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,LANGUAGE_PROVIDER_SUPPORT_PENDING_SLR_DEC_05,UNVERIFIED_NOT_EXECUTED,NOT_EXECUTED,SRC-04 claims coverage of domain S1 (C1) per SLR_SEARCH_SOURCE_REGISTRY.csv; no provider syntax feature asserted from memory - all fields pending the separate controlled source-verification turn
C1,SRC-05,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_EXECUTED,"SRC-05's proposed domain coverage (S2,S4) does not include S1 (C1) per SLR_SEARCH_SOURCE_REGISTRY.csv - row retained per instruction, not deleted"
C1,SRC-06,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_EXECUTED,"SRC-06's proposed domain coverage (S4,S5,S6) does not include S1 (C1) per SLR_SEARCH_SOURCE_REGISTRY.csv - row retained per instruction, not deleted"
C1,SRC-07,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_EXECUTED,"SRC-07's proposed domain coverage (S3,S6) does not include S1 (C1) per SLR_SEARCH_SOURCE_REGISTRY.csv - row retained per instruction, not deleted"
C1,SRC-08,Q_C1^canonical = M_C1 AND H_C1^context (per SLR_SEARCH_STRING_REGISTRY.csv C1; not yet expressed as an executable boolean string),PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,LANGUAGE_PROVIDER_SUPPORT_PENDING_SLR_DEC_05,UNVERIFIED_NOT_EXECUTED,NOT_EXECUTED,SRC-08 claims coverage of domain S1 (C1) per SLR_SEARCH_SOURCE_REGISTRY.csv; no provider syntax feature asserted from memory - all fields pending the separate controlled source-verification turn
C1,SRC-09,Q_C1^canonical = M_C1 AND H_C1^context (per SLR_SEARCH_STRING_REGISTRY.csv C1; not yet expressed as an executable boolean string),PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,LANGUAGE_PROVIDER_SUPPORT_PENDING_SLR_DEC_05,UNVERIFIED_NOT_EXECUTED,NOT_EXECUTED,SRC-09 claims coverage of domain S1 (C1) per SLR_SEARCH_SOURCE_REGISTRY.csv; no provider syntax feature asserted from memory - all fields pending the separate controlled source-verification turn
C1,SRC-10,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_EXECUTED,"SRC-10's proposed domain coverage (S3,S6) does not include S1 (C1) per SLR_SEARCH_SOURCE_REGISTRY.csv - row retained per instruction, not deleted"
C1,SRC-11,Q_C1^canonical = M_C1 AND H_C1^context (per SLR_SEARCH_STRING_REGISTRY.csv C1; not yet expressed as an executable boolean string),PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,LANGUAGE_PROVIDER_SUPPORT_PENDING_SLR_DEC_05,UNVERIFIED_NOT_EXECUTED,NOT_EXECUTED,SRC-11 claims coverage of domain S1 (C1) per SLR_SEARCH_SOURCE_REGISTRY.csv; no provider syntax feature asserted from memory - all fields pending the separate controlled source-verification turn
C1,SRC-12,Q_C1^canonical = M_C1 AND H_C1^context (per SLR_SEARCH_STRING_REGISTRY.csv C1; not yet expressed as an executable boolean string),PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,LANGUAGE_PROVIDER_SUPPORT_PENDING_SLR_DEC_05,UNVERIFIED_NOT_EXECUTED,NOT_EXECUTED,SRC-12 claims coverage of domain S1 (C1) per SLR_SEARCH_SOURCE_REGISTRY.csv; no provider syntax feature asserted from memory - all fields pending the separate controlled source-verification turn
C1,SRC-13,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_EXECUTED,"SRC-13's proposed domain coverage (S2,S4,S5,S6) does not include S1 (C1) per SLR_SEARCH_SOURCE_REGISTRY.csv - row retained per instruction, not deleted"
C2,SRC-01,Q_C2^canonical = M_C2 AND H_C2^context (per SLR_SEARCH_STRING_REGISTRY.csv C2; not yet expressed as an executable boolean string),PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,LANGUAGE_PROVIDER_SUPPORT_PENDING_SLR_DEC_05,UNVERIFIED_NOT_EXECUTED,NOT_EXECUTED,SRC-01 claims coverage of domain S2 (C2) per SLR_SEARCH_SOURCE_REGISTRY.csv; no provider syntax feature asserted from memory - all fields pending the separate controlled source-verification turn
C2,SRC-02,Q_C2^canonical = M_C2 AND H_C2^context (per SLR_SEARCH_STRING_REGISTRY.csv C2; not yet expressed as an executable boolean string),PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,LANGUAGE_PROVIDER_SUPPORT_PENDING_SLR_DEC_05,UNVERIFIED_NOT_EXECUTED,NOT_EXECUTED,SRC-02 claims coverage of domain S2 (C2) per SLR_SEARCH_SOURCE_REGISTRY.csv; no provider syntax feature asserted from memory - all fields pending the separate controlled source-verification turn
C2,SRC-03,Q_C2^canonical = M_C2 AND H_C2^context (per SLR_SEARCH_STRING_REGISTRY.csv C2; not yet expressed as an executable boolean string),PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,LANGUAGE_PROVIDER_SUPPORT_PENDING_SLR_DEC_05,UNVERIFIED_NOT_EXECUTED,NOT_EXECUTED,SRC-03 claims coverage of domain S2 (C2) per SLR_SEARCH_SOURCE_REGISTRY.csv; no provider syntax feature asserted from memory - all fields pending the separate controlled source-verification turn
C2,SRC-04,Q_C2^canonical = M_C2 AND H_C2^context (per SLR_SEARCH_STRING_REGISTRY.csv C2; not yet expressed as an executable boolean string),PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,LANGUAGE_PROVIDER_SUPPORT_PENDING_SLR_DEC_05,UNVERIFIED_NOT_EXECUTED,NOT_EXECUTED,SRC-04 claims coverage of domain S2 (C2) per SLR_SEARCH_SOURCE_REGISTRY.csv; no provider syntax feature asserted from memory - all fields pending the separate controlled source-verification turn
C2,SRC-05,Q_C2^canonical = M_C2 AND H_C2^context (per SLR_SEARCH_STRING_REGISTRY.csv C2; not yet expressed as an executable boolean string),PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,PROVIDER_SYNTAX_REQUIRES_VERIFICATION,LANGUAGE_PROVIDER_SUPPORT_PENDING_SLR_DEC_05,UNVERIFIED_NOT_EXECUTED,NOT_EXECUTED,SRC-05 claims coverage of domain S2 (C2) per SLR_SEARCH_SOURCE_REGISTRY.csv; no provider syntax feature asserted from memory - all fields pending the separate controlled source-verification turn
C2,SRC-06,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_EXECUTED,"SRC-06's proposed domain coverage (S4,S5,S6) does not include S2 (C2) per SLR_SEARCH_SOURCE_REGISTRY.csv - row retained per instruction, not deleted"
C2,SRC-07,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_EXECUTED,"SRC-07's proposed domain coverage (S3,S6) does not include S2 (C2) per SLR_SEARCH_SOURCE_REGISTRY.csv - row retained per instruction, not deleted"
