# WORKING CROSS-CASE RESEARCH ARTIFACT
# NOT PRODUCTION DATA
# NO ONTOLOGY IMPLEMENTATION EXECUTED
relation_type,decision,supporting_cases,counterexamples,subject_types,object_types,directionality,temporal_requirements,source_requirements,claim_control_mapping,public_label_candidate,research_only_annotations,researcher_review_required,notes
REQUESTS_PROTECTION_FROM,MVP_CORE_RELATION,"CASE-01 (Muhammad Syah faction -> VOC, HIGH-adjacent evidence); CASE-05 (Soureradja -> VOC, HIGH evidence, self-narrated)",none among the 12 cases; not tested in CASE-03/04/06-12's own material,"Actor, ActorFaction",Institution,"directed, subject requests FROM object",valid_from mandatory; valid_to often marks transition to acceptance (PROVIDES_PROTECTION_TO),"source_document_ids + passage locator mandatory, per the reviewed artifact's own schema","UNKNOWN_EFFECTIVE_CONTROL (a request precedes any claim or grant, per the Painan artifact's own precedent)",Perlindungan (requested),local_stated_reason; mandate evidence,NO,"Cross-case stable across the 2 cases where it is directly evidenced (both with strong local-voice content: Muhammad Syah's own faction, Soureradja's own narrative)."
PROVIDES_PROTECTION_TO,MVP_CORE_RELATION,"CASE-01 (VOC -> Muhammad Syah faction, PWR03)",CASE-04/CASE-09/CASE-10's own recurring VOC-local relationships never use explicit protection language in the material reviewed -- this relation is NOT to be assumed present just because VOC and a local actor have an ongoing relationship,Institution,"Actor, ActorFaction",directed,valid_from mandatory; valid_to frequently open-ended pending a later claim/control observation,mandatory,CONTESTED_CONTROL is the most frequently observed value (CASE-01's own PWR03 finding),Perlindungan,commitment_credibility,NO,"Only CASE-01 supplies a fully-instantiated example in this project; CASE-03's Natal case uses explicit toll/reciprocal terms but the underlying protection language itself was not independently re-quoted in this review's own synthesis -- flagged for confirmation, not assumed."
REQUIRES_MONOPOLY_FROM,MVP_CORE_RELATION,"CASE-01 (VOC->Muhammad Syah faction, monopoly clause); CASE-03 (VOC->Natal regents, toll/cloth monopoly terms); CASE-05 (VOC/Aceh, pepper); CASE-06 (gold lease, 1737); CASE-09 (camphor/benzoin)",none reject,Institution,"Actor, ActorFaction, Community",directed,"valid_from mandatory, frequently open-ended",mandatory,"TREATY_OBLIGATION most common (stated term, distinct from enforcement)",Penguasaan dagang,commercial_strategy_candidate,NO,"The single most cross-case-stable commercial relation reviewed -- present in explicit, source-quoted form in at least 5 of 12 cases."
NEGOTIATES_WITH,MVP_CORE_RELATION,"CASE-01 (Groenewegen<->Muhammad Syah faction; Mansur Syah<->VOC); CASE-05 (Groenewegen<->Soureradja); CASE-11 (Sas, multi-site)",none reject,"IndividualOfficeHolder, Institution","IndividualOfficeHolder, Actor, ActorFaction, Institution","bidirectional in substance, but recorded as directed (subject negotiates with object) per the reviewed artifact's own convention",valid_from/valid_to mandatory,mandatory,UNKNOWN_EFFECTIVE_CONTROL (negotiation itself is not a claim),Negosiasi,"broker misrepresentation-risk flag (Groenewegen, Sas)",NO,"Directly reuses the Painan artifact's own already-validated NEGOTIATES_WITH pattern (2 instances in that artifact); the Groenewegen/Soureradja (CASE-05) and Sas (CASE-11) instances are candidate extensions, not yet instantiated as full relation records by this review."
RECONCILES_WITH,MVP_CORE_RELATION,"CASE-01 (Muhammad Syah faction -> Aceh court, Oct 1663, the pivotal counter-instance to clean patron substitution)","CASE-03's Oct 1760 Natal treaty is a RENEWAL after relapse, not itself a 'reconciles_with' act toward a rival power -- kept analytically distinct per this review's own §17 finding (reconciliation != replacement != renewal)","Actor, ActorFaction",Institution,directed,valid_from mandatory; frequently a point event with lasting consequence,mandatory,UNKNOWN_EFFECTIVE_CONTROL,Aliansi atau perubahan hubungan,patron_client_classification impact,YES,"Only 1 fully-instantiated case (CASE-01); CROSS_CASE_STABLE status cannot be confirmed from a single instance -- REQUIRES_MORE_EVIDENCE would also be defensible, but this review keeps it MVP_CORE given its structural centrality to the Painan artifact's own already-validated design."
MAINTAINS_PARALLEL_ALIGNMENT_WITH,REQUIRES_MORE_EVIDENCE,"CASE-01 ONLY (Muhammad Syah faction -> VOC, Oct 1663 onward, concurrent with RECONCILES_WITH toward Aceh)","CASE-02/Indrapura's own long alignment history (1636-1755) is SEQUENTIAL (Aceh->VOC->England->VOC), not concurrent; CASE-03/Natal's relapse-then-restoration is likewise sequential, not concurrent; CASE-10/Pariaman's repeated relapse cycle is also sequential","Actor, ActorFaction",Institution,directed,REQUIRES overlapping (not merely sequential) valid_from/valid_to windows with BOTH relations independently source-dated to the same period,"mandatory, and unusually strict: two independently-dated, concurrently-valid relations to different patrons","not directly applicable (an alignment-state annotation, not a control claim)",NOT RECOMMENDED for public display (too easily misread as contradiction/duplicity without careful framing),"strategic_hedging vs. reactive-improvisation distinction (PT-H7, unresolved in the Painan case itself)",YES,"DIRECT ANSWER to the governing plan's own §18 question: this relation type does NOT generalize beyond Painan in the case set reviewed here. Every other multi-patron case in this project (CASE-02, CASE-03, CASE-10) is better described as SEQUENTIAL switching (SWITCHES_ALIGNMENT_TO) than concurrent parallel alignment. Recommendation: PAINAN_SPECIFIC pending further evidence, not CROSS_CASE_STABLE."
SWITCHES_ALIGNMENT_TO,MVP_CORE_RELATION,"CASE-02 (Aceh->VOC 1662-63; VOC->England 1686; England->VOC 1716); CASE-03 (VOC->English influence, undated pre-1760; English->VOC via French intervention, 1760); CASE-05 (Aceh->VOC, 1662, single-direction); CASE-09 (Aceh->VOC/Minangkabau sphere, 1668); CASE-10 (repeated Aceh relapses, at least 4 cycles)","CASE-01's own Oct 1663 event is explicitly NOT a full switch (Muhammad Syah's faction maintains the VOC tie concurrently) -- kept distinct from CASE-01's own MAINTAINS_PARALLEL_ALIGNMENT_WITH, per §18","Actor, ActorFaction, Community",Institution,"directed, subject switches TO object (away from a prior, separately-recorded relation)",valid_from mandatory; the PRIOR relation's own valid_to should coincide or be explicitly left open where relapse is possible,mandatory,not directly applicable,Aliansi atau perubahan hubungan,patron_diversification vs. coercion distinction,NO,"This project's single most cross-case-stable alignment relation -- present in explicit, repeated form in 5 of 12 cases, far more common than the concurrent MAINTAINS_PARALLEL_ALIGNMENT_WITH pattern."
CLAIMS_JURISDICTION_OVER,MVP_CORE_RELATION,"CASE-01 (VOC->Muhammad Syah faction and ->Raja Adil faction, 2 instances); CASE-03 (implicit in the March 1760 cession's own ownership language); CASE-05 (Aceh->Tiku, 1641 toll policy)","none reject, but must always be paired with a SEPARATE effective-control test per §16 -- CASE-01/03/05 all directly illustrate a claim NOT automatically implying control",Institution,"Actor, ActorFaction, Community, Location",directed,claim date mandatory; must never be used to infer a control date,mandatory,"the DEFINING relation for this vocabulary -- CONTESTED_CONTROL (CASE-01), CLAIM/FORMAL_ACCEPTANCE (CASE-03), CLAIM only with no local-official evidence (CASE-05)",Klaim yurisdiksi,none beyond the claim/control fields themselves,"YES (per this review's own governing item 12: default review-required unless a primary passage explicitly and unambiguously supports the claim's full scope, reused from the Painan artifact's own rule)",This review's single most important relation type for enforcing the claim-vs-control discipline required throughout Part C of the governing plan.
EXERCISES_EFFECTIVE_CONTROL_OVER,EXTENDED_RESEARCH_RELATION,"CASE-03 ONLY (Senff's Oct 1760 posting, independently GM-confirmed)",CASE-04's entire 1670-1738 span never supplies a clean instance distinct from a renewed CLAIM; CASE-10's repeated relapse pattern likewise never supplies a durable instance,Institution,"Location, Actor, Community",directed,"requires an independently-observed date, not merely inferred from a treaty's own signing date","stricter than CLAIMS_JURISDICTION_OVER -- independent corroboration is preferred, per CASE-03's own model","EFFECTIVE_LOCAL_COMPLIANCE or ADMINISTRATIVE_CONTROL, never derived from treaty signing alone (§16's own explicit rule)",Kontrol benteng (fort-specific instances only) / Penguasaan dagang (commercial instances),duration-of-observed-control uncertainty,YES,"EXTENDED_RESEARCH_RELATION rather than MVP_CORE because only 1 of 12 cases supplies a genuinely clean instance meeting this review's own evidentiary bar -- most 'control' language elsewhere in the ledger is properly a CLAIM, not this relation."
CONTROLS_FORT,EXTENDED_RESEARCH_RELATION,"CASE-03 (Natal fort, the clearest test object in the whole review); CASE-07 (Batang Capas post)","CASE-04's Koto Tangah destructions never document fort CONTROL, only fort DESTRUCTION -- a materially different relation not to be conflated",Institution,Fort,directed,"a specific occupation/garrison date, distinct from any claim date",independent corroboration preferred,"FORT_CONTROL specifically, distinct from CLAIM",Kontrol benteng,none beyond the claim/control field,YES,Recommend keeping FORT_CONTROL and 'CONTROLS_FORT' conceptually distinct from the broader EXERCISES_EFFECTIVE_CONTROL_OVER -- a fort can be controlled without the surrounding territory/population being effectively controlled (CASE-03's own March/October 1760 gap).
CONTROLS_PORT,CASE_SPECIFIC_ONLY,"CASE-05 (Tiku as pelabuhan, no single controlling-actor relation directly instantiated in the material reviewed)",most cases document port ACCESS/monopoly relations (REQUIRES_MONOPOLY_FROM) rather than a distinct 'controls the port' relation,Institution,Port,directed,not clearly evidenced in any case reviewed as a distinct relation from REQUIRES_MONOPOLY_FROM,not established,"would map to COMMERCIAL_CONTROL, not yet evidenced distinctly",not recommended pending further evidence,none,YES,"This review finds no case where CONTROLS_PORT is evidenced as a relation distinct from REQUIRES_MONOPOLY_FROM or CONTROLS_FORT -- recommend folding into one of those two rather than retaining as its own type, pending further evidence."
