# WORKING CROSS-CASE RESEARCH ARTIFACT
# NOT PRODUCTION DATA
# NO ONTOLOGY IMPLEMENTATION EXECUTED
annotation_type,decision,supporting_cases,reason_not_relation,controlled_values,source_requirements,public_or_research_only,researcher_review_required,notes
PATRON_CLIENT_CLASSIFICATION,KEEP_AS_ANNOTATION,"CASE-01 (PARTIALLY_SUPPORTED, best dyad); CASE-03 (PARTIALLY_SUPPORTED, whole relationship); CASE-05 (explicit non-finding, too fragmented)","a classification of an underlying relation bundle, not itself a directed subject-object action with its own date/locator",PATRON_CLIENT_SUPPORTED | PATRON_CLIENT_PARTIALLY_SUPPORTED | PATRON_CLIENT_CONTESTED | PATRON_CLIENT_NOT_SUPPORTED | PATRON_CLIENT_NOT_TESTABLE,"requires the full 9-10 element test (asymmetry, protection, reciprocity, personalization, continuity, sanction, exit, client agency) documented per-dyad",research_only,NO,"Zero of the cases reviewed here reach PATRON_CLIENT_SUPPORTED; the evidentiary bar is met only partially by CASE-01/CASE-03, and explicitly not met at all by CASE-05 -- see §23 of the main review for the full cross-case decision."
POWER_DIMENSION,KEEP_AS_ANNOTATION,CASE-01 (all 9 relations); CASE-04 (coercive/classificatory/productive power),"a theoretical lens applied to an existing relation/event, not itself an observable action","FIRST_DIMENSION | SECOND_DIMENSION | THIRD_DIMENSION | RELATIONAL_AND_PRODUCTIVE | SYMBOLIC_CLASSIFICATORY | AUTHORITY_AND_LEGITIMACY (candidate vocabulary, not yet formally adopted per the Painan artifact's own ontology note)","attaches to an existing, already-sourced relation/event; no independent sourcing of its own",research_only,NO,"THIRD_DIMENSION and SYMBOLIC_CLASSIFICATORY remain the least-used values across this project's own material (concentrated in historiographical-reception questions, e.g. De Leeuw's aanvaarding/inbezitneming shift) -- not force-applied to every case."
IEMP_POWER_SOURCE,KEEP_AS_ANNOTATION,"CASE-01 (4-actor IEMP table, per the recovered deep dive)","a structured profile of an actor's own power sources, not a directed action","IDEOLOGICAL | ECONOMIC | MILITARY | POLITICAL, non-exclusive, never aggregated into one score","per-actor, per-dimension sourcing; explicitly non-exclusive",research_only,NO,Only CASE-01 has a fully-worked IEMP table in this project's material; not extended to other cases by this review.
COMMITMENT_CREDIBILITY,KEEP_AS_ANNOTATION,"CASE-01 (PARTIALLY_CREDIBLE, per §17 of the recovered deep dive); CASE-03 (PARTIALLY_CREDIBLE, Oct 1760 relation)","a game-theoretic assessment of an existing relation's own durability, not itself an observable action",CREDIBLE | PARTIALLY_CREDIBLE | LOW_CREDIBILITY | FAILED | NOT_TESTABLE,attaches to an existing relation; requires evidence of either fulfillment or breach over time,research_only,NO,"No case reviewed reaches CREDIBLE or FAILED at the extremes; PARTIALLY_CREDIBLE and NOT_TESTABLE dominate, consistent with this project's own repeated finding that commitments in this corpus are rarely cleanly kept or cleanly broken."
RESISTANCE_CANDIDATE,KEEP_AS_ANNOTATION,all 79 ledger rows carry this field,"a classification of an event's own political character, not itself a directed action with its own endpoints",SUPPORTED | PARTIALLY_SUPPORTED | NOT_SUPPORTED | NOT_TESTABLE,"requires an explicit local political target, demand, or grievance to move beyond NOT_TESTABLE","research_only, strictly -- see §24",NO,"Ledger-wide distribution: SUPPORTED=0, PARTIALLY_SUPPORTED=7, NOT_SUPPORTED=11, NOT_TESTABLE=61 -- see the main review's §22 for the full resistance decision and its explicit prohibition on public promotion."
EVIDENCE_STRENGTH,KEEP_AS_ANNOTATION,all 79 ledger rows,"a meta-evaluation of source quality, not an event itself",HIGH | MODERATE | LOW | CANNOT_DETERMINE,n/a (a judgment ABOUT sources),research_only,NO,"Ledger-wide: HIGH=5, MODERATE=42, LOW=32, CANNOT_DETERMINE=0 (no row in the 79 uses this value for evidence_strength itself, per the fixed-vocabulary validation run this turn)."
PROVENANCE_STATUS,KEEP_AS_ANNOTATION,"all 79 ledger rows (free-text, not one of the 4 batch-enforced fixed fields, but consistently populated)","describes the SOURCE'S own tier, not an event","CD_PRIMARY | CD_PARTIAL | CD_INDEPENDENT | MULTI_SOURCE_VERIFIED | PROVENANCE_AMBIGUOUS | secondary_academic (free-text extension used throughout I9-I11, not formally added to the artifact-level 5-value vocabulary)",n/a,research_only,YES,"NOTED DISCREPANCY, not silently resolved: the interpretive ledger's own provenance_status field uses a WIDER free-text vocabulary (including 'secondary_academic,' 'PROVENANCE_AMBIGUOUS,' compound descriptions) than the Painan artifact's own strict 5-value CLAIM_OR_EFFECTIVE_CONTROL-adjacent list -- this is because provenance_status is NOT one of this project's 4 batch-enforced fixed-vocabulary fields (only evidence_strength/source_asymmetry/resistance_candidate/interpretive_status are enforced per I9-I11's own explicit rule). A future ontology freeze should decide whether to formally converge these two vocabularies or keep them intentionally distinct (ledger-level source-tier vs. artifact-level relation-tier)."
INTERPRETIVE_STATUS,KEEP_AS_ANNOTATION,all 79 ledger rows,"describes the analytical maturity of a finding, not an event itself",SOURCE_DESCRIPTION_ONLY | MECHANISM_HYPOTHESIS | PROCESS_TRACING_SUPPORTED | CONTESTED | CANNOT_DETERMINE,n/a,research_only,NO,"Ledger-wide: SOURCE_DESCRIPTION_ONLY=33, CANNOT_DETERMINE=15, CONTESTED=11, PROCESS_TRACING_SUPPORTED=11, MECHANISM_HYPOTHESIS=9 (per this turn's own fresh count)."
SOURCE_ASYMMETRY,KEEP_AS_ANNOTATION,all 79 ledger rows,"describes whose voice the source represents, not an event itself",VOC_ONLY | VOC_DOMINANT | MIXED | LOCAL_VOICE_PRESENT | CANNOT_DETERMINE,n/a,research_only,NO,"Ledger-wide: VOC_DOMINANT=38, VOC_ONLY=36, MIXED=2, LOCAL_VOICE_PRESENT=2, CANNOT_DETERMINE=1 -- LOCAL_VOICE_PRESENT is this project's rarest value, concentrated in CASE-01 (Painan) and CASE-05 (Tiku row 33, Soureradja)."
CLAIM_OR_EFFECTIVE_CONTROL,KEEP_AS_ANNOTATION,"CASE-01 (full 10-value vocabulary tested); CASE-03 (CONTESTED_CONTROL, MILITARY_PRESENCE, FORMAL_ACCEPTANCE, TREATY_OBLIGATION)","a field ON a relation, per the Painan artifact's own already-validated schema, not itself a separate relation",CLAIM | FORMAL_ACCEPTANCE | TREATY_OBLIGATION | MILITARY_PRESENCE | FORT_CONTROL | COMMERCIAL_CONTROL | ADMINISTRATIVE_CONTROL | EFFECTIVE_LOCAL_COMPLIANCE | CONTESTED_CONTROL | UNKNOWN_EFFECTIVE_CONTROL,attaches to a PowerRelation with its own sourcing,"research_only (Level 2), though the underlying claim/control DISTINCTION itself should inform any public label choice",NO,This is the single most consistently and successfully applied annotation across this project's entire interpretive program -- see §14 of the main review.
