mapping_id,candidate_inventory,source_field,target_field,mapping_type,mapping_rule,semantic_loss,ambiguity,required_cross_reference,review_status
MAP-N-01,numerical,proposed_test_id,test_id,DIRECT,"copy verbatim",NO,NO,NONE,RESOLVED
MAP-N-02,numerical,source_operation_id,source_decision,CROSS_REFERENCE_REQUIRED,"source_decision's established vocabulary is NUM-DEC-* identifiers; OP-0x is a different identifier namespace (Wave-2 operation IDs, not numerical decisions) -- value would be preserved verbatim but reinterprets the column's established meaning",NO,YES,"WAVE_2_OD_005_EXACT_AMENDMENT_OPERATIONS.csv operation_id",UNRESOLVED
MAP-N-03,numerical,source_requirement,notes,LOSSLESS_COMBINATION,"append as a labeled sub-string within notes, sharing the field with 3 other combined sources below",NO,YES,NONE,UNRESOLVED
MAP-N-04,numerical,test_level,test_family,CROSS_REFERENCE_REQUIRED,"test_family's established vocabulary names model-component/decision families (e.g. M2-UNC); test_level names check-type categories (SCHEMA_VALIDATION, VALIDATOR_BEHAVIOR, MATHEMATICAL_INVARIANCE, CROSS_REFERENCE_INTEGRITY) -- different taxonomy, not interchangeable without adjudication",NO,YES,NONE,UNRESOLVED
MAP-N-05,numerical,input_fixture_future,notes,LOSSLESS_COMBINATION,"append as a second labeled sub-string within notes",NO,YES,NONE,UNRESOLVED
MAP-N-06,numerical,expected_behavior,purpose,DIRECT,"purpose field's existing usage already holds a single descriptive sentence of what the test checks; expected_behavior fits this role directly",NO,NO,NONE,RESOLVED
MAP-N-07,numerical,negative_condition,notes,LOSSLESS_COMBINATION,"append as a third labeled sub-string within notes",NO,YES,NONE,UNRESOLVED
MAP-N-08,numerical,historical_data_used,historical_data_prohibited,CROSS_REFERENCE_REQUIRED,"inverse-polarity transform: historical_data_used=NO implies historical_data_prohibited=YES under this repository's established convention (Phase D DO NOT RERUN, historical inference NOT_AUTHORIZED) -- not a literal copy, requires a documented transform rule",NO,YES,"WAVE_2_MATHEMATICAL_CONTRACT.md Phase D status",UNRESOLVED
MAP-N-09,numerical,status,status,DIRECT,"PLANNED_ONLY is already an observed value in this column's existing rows",NO,NO,NONE,RESOLVED
MAP-N-10,numerical,execution_stage,notes,LOSSLESS_COMBINATION,"append as a fourth labeled sub-string within notes -- combined with MAP-N-03/05/07 this collapses 4 distinct source fields into 1 shared free-text column",NO,YES,NONE,UNRESOLVED
MAP-A-01,amendment,proposed_test_id,test_id,DIRECT,"copy verbatim",NO,NO,NONE,RESOLVED
MAP-A-02,amendment,source_operation_id,source_proposal,CROSS_REFERENCE_REQUIRED,"source_proposal's established naming convention is PROPOSAL-nn; OP-0x differs in convention though conceptually analogous (both name the originating specification item)",NO,YES,"WAVE_2_OD_005_EXACT_AMENDMENT_OPERATIONS.csv operation_id",UNRESOLVED
MAP-A-03,amendment,source_requirement,NONE,NOT_REPRESENTABLE,"no target field exists; description is already consumed by expected_behavior (MAP-A-06)",YES,YES,NONE,UNRESOLVED
MAP-A-04,amendment,test_level,NONE,NOT_REPRESENTABLE,"no target field exists in the 7-column schema",YES,YES,NONE,UNRESOLVED
MAP-A-05,amendment,input_fixture_future,NONE,NOT_REPRESENTABLE,"no target field exists in the 7-column schema",YES,YES,NONE,UNRESOLVED
MAP-A-06,amendment,expected_behavior,description,DIRECT,"description's existing usage already holds a single descriptive sentence of what the test checks",NO,NO,NONE,RESOLVED
MAP-A-07,amendment,negative_condition,NONE,NOT_REPRESENTABLE,"no target field exists in the 7-column schema",YES,YES,NONE,UNRESOLVED
MAP-A-08,amendment,historical_data_used,uses_historical_data,DIRECT,"exact semantic match -- both fields ask the identical question with the identical YES/NO vocabulary",NO,NO,NONE,RESOLVED
MAP-A-09,amendment,status,implementation_status,CROSS_REFERENCE_REQUIRED,"implementation_status's observed vocabulary is execution-state-oriented (e.g. NOT_EXECUTED); PLANNED_ONLY is not an observed value in this column and forcing it in either invents a new enum value or discards the eligibility-only nuance PLANNED_ONLY specifically conveys",YES,YES,NONE,UNRESOLVED
MAP-A-10,amendment,execution_stage,NONE,NOT_REPRESENTABLE,"no target field, and no plausible existing field (conflicts_with_other_amendment is semantically unrelated)",YES,YES,NONE,UNRESOLVED
