formula_id,formula,classification,identity_verified,methodological_relevance,location,limitation,domain_bound,A_r_formula
F-01,lambda(t) = mu + sum alpha*exp(-beta*(t-ti))  [pooled exponential Hawkes intensity],STANDARD_IDENTITY_REQUIRING_PRIMARY_REFERENCE,yes,yes,"Laub, Lee, Pollett, Taimre (2024) arXiv:2405.10527, Sec 2.3-2.4","Admissible SLR corpus (DEC-06) has zero point-process-methodology sources; this reference is external, not SLR-admitted",Standard textbook Hawkes form; not extended beyond definition,1
F-02,eta = alpha/beta  [branching ratio],STANDARD_IDENTITY_REQUIRING_PRIMARY_REFERENCE,yes,yes,"Laub et al. 2024, Sec 2.3-2.4 (immigration-birth cluster representation)","External reference only, not SLR-admitted",Not extended,1
F-03,t_1/2 = ln(2)/beta  [kernel half-life],STANDARD_IDENTITY_REQUIRING_PRIMARY_REFERENCE,yes,yes,Elementary exponential-decay identity; no domain-specific source required,Trivial algebraic identity,Not extended,1
F-04,"lambda_bar = mu/(1-eta), eta<1  [stationary mean intensity]",STANDARD_IDENTITY_REQUIRING_PRIMARY_REFERENCE,yes,yes,"Laub et al. 2024, Sec 2.3-2.4 (stationarity condition)","External reference only, not SLR-admitted","Applies only if eta<1, correctly gated",1
F-05,"AIC=2k-2*loglik, BIC=k*log(n)-2*loglik",STANDARD_IDENTITY_REQUIRING_PRIMARY_REFERENCE,yes,yes,Standard information-criteria definitions (Akaike/Schwarz); no Hawkes-specific source needed,Well-known general statistics identity,Not extended,1
F-06,"Time-rescaling theorem: z_i=int(lambda_hat)du ~ Exp(1); u_i=1-e^-z_i ~ U(0,1)",SUPPORTED_WITH_LIMITATIONS,"yes (well-known point-process result, Papangelou/Ogata)",yes,Not independently confirmed against a specific admissible or externally-verified section this turn,"Exact section-level provenance (P_r) not confirmed this session; Kwan et al. 2024 abstract-only verified, does not itself state this theorem explicitly",n/a,0
F-07,"Bias, RMSE, Coverage, F_opt  [simulation-recovery diagnostics]",PROJECT_SPECIFIC_DESIGN_CHOICE,yes (standard Monte Carlo evaluation statistics),yes,General Monte Carlo methodology; no Hawkes-specific admissible source required,Not yet applicable — no simulation-recovery program has been run (H-05 FAIL),n/a,1
F-08,FPR_d  [false-Hawkes false-positive retention rate under synthetic null],PROJECT_SPECIFIC_DESIGN_CHOICE,yes (bespoke falsification design for this project),yes,"Project-specific anti-cocoklogi design, not drawn from an external methodological source",Not yet applicable — no false-Hawkes battery has been run (H-07 NOT_EVALUABLE),n/a,1
F-09,HHI = sum(p_s^2)  [source/episode concentration],STANDARD_IDENTITY_REQUIRING_PRIMARY_REFERENCE,"yes (Herfindahl-Hirschman Index, standard concentration measure)",yes,"Well-known economics/bibliometrics concentration index; descriptive use only, no threshold imposed",Descriptive only per instruction Sec.7,Not extended beyond descriptive use,1
F-10,"t_i^(b) ~ Uniform(L_i,U_i)  [date-uncertainty perturbation, if used]",EXPLORATORY_SENSITIVITY_CHOICE,yes,labeled as exploratory per instruction's own text,Instruction Sec.12 explicitly requires this label if uniform perturbation is used,Not yet used — no perturbation replicate program has run this turn,n/a,1
F-11,"M1/M3/M4/M5/M6 model forms (inhomogeneous baseline, exposure-adjusted, alternative kernel, multivariate/stratified)",SUPPORTED_WITH_LIMITATIONS,yes,yes,"Laub et al. 2024 Sec 2.10 (multivariate spectral-radius stability), Sec 2.3/3.1 (time-varying baseline / ETAS example)","External reference only, not SLR-admitted; none of these model variants have been fit this turn","Feasibility only, no fitting occurred",1
F-12,Non-exponential-kernel / non-stationary-baseline generalization (candidate for M5),SUPPORTED_WITH_LIMITATIONS,yes (identity/title/year confirmed),"yes, if M5 is ever attempted","Kwan, Chen, Dunsmuir (2024) arXiv:2408.09710 — abstract page verified only; full-text PDF extraction failed (binary/compressed)",Exact section-level content not independently verified this session,n/a,0
F-13,Branching-ratio estimation via empirical local point-process estimates (candidate alternative estimator),SUPPORTED_WITH_LIMITATIONS,identity/existence confirmed via WebSearch only,"yes, if used as alternative to MLE","Potiron, Scaillet, Volkov, Yu — direct PDF fetch failed (binary/compressed); WebSearch-only confirmation",Exact section-level content NOT independently verified; classification capped below DIRECTLY_SUPPORTED,n/a,0
F-14,"Archival ephemerality/bias framing for N(t)=O{H(t),O(t),S(t),C(t)} epistemic relation",SUPPORTED_WITH_LIMITATIONS,identity/existence confirmed via WebSearch only,yes (source-criticism framing),"SAA teaching case (Erin Dix), 'Exploring Ephemerality, Biases, and Silences in Archives' — PDF fetch failed; WebSearch-only confirmation",Exact page-level content NOT independently verified,n/a,0
