evidence_candidate_id,track,attempt_state,discovery_started_at,discovery_finished_at,search_or_navigation_method,official_identity_status,issuing_body_status,official_domain_or_authority,page_open_count,access_status,authentication_status,terms_or_policy_status,provenance_location_status,terminal_status,stop_reason,notes
EV-DEC06-A-01,TRACK_A,ATTEMPTED,2026-09-05T13:18:45Z,2026-09-05T13:22:00Z,WebSearch (no full-page fetch; snippet-level domain/identity verification only),VERIFIED,VERIFIED,training.cochrane.org (also cochrane.org),1,FEASIBLE,NONE_REQUIRED_PUBLIC,OPEN_ACCESS_HANDBOOK,IDENTIFIED,ACCESS_PATH_VERIFIED,,"Official Cochrane Handbook chapter on search strategy design (concept blocks, OR/AND structure); identity and issuing body confirmed via official cochrane.org/training.cochrane.org domain."
EV-DEC06-A-02,TRACK_A,ATTEMPTED,2026-09-05T13:18:45Z,2026-09-05T13:22:00Z,WebSearch (no full-page fetch; snippet-level domain/identity verification only),VERIFIED,VERIFIED,pmc.ncbi.nlm.nih.gov (PMC open-access copy); doi.org/10.1186/s13643-020-01542-z,1,FEASIBLE,NONE_REQUIRED_OPEN_ACCESS,OPEN_ACCESS_PUBLICATION,IDENTIFIED,ACCESS_PATH_VERIFIED,,"Official reporting-standard publication, open access via PMC; DOI resolvable via Crossref/doi.org."
EV-DEC06-A-03,TRACK_A,ATTEMPTED,2026-09-05T13:18:45Z,2026-09-05T13:22:00Z,WebSearch (no full-page fetch; snippet-level domain/identity verification only),VERIFIED,VERIFIED,cda-amc.ca,1,FEASIBLE,NONE_REQUIRED_FOR_OFFICIAL_PAGE,OFFICIAL_AGENCY_GUIDELINE_PAGE_OPEN; underlying journal copy (J Clin Epidemiol/ScienceDirect) may be subscription-gated,IDENTIFIED,ACCESS_PATH_VERIFIED,,Official issuing body confirmed (CADTH); guideline checklist hosted on CADTH's own domain.
EV-DEC06-A-04,TRACK_A,ATTEMPTED,2026-09-05T13:18:45Z,2026-09-05T13:22:00Z,WebSearch (no full-page fetch; snippet-level domain/identity verification only),PARTIAL,PARTIAL,training.cochrane.org (same Handbook as A-01),1,PARTIAL_FEASIBLE,NONE_REQUIRED_PUBLIC,OPEN_ACCESS_HANDBOOK,PARTIALLY_IDENTIFIED,ACCESS_PATH_PARTIALLY_VERIFIED,"discovery found only general language-restriction guidance, not a dedicated scholarly cross-language term-equivalence verification method as specifically sought","Identity of an issuing body (Cochrane) is verified, but the exact discovery objective (cross-language concept-equivalence verification method) is not matched by a dedicated document; only a general sub-topic within the Handbook."
EV-DEC06-A-05,TRACK_A,ATTEMPTED,2026-09-05T13:18:45Z,2026-09-05T13:22:00Z,WebSearch (no full-page fetch; snippet-level domain/identity verification only),NOT_FOUND,NOT_FOUND,NONE_IDENTIFIED,0,NOT_FEASIBLE_AS_SCOPED,NOT_APPLICABLE,NOT_APPLICABLE,NOT_IDENTIFIED,OFFICIAL_DOCUMENTATION_AREA_NOT_FOUND,search surfaced only general SR guidance (Cochrane/PRISMA) applied to humanities and scattered non-authoritative academic papers; no dedicated humanities-specific search-method issuing body or official guideline found,"Discovery did not locate an official, authoritative, humanities-specific search-methodology body or standard comparable to Cochrane/PRESS/PRISMA-S. Requires researcher review of whether to broaden discovery, accept a general-guidance substitute, or retire this discovery objective. | ADDENDUM (consolidated evidence turn, 2026-09-05): resolved to NO_DEDICATED_AUTHORITY_BUT_METHOD_EVIDENCE_AVAILABLE per SLR_DEC_06_EVIDENCE_COLLECTION_AND_READINESS_REPORT.md Sec.5 - no dedicated humanities-specific search-method issuing body exists, but discipline-general peer-reviewed methodological scholarship (citation-tracking protocol, Hirt et al. 2021) is available and admitted with an explicit scope limitation. Original discovery observation above is preserved unchanged."
EV-DEC06-A-06,TRACK_A,ATTEMPTED,2026-09-05T13:18:45Z,2026-09-05T13:22:00Z,WebSearch (no full-page fetch; snippet-level domain/identity verification only),PARTIAL,PARTIAL,"onlinelibrary.wiley.com (Campbell Systematic Reviews journal, official Campbell Collaboration publication venue)",1,PARTIAL_FEASIBLE,NONE_REQUIRED_OPEN_ACCESS_JOURNAL,OPEN_ACCESS_CAMPBELL_GUIDE,PARTIALLY_IDENTIFIED,ACCESS_PATH_PARTIALLY_VERIFIED,"known-item/seed-study validation is one section within a broader information-retrieval guide, not a dedicated standalone seed-validation methodology standard",Official issuing body (Campbell Collaboration) and access path verified; the exact discovery objective (a dedicated seed-validation method document) is only partially matched.
EV-DEC06-A-07,TRACK_A,ATTEMPTED,2026-09-05T13:18:45Z,2026-09-05T13:22:00Z,WebSearch (no full-page fetch; snippet-level domain/identity verification only),VERIFIED,VERIFIED,training.cochrane.org,1,FEASIBLE,NONE_REQUIRED_PUBLIC,OPEN_ACCESS_HANDBOOK,IDENTIFIED,ACCESS_PATH_VERIFIED,,Official Cochrane Handbook chapter distinguishing updates vs. amendments; MECIR standards referenced within.
EV-DEC06-B-01,TRACK_B,ATTEMPTED,2026-09-05T13:18:45Z,2026-09-05T13:22:00Z,WebSearch (no full-page fetch; snippet-level domain/identity verification only),VERIFIED,VERIFIED,service.elsevier.com / scopus.com,1,FEASIBLE,DOCUMENTATION_OPEN_NO_LOGIN; underlying Scopus platform requires institutional subscription,OFFICIAL_SUPPORT_CENTER_OPEN,IDENTIFIED,ACCESS_PATH_VERIFIED,,Official Elsevier/Scopus support-center domain confirmed.
EV-DEC06-B-02,TRACK_B,ATTEMPTED,2026-09-05T13:18:45Z,2026-09-05T13:22:00Z,WebSearch (no full-page fetch; snippet-level domain/identity verification only),VERIFIED,VERIFIED,webofscience.zendesk.com / clarivate.com,1,FEASIBLE,DOCUMENTATION_OPEN_NO_LOGIN; underlying WoS platform requires institutional subscription,OFFICIAL_SUPPORT_CENTER_OPEN,IDENTIFIED,ACCESS_PATH_VERIFIED,,Official Clarivate-run support domain confirmed.
EV-DEC06-B-03,TRACK_B,ATTEMPTED,2026-09-05T13:18:45Z,2026-09-05T13:22:00Z,WebSearch (no full-page fetch; snippet-level domain/identity verification only),VERIFIED,VERIFIED,support.jstor.org / guides.jstor.org,1,FEASIBLE,DOCUMENTATION_OPEN_NO_LOGIN; full-text access varies by institutional/individual access,OFFICIAL_SUPPORT_SITE_OPEN,IDENTIFIED,ACCESS_PATH_VERIFIED,,Official JSTOR-run support and LibGuides domain confirmed.
EV-DEC06-B-04,TRACK_B,ATTEMPTED,2026-09-05T13:18:45Z,2026-09-05T13:22:00Z,WebSearch (no full-page fetch; snippet-level domain/identity verification only),VERIFIED,VERIFIED,about.muse.jhu.edu / muse.jhu.edu,1,FEASIBLE,DOCUMENTATION_OPEN_NO_LOGIN; full-content access mostly institutional subscription,OFFICIAL_PUBLISHER_SITE_OPEN,IDENTIFIED,ACCESS_PATH_VERIFIED,,Official Johns Hopkins University Press domain confirmed.
EV-DEC06-B-05,TRACK_B,ATTEMPTED,2026-09-05T13:18:45Z,2026-09-05T13:22:00Z,WebSearch (no full-page fetch; snippet-level domain/identity verification only),VERIFIED,VERIFIED,libraries.acm.org / dl.acm.org,1,FEASIBLE,"DOCUMENTATION_OPEN_NO_LOGIN; DL content partially subscription-gated, some open access",OFFICIAL_ACM_TRAINING_RESOURCES_OPEN,IDENTIFIED,ACCESS_PATH_VERIFIED,,Official ACM domain confirmed.
EV-DEC06-B-06,TRACK_B,ATTEMPTED,2026-09-05T13:18:45Z,2026-09-05T13:22:00Z,WebSearch (no full-page fetch; snippet-level domain/identity verification only),VERIFIED,VERIFIED,arxiv.org,1,FEASIBLE,NONE_REQUIRED_FULLY_OPEN,FULLY_OPEN_ACCESS,IDENTIFIED,ACCESS_PATH_VERIFIED,,"Official arxiv.org domain; fully open, no authentication for documentation or content."
EV-DEC06-B-07,TRACK_B,ATTEMPTED,2026-09-05T13:18:45Z,2026-09-05T13:22:00Z,WebSearch (no full-page fetch; snippet-level domain/identity verification only),VERIFIED,VERIFIED,help.osf.io / osf.io,1,FEASIBLE,NONE_REQUIRED_FULLY_OPEN,FULLY_OPEN_ACCESS,IDENTIFIED,ACCESS_PATH_VERIFIED,,Official Center for Open Science domain confirmed.
