question_id,question,object,domain,evidence,alternatives,uncertainty_types,decision_rule
Q1,What is the event unit?,CORPUS_CODED_EVENT vs LATENT_HISTORICAL_EVENT vs DOCUMENTED_OR_REPORTED_EVENT vs PARENT_EPISODE,R-O1; WP-E4 adjudication protocol,"HAWKES_BASELINE_V2_EVENT_UNIT_ONTOLOGY.csv (repository, uncommitted); event_date_precision/provenance_status columns in the 141-row corpus (read-only reference, not mutated)",{one event = one row; one event = one episode; one event = one report},"U5 (ontological), U9 (coding)",Apply WP-E4's E_i^unit=1[I=B=G=P=1] test to example cases only; do not score AS86 in this operation
Q2,What is the report-to-event mapping?,ONE_TO_ONE vs MANY_TO_ONE vs ONE_TO_MANY vs UNRESOLVED,R-O2,"HAWKES_BASELINE_V2_REPORT_EVENT_RELATIONS.csv (repository, uncommitted, aggregate proxies only)",{atomic report table exists; only aggregate source-count proxy exists (current state)},"U5, U3 (model-form)","No schema mutation in this operation; record as an information requirement (WP-E7-style acquisition spec is out of scope here, tracked under R-O2 in the dependency ledger)"
Q3,What is the parent-episode relation?,PARENT_EPISODE membership correctness (not completeness),R-O3; WP-E4,"HAWKES_BASELINE_V2_PARENT_EPISODE_MEMBERSHIP.csv (repository, uncommitted); HAWKES_BASELINE_V2_DEDUP_ADJUDICATION.csv (repository fact, prior dedup pass)","{existing dedup pass already captures episode fragmentation; it captures only exact/near-duplicate reports, not episode-level fragmentation}","U5, U11 (mechanism underdetermination, MEC-07)",Requires source-grounded assignment rule per WP-E4; not resolved in this operation
Q4,What do event dates denote?,"event date, report date, dispatch date, receipt date, resolution date, compilation date, publication date, or unresolved role",R-O5; WP-E5,"event_date_precision column (7 categories, repository fact); documented GOTCHA on year-tied dates requiring jitter (project_markov_hawkes_models memory)",{all coded dates are event dates; some are report/compilation dates conflated with event dates},"U4 (measurement/date), U9",Apply WP-E5's date-role taxonomy prospectively; do not construct L_i/U_i bounds in this operation
Q5,Which documentary categories are source-native and which are project-imposed?,"event_type labels (perjanjian, konflik, administratif, diplomasi, suksesi)",R-O7; G_sourcecrit,"HAWKES_BASELINE_V2_COLONIAL_CATEGORY_MAPPING.csv (repository, uncommitted; 0/5 mapped)",{event_type is a literal source term; event_type is a project analytic label only (current documented state)},U8 (source-intent/category),Requires source-text extraction per WP-E3/WP-E7; not attempted in this operation
Q6,What archival opportunity or exposure information exists independently of the event outcome?,6 candidate exposure classes,R-O9; WP-E7,"HAWKES_BASELINE_V2_EXPOSURE_INFORMATION_REQUIREMENTS.csv (repository, uncommitted; 2/6 assessed, both circular)",{external ledger exists but unlocated; external ledger does not exist for this corpus period},"U6 (source-survival, no denominator for 4/6 candidates)",OPEN_CANDIDATE_DOMAIN preserved; no numerical exposure series collected in this operation (WP-E7 explicit prohibition)
Q7,What evidence can distinguish historical clustering from observation clustering?,MEC-01 (genuine excitation) vs MEC-02/03/04/05/09/12 (baseline/observation-process alternatives),WP-E8 mechanism-discrimination matrix,"corpus growth n=113->141 documented in discrete jumps (project_generale_missiven_corpus, project_markov_hawkes_models memory)",see MEC-01..MEC-14 in the mechanism register (11 live),U11 (mechanism underdetermination),No comparator architecture built in this operation; discrimination remains design-only per WP-E9
Q8,"What evidence can distinguish duplicate, corroboration, editorial reference, and distinct event?",H-DEDUP06-A (same event) vs H-DEDUP06-B (second event) vs H-DEDUP06-C (citation artifact),R-O4/DEDUP-06; WP-E6,"HAWKES_BASELINE_V2_DEDUP06_ABDUCTIVE_MATRIX.csv (repository, uncommitted); the RGP cross-reference 'Corpus III, nr. D' itself","3 live hypotheses, no discriminating observation currently exists","U5, U6, U9","DEDUP-06 remains UNRESOLVED; WP-E6 dossier specifies retrieval route only, does not resolve it"
Q9,What comparator prerequisites could become empirically valid?,"M1 (nonstationary Poisson), M3 (nonstationary/exposure-adjusted Hawkes) readiness (O,T,E,I,P components)",R-O10; WP-E9,"HAWKES_BASELINE_V2_COMPARATOR_PREREQUISITE_MAP.csv (repository, uncommitted; R_m^now=0 for both M1 and M3)",{prerequisites resolve via schema extension only; prerequisites require deep ontology remediation},"U3, U11",FEASIBLE_CONDITIONALLY preserved as distinct from FEASIBLE_NOW; no fitting authorized
Q10,What remains irreducibly not evaluable?,R_record/R_survival components of R-O8 (structurally unobservable from this project's holdings alone),R-O8; Section 3 epistemic boundary,"HAWKES_BASELINE_V2_OBSERVATION_PROCESS_REGISTER.csv (repository, uncommitted)",{improvable with future archival-survival ledger; permanently unobservable in principle},"U6 (without denominator), U7","Recorded as NOT_EVALUABLE by structural limitation, not by omission; no forced numerical closure"
