decision_id,topic,source_requirement,mathematical_object,current_status,candidate_options,options_rejected,rejection_basis,required_evidence,upstream_dependency,downstream_impact,resolution_stage,historical_data_required,calibration_required,implementation_required,authorized_by,notes
OD-001,M0 score-check tolerance epsilon_s,REQ-M0-003,epsilon_s,OPEN_REQUIRES_ADJUDICATION,relative-to-scale tolerance; absolute fixed tolerance; percentile-of-synthetic-null-distribution tolerance,arbitrary round number (e.g. 1e-4) chosen without evidence,instruction explicitly prohibits arbitrary selection (S7.4),synthetic M0 pilot computational check producing a distribution of ||s(theta_hat)||_inf under correct specification,"REQ-M0-002,REQ-M0-003",REQ-M0-008 (M0 gate),future implementation wave (post-Wave-2),NO,YES (synthetic only),YES,PENDING,"must be set from synthetic evidence, not trial-and-error against real data results"
OD-002,"M0 Hessian symmetry/reference tolerances E_sym, E_H",REQ-M0-005,"E_sym, E_H",OPEN_REQUIRES_ADJUDICATION,fixed relative-Frobenius-norm tolerance; scale-adaptive tolerance keyed to condition number,tolerance selected post-hoc to make a known result pass,explicit prohibition (S7.6): must not be set via trial-and-error against final results,synthetic analytic-vs-numeric Hessian comparison across representative parameter regimes,"REQ-M0-004,REQ-M0-005",REQ-M0-008,future implementation wave,NO,YES (synthetic only),YES,PENDING,
OD-003,Parameterization for optimization vs. reporting space (Package A),"REQ-M0-006,REQ-M2-001","theta, eta, n",OPEN_REQUIRES_ADJUDICATION,"(mu,alpha,beta) direct; (mu,n,beta) direct; fully unconstrained transformed eta with n=logit^-1(eta_n)",none formally rejected yet -- all 3 remain candidates,"n/a (brainstorming stage, not adjudication)",identifiability/optimization-stability comparison under synthetic near-critical and near-null regimes,REQ-M0-006,"REQ-M2-001,REQ-M2-007,REQ-M3-001 (n=0 representability)",future implementation wave,NO,YES (synthetic),YES,PENDING,must also resolve how the logit-based unconstrained transform interacts with the exact-null requirement (n=0 unreachable under naive logit -- same defect class as M3-BLOCK-01)
OD-004,Exact-null representability under unconstrained transform,"REQ-M0-006,REQ-M2-010,REQ-M3-001","n, eta_n",OPEN_REQUIRES_ADJUDICATION,explicit nested null submodel with separate parameter space (no eta_n at all under H0); piecewise transform with a hard n=0 branch; hurdle/mixture representation,naive logit^-1(eta_n) transform alone (structurally excludes n=0 for any finite eta_n),"confirmed defect for both the historical M3 sampler (M3-BLOCK-01) and, by the same math, any naive M2 unconstrained reparameterization","design review confirming the chosen representation reaches n=0 exactly in at least one code path, with a passing unit test","REQ-M0-006,REQ-M2-010,REQ-M3-001","REQ-M2-011,REQ-M3-009 (both depend on a valid null submodel)",future implementation wave,NO,NO,YES,PENDING,directly linked to M3-BLOCK-01; must not be closed by planning alone
OD-005,AbsBias as adopted exact-null acceptance metric,REQ-M2-005,AbsBias_c,OPEN_REQUIRES_ADJUDICATION,AbsBias_c as proposed; a different exact-null-specific metric; RelBias with a regularized denominator (rejected in spec S8.4 discussion),"RelBias at n_c=0 (mathematically undefined, division by zero)",undefined at the exact-null point (S8.4),explicit researcher review confirming AbsBias against frozen NUM-DEC-01/02 documents (flagged in S8.4 as still needed),REQ-M2-005,REQ-M2-008 (acceptance-criterion registry),future adjudication turn (not Wave 2 planning),NO,NO,NO,PENDING,
OD-006,Primary M2 coverage metric: Coverage_c vs CoverAndValid_c,REQ-M2-008,"Coverage_c, CoverAndValid_c",OPEN_REQUIRES_ADJUDICATION,"Coverage_c (conditional on valid interval, always reported with failure rate); CoverAndValid_c (unconditional, attempted-denominator)",none formally rejected -- both remain candidates pending NUM-DEC review,instruction requires checking against NUM-DEC and frozen spec before adopting a new primary metric (S8.7),cross-check against NUM-DEC-01/02's own metric-denominator language,REQ-M2-008,"REQ-M2-009 (MCSE target), acceptance-criterion registry",future adjudication turn,NO,NO,NO,PENDING,
OD-007,"Profile-likelihood design: grid, refinement, nuisance optimization, warm start, endpoint search, disconnected sets, boundary handling, failure rules, interpolation, monotonicity (Package C)",REQ-M2-007,"ell_p(n), D(n), C_1-gamma",OPEN_REQUIRES_ADJUDICATION,fixed uniform grid then local refinement near D(n)=c; fully adaptive bisection/golden-section endpoint search; hybrid,none formally rejected -- 10 sub-questions all open,brainstorming stage per S8.6,"future implementation-design review; synthetic profile-shape stress tests (unimodal, ridge, boundary-touching)",REQ-M2-007,"REQ-M2-008,REQ-M2-011,REQ-M2-012",future implementation wave,NO,YES (synthetic),YES,PENDING,
OD-008,"M2 exact-null bootstrap design: B, seed hierarchy, failed-fit policy, denominator policy, adaptive extension, critical-value estimation, exact-null generation contract, nonfinite/negative-LR treatment, calibration-validity acceptance criteria (Package D)",REQ-M2-011,"B, Lambda(Y), Y*(b)",OPEN_REQUIRES_ADJUDICATION,"fixed B (e.g. 999, 1999 -- illustrative only, not adopted); sequential/adaptive B with a stopping rule keyed to target MCSE",none formally rejected -- 11 sub-questions all open,brainstorming stage per S9.4,future implementation-design review; MCSE-target-driven B selection once a target MCSE is itself adjudicated,"REQ-M2-011,REQ-M2-010","REQ-M2-012,WAVE_2_TAU_CALIBRATION_PREREGISTRATION.md (same bootstrap machinery pattern reused for M3 comparison in principle)",future implementation wave,NO,YES (synthetic),YES,PENDING,
OD-009,"M3 within-model priors for mu, beta, n (Package E)",REQ-M3-006,"p(mu|M_k), p(beta|M1), p(n|M1)",OPEN_REQUIRES_ADJUDICATION,"weakly informative conjugate-adjacent priors (e.g. Normal on log mu, Gamma on beta, Beta on n); reference/objective priors; empirical-Bayes-informed priors (would require historical data, explicitly disallowed for this purpose)",empirical-Bayes priors derived from historical data are rejected as a basis,instruction S10.5 and general historical-data prohibition (S4) forbid deriving priors from the very data being analyzed,prior-predictive check results under synthetic generating processes; properness verification; bridge-sampling compatibility check,"REQ-M3-002,REQ-M3-006","REQ-M3-003,REQ-M3-004,REQ-M3-005,REQ-M3-009 (all downstream of a proper prior)","future adjudication turn, likely a new NUM-DEC-style decision (not Wave 2 planning)",NO,"YES (prior-predictive, synthetic)",YES,PENDING,directly linked to M3-BLOCK-06 (internal parameter priors not yet versioned/frozen)
OD-010,"Bridge sampling design: sampling space, transform+Jacobian, proposal g, bridge function h, draw counts, chain rules, convergence diagnostics, ESS requirements, repeated-run stability, overflow/underflow safeguards, log-scale computation, failure taxonomy, uncertainty estimate, reproducibility (Package F)",REQ-M3-009,"Z, g(theta), h(theta)",OPEN_REQUIRES_ADJUDICATION,optimal bridge function (Meng & Wong); geometric bridge; warp-II bridge sampling variants,none formally rejected -- 15 sub-questions all open,brainstorming stage per S11,future implementation-design review; toy-model validation against a known-closed-form Z before any real use,"REQ-M3-003,REQ-M3-006,REQ-M0-006","REQ-M3-004,REQ-M3-011",future implementation wave,NO,YES (synthetic toy model),YES,PENDING,"directly linked to M3-BLOCK-02,03,04"
