work_package_id,case_scope,objective,input_source_ids,source_class,current_verification_status,required_action,success_criterion,blocked_by,prohibited_inference,output_artifact,execution_status
S1-WP01,PAINAN_1663,Resolve bibliographic identity and edition status of Het Painansch Contract,PS-01,PUBLISHED_PRIMARY_OR_DOCUMENT_EDITION,REQUIRES_FOLIO_OR_EDITION_CHECK,"Confirm publisher, edition year, and whether the text reproduces the archival treaty verbatim or is a scholarly synthesis around it","source_class confirmed as either PUBLISHED_PRIMARY_OR_DOCUMENT_EDITION or COLONIAL_SYNTHESIS, with citation-grade edition metadata recorded",NONE,Do not treat De Leeuw's edition as identical to the original archival contract,future S2 bibliographic-identity note (not created this turn),PLANNED_ONLY
S1-WP02,PAINAN_1663,Locate and classify the 1662 Batangkapas antecedent source,PS-17,UNVERIFIED_REFERENCE,UNVERIFIED,Search literature and indexed CD volumes for a citable Batangkapas 1662 reference,at least one bibliographic or archival reference identified and classified into an allowed source_class,S1-WP03,Do not assume Batangkapas 1662 caused or explains the Painan treaty,future source-registration entry (not created this turn),PLANNED_ONLY
S1-WP03,BOTH,"Index relevant CD1-CD6 volumes by document, date, place, actor, and folio or page position","PS-03,PS-04,PS-05,PS-06,PS-07,PS-08,IS-07",UNVERIFIED_REFERENCE,PATH_VERIFIED,Build a document/date/place/actor/position index per volume,each volume has a topic and date-range index entry sufficient to determine relevance to Painan or Indrapura,NONE,Do not assume any volume covers Painan or Indrapura before index confirmation,future CD volume-to-topic index (not created this turn),PLANNED_ONLY
S1-WP04,PAINAN_1663,Resolve Kathirithamby-Wells citation and source-use boundary,"PS-02,IS-08",SECONDARY_SCHOLARSHIP,PATH_VERIFIED / CITED_ONLY_NOT_YET_LOCATED,Open and cross-check PS-02 content against cited claims; determine whether IS-08 (1760-85 PhD thesis) is in scope for this 1680-1730 workstream or should be excluded as out-of-window,PS-02 content opened and cross-checked; IS-08 either located or formally excluded with rationale,NONE,Do not treat Kathirithamby-Wells's interpretation as established fact rather than secondary scholarship,future citation-boundary note (not created this turn),PLANNED_ONLY
S1-WP05,INDRAPURA_EIC,Locate or register a source-faithful local copy of Veevers,IS-04,UNVERIFIED_REFERENCE,CITED_ONLY_NOT_YET_LOCATED,"Acquire and register a local copy, or formally log as unavailable with rationale","IS-04 verification_status upgraded to PATH_VERIFIED or FILE_VERIFIED, or explicitly logged as MISSING_LOCAL_COPY",NONE,Do not summarize or infer Veevers's content from the audited plan's citation alone,future source-acquisition log entry (not created this turn),PLANNED_ONLY
S1-WP06,INDRAPURA_EIC,Locate EIC Fort York / Batang Capas materials,IS-05,UNVERIFIED_REFERENCE,CITED_ONLY_NOT_YET_LOCATED,"Trace the session-memory reference (commit 6b6fba3) and locate the underlying file, or confirm it was never committed","IS-05 resolved to a repository file, or formally logged as LOCAL_FILE_MISSING with a documented commit-trace result",NONE,Do not assume Fort York material does not exist because it is not currently locatable,future commit-trace / source-location note (not created this turn),PLANNED_ONLY
S1-WP07,INDRAPURA_EIC,Audit EIC-side Indrapura coverage,"IS-01,IS-05,IS-06,IS-07,IS-08",REPOSITORY_DERIVED_ARTIFACT / UNVERIFIED_REFERENCE,MIXED (see individual source rows),Systematically catalog EIC-originated material versus VOC-only material for the 1680-1730 window,an explicit coverage map distinguishing VOC-side from EIC-side sources is produced,"S1-WP05,S1-WP06",Do not conclude EIC's role or intent from the absence of EIC-side sources,future EIC-side coverage audit (not created this turn),PLANNED_ONLY
S1-WP08,PAINAN_1663,Audit the provenance of Painan relational JSON and working CSV files,"PS-09,PS-10,PS-11,PS-12,PS-13,PS-14,PS-15,PS-16",REPOSITORY_DERIVED_ARTIFACT / WORKING_RESEARCH_DATA,FILE_VERIFIED / PATH_VERIFIED,Trace each repository-derived artifact back to the primary or secondary source(s) it was coded from,"each PS-09..PS-16 entry has a documented source chain back to PS-01, PS-02, or an indexed CD volume, or is explicitly flagged as ungrounded","S1-WP01,S1-WP03,S1-WP04",Do not treat these repository-derived files as primary evidence themselves,future provenance-trace note (not created this turn),PLANNED_ONLY
S1-WP09,INDRAPURA_EIC,Audit the source coverage of INDERAPURA_EPISODE_DOSSIER_DRAFT.md,"IS-01,IS-06,IS-07",REPOSITORY_DERIVED_ARTIFACT,FILE_VERIFIED,Confirm every claim in the dossier maps to a specific Vogel or CD4 citation with a stated position,a full read and citation cross-check is completed and any coverage gaps are logged,"S1-WP03,S1-WP06",Do not treat the dossier's existing narrative as independently verified beyond its cited sources,future dossier source-coverage audit (not created this turn),PLANNED_ONLY
S1-WP10,BOTH,Define source-position citation rules before claim entry,NONE,NONE,NOT_APPLICABLE_METHODOLOGY_TASK,"Draft exact folio, page, or paragraph citation-granularity rules",a citation-granularity rule set is drafted and available for review,NONE,NONE,S1_SOURCE_ADMISSIBILITY_AND_PROMOTION_RULES.md (drafted this turn; not yet applied to any source),PLANNED_ONLY
