"gap_id","case","evidence_sought","why_it_matters","linked_prior_artifact","linked_ontology_component"
"GAP-NATAL-01","Natal 1760","English and French perspectives on the fort transfer (contrasting the CD6/VOC-only account)","Only VOC-side sources (CD6) exist in the frozen Batch I9 scope -- an independent English or French account would test source_asymmetry=VOC_ONLY and could change evidence_strength on the March/English/French relations","natal_1760_relational_validation_artifact.json (REL_CONTROLS_FORT_ENGLISH_NATAL / REL_CONTROLS_FORT_FRENCH_NATAL)","claim_or_effective_control; evidence_strength; source_asymmetry"
"GAP-NATAL-02","Natal 1760","Correspondence by/about van Moschel or commandeur Senff beyond the two CD6 treaty excerpts already used","Would let the artifact move REL_CONTROLS_FORT_VOC_OCTOBER and the March claim relation from CD_PARTIAL toward CD_FULL/MULTI_SOURCE_VERIFIED","natal_1760_relational_validation_artifact.json","provenance_status; evidence_strength"
"GAP-NATAL-03","Natal 1760","Batavia's own deliberation record on whether to accept the March 1760 cession","Directly targets the one genuine ontology failure (T-06) found in V1 -- independent evidence of HOW Batavia's hesitation was resolved could inform whether it deserves a dedicated annotation vs. remaining process-tracing narrative only","NATAL_1760_ONTOLOGY_STRESS_TEST.csv test T-06","ANNOTATION_NOT_RELATION candidate (not yet created); claim_or_effective_control"
"GAP-NATAL-04","Natal 1760","Any source distinguishing persuasion from force in the English-influence relapse (currently only the October treaty's own compound retrospective clause)","Could resolve REL_SWITCH_REGENTS_TO_ENGLISH's interpretive_status from CONTESTED toward a determinate value, or could instead reinforce that CONTESTED is correct","natal_1760_relational_validation_artifact.json (REL_SWITCH_REGENTS_TO_ENGLISH)","interpretive_status; explicit_or_inferred"
"GAP-NATAL-05","Natal 1760","Independent confirmation of local-actor mandate (Radja-putti-katy / Sulthan Bagindo Maharadja-Lelo / hoofdregent Baginda Maharadja Lello identity question)","Could resolve or further evidence the possible_same_actor flag between the March and October signatories","natal_1760_relational_validation_artifact.json (actor identity_confidence fields)","identity rule (Draft V2 section 4/10)"
"GAP-NATAL-06","Natal 1760","Any source drawing an explicit fort-vs-territory distinction for Natal (as opposed to this artifact's own inferred restraint)","Would independently corroborate (or challenge) this artifact's deliberate choice of CONTROLS_FORT over EXERCISES_EFFECTIVE_CONTROL_OVER (stress-test T-15)","NATAL_1760_ONTOLOGY_STRESS_TEST.csv test T-15","claim_or_effective_control granularity"
"GAP-PAINAN-01","Painan Tractaat 1663","Metadata or a legally-reproducible copy of De Leeuw 1926","Painan's own artifact and prior deep-dive relied on secondary excerpts; a primary or fuller legal-history copy could change evidence_strength for several Painan relations","painan_1663_relational_research_artifact.json","evidence_strength; provenance_status"
"GAP-PAINAN-02","Painan Tractaat 1663","Kroeskamp 1931","Same rationale as GAP-PAINAN-01 -- a second independent secondary-historiography source for cross-corroboration","painan_1663_relational_research_artifact.json","evidence_strength"
"GAP-PAINAN-03","Painan Tractaat 1663","Non-VOC or Aceh-side evidence of the 1663 treaty","Painan's whole ledger is VOC_ONLY per source_asymmetry; any Aceh-side material would be the first non-VOC voice in this case, directly testable against the cross-case review's own source_asymmetry finding","painan_1663_relational_research_artifact.json (vocabulary_notes)","source_asymmetry"
"GAP-PAINAN-04","Painan Tractaat 1663","Signatory mandate documentation (who had authority to bind whom)","Tests whether the Painan artifact's existing RECOGNIZES_OFFICE_HOLDER relations rest on a documented mandate or only on the treaty's own self-description","painan_1663_relational_research_artifact.json","identity rule; commitment_credibility"
