evidence_candidate_id,track,evidence_class,DEC06_component,candidate_source_or_issuing_body,candidate_document_title_or_documentation_area,discovery_path,access_path,expected_authority_basis,expected_provenance_location,collection_action,prohibited_action,predecessor_candidate_id,escalation_condition,execution_status,stop_condition,notes
EV-DEC06-A-01,TRACK_A,SYSTEMATIC_REVIEW_SEARCH_GUIDELINE,concepts;variants;risk,systematic-review methods clearinghouse or professional body (class only; specific issuing body not yet identified),"guidance on Boolean concept-block construction, lexical/spelling variant coverage, and breadth-narrowness risk assessment without arbitrary thresholds",identify an authoritative systematic-review search-methodology guideline addressing concept-block construction and sensitivity/specificity/breadth-narrowness assessment,ACCESS_PATH_PENDING_CONTROLLED_DISCOVERY,issuing body recognized as a systematic-review methods standard-setter or peer-reviewed methodological venue,"exact section/page of the specific document, once identified","locate and cite the specific issuing body, document title, and section once discovered; do not access or open content in this turn","do not access, open, retrieve, or verify any specific document in this turn; do not name a specific publication from memory",NONE (entry candidate),not evaluated in this turn,PLANNED_ONLY,stop this branch if no issuing body meeting the expected authority basis can be identified without inventing one,"planning provenance: SLR_DEC_06_EVIDENCE_DISCOVERY_REGISTRY.csv row ED-01; SLR_DEC_06_COMPONENT_EVIDENCE_REQUIREMENT_MATRIX.csv rows K6-01,K6-02,K6-06"
EV-DEC06-A-02,TRACK_A,SEARCH_STRATEGY_REPORTING_STANDARD,filters;reporting,reporting-standard issuing body (class only; specific issuing body not yet identified),reproducible search-strategy reporting requirements and filter-rationale/recall-consequence disclosure standards,identify an authoritative reporting standard covering complete reproducible search reporting and filter documentation,ACCESS_PATH_PENDING_CONTROLLED_DISCOVERY,issuing body recognized as a reporting-standard authority for systematic reviews,"exact section/page of the specific document, once identified",locate and cite the specific standard and version once discovered; do not access or open content in this turn,"do not access, open, retrieve, or verify any specific document in this turn; do not name a specific publication from memory",NONE (entry candidate),not evaluated in this turn,PLANNED_ONLY,stop this branch if the located standard only covers general reporting format and explicitly disclaims search-design guidance,"planning provenance: SLR_DEC_06_EVIDENCE_DISCOVERY_REGISTRY.csv row ED-02; SLR_DEC_06_COMPONENT_EVIDENCE_REQUIREMENT_MATRIX.csv rows K6-05,K6-09"
EV-DEC06-A-03,TRACK_A,PEER_REVIEW_OF_SEARCH_STRATEGY_GUIDANCE,concepts;reporting,search-strategy peer-review guidance issuer (class only; specific issuing body not yet identified),structured peer review of a drafted search strategy prior to execution,identify authoritative guidance on structured peer review of search strategies (e.g. a named review instrument class),ACCESS_PATH_PENDING_CONTROLLED_DISCOVERY,issuing body recognized for search-strategy peer-review methodology,"exact section/page of the specific document, once identified",locate and cite the specific review-instrument name/version once discovered; do not access or open content in this turn,"do not access, open, retrieve, or verify any specific document in this turn; do not name a specific publication from memory",NONE (entry candidate),not evaluated in this turn,PLANNED_ONLY,"stop this branch if located guidance addresses peer review of the overall review protocol only, not the search strategy specifically","planning provenance: SLR_DEC_06_EVIDENCE_DISCOVERY_REGISTRY.csv row ED-03; SLR_DEC_06_COMPONENT_EVIDENCE_REQUIREMENT_MATRIX.csv rows K6-01,K6-09"
EV-DEC06-A-04,TRACK_A,MULTILINGUAL_INFORMATION_RETRIEVAL_GUIDANCE,translations,multilingual information-retrieval guidance issuer (class only; specific issuing body not yet identified),cross-language term-equivalence verification methodology for Dutch/German/French/Indonesian translated-concept candidates,identify authoritative guidance on scholarly cross-language concept-equivalence verification,ACCESS_PATH_PENDING_CONTROLLED_DISCOVERY,issuing body recognized for multilingual information-retrieval methodology,"exact section/page of the specific document, once identified",locate and cite the specific guidance document once discovered; do not access or open content in this turn,"do not access, open, retrieve, or verify any specific document in this turn; do not name a specific publication from memory",NONE (entry candidate),not evaluated in this turn,PLANNED_ONLY,stop this branch if guidance addresses machine-translation quality generally but not scholarly-term equivalence specifically,planning provenance: SLR_DEC_06_EVIDENCE_DISCOVERY_REGISTRY.csv row ED-05; SLR_DEC_06_COMPONENT_EVIDENCE_REQUIREMENT_MATRIX.csv rows K6-03
EV-DEC06-A-05,TRACK_A,HUMANITIES_BIBLIOGRAPHIC_SEARCH_METHOD,concepts;risk,humanities/DH bibliographic-methods guidance issuer (class only; specific issuing body not yet identified),"humanities-specific search and citation-tracking practice, including non-database discovery methods",identify authoritative guidance specific to bibliographic search methodology in the humanities,ACCESS_PATH_PENDING_CONTROLLED_DISCOVERY,issuing body recognized for humanities/digital-humanities methodological guidance,"exact section/page of the specific document, once identified",locate and cite the specific guidance document once discovered; do not access or open content in this turn,"do not access, open, retrieve, or verify any specific document in this turn; do not name a specific publication from memory",NONE (entry candidate),not evaluated in this turn,PLANNED_ONLY,stop this branch if guidance is discipline-general rather than humanities-specific,"planning provenance: SLR_DEC_06_EVIDENCE_DISCOVERY_REGISTRY.csv row ED-06; SLR_DEC_06_COMPONENT_EVIDENCE_REQUIREMENT_MATRIX.csv rows K6-01,K6-06"
EV-DEC06-A-06,TRACK_A,KNOWN_ITEM_OR_SEED_VALIDATION_METHOD,seed checking,search-validation methodology issuer (class only; specific issuing body not yet identified),known-item/seed-study sensitivity-check methodology without claiming exhaustive recall,identify authoritative guidance on known-item/seed-study search validation technique,ACCESS_PATH_PENDING_CONTROLLED_DISCOVERY,issuing body recognized for search-validation methodology,"exact section/page of the specific document, once identified",locate and cite the specific guidance document once discovered; do not access or open content in this turn,"do not access, open, retrieve, or verify any specific document in this turn; do not name a specific publication from memory",NONE (entry candidate),not evaluated in this turn,PLANNED_ONLY,stop this branch if guidance presumes a seed set is already validated bibliographic ground truth for this specific review topic,planning provenance: SLR_DEC_06_EVIDENCE_DISCOVERY_REGISTRY.csv row ED-07; SLR_DEC_06_COMPONENT_EVIDENCE_REQUIREMENT_MATRIX.csv rows K6-07
EV-DEC06-A-07,TRACK_A,SEARCH_UPDATE_AND_AMENDMENT_GUIDANCE,versioning,search-amendment/versioning guidance issuer (class only; specific issuing body not yet identified),post-pilot search-strategy amendment protocol and version-controlled disclosure requirements,identify authoritative guidance on search-strategy amendment and versioning after a pilot run,ACCESS_PATH_PENDING_CONTROLLED_DISCOVERY,issuing body recognized for search-amendment/versioning methodology,"exact section/page of the specific document, once identified",locate and cite the specific guidance document once discovered; do not access or open content in this turn,"do not access, open, retrieve, or verify any specific document in this turn; do not name a specific publication from memory",NONE (entry candidate),not evaluated in this turn,PLANNED_ONLY,stop this branch if guidance covers protocol amendments generally but not search-strategy amendments specifically,planning provenance: SLR_DEC_06_EVIDENCE_DISCOVERY_REGISTRY.csv row ED-08; SLR_DEC_06_COMPONENT_EVIDENCE_REQUIREMENT_MATRIX.csv rows K6-08
EV-DEC06-B-01,TRACK_B,DATABASE_OR_PROVIDER_OFFICIAL_SYNTAX_DOCUMENTATION,syntax,SRC-01 Scopus (per SLR_SEARCH_SOURCE_REGISTRY.csv),"Scopus's own official search-syntax/help documentation area (field codes, boolean operators, wildcards, proximity operators, filters)","locate Scopus's official documentation domain; verify it is issued by Scopus itself, not a third-party guide",ACCESS_PATH_PENDING_CONTROLLED_DISCOVERY,provider's own official technical/help documentation,"exact help-page section or documentation anchor per applicable family, once identified","for family_id in {C2,C4,C5,C6}, verify whether the family's proposed syntax translation matches Scopus's official documentation; do not access in this turn","do not test, submit, or execute any query against Scopus in this turn; do not infer Scopus's syntax from another provider",NONE (entry candidate),not evaluated in this turn,PLANNED_ONLY,stop this branch if Scopus's official documentation cannot be located or is ambiguous for a given family,"covers applicable family-source pairs {(C2,SRC-01),(C4,SRC-01),(C5,SRC-01),(C6,SRC-01)} per SLR_PROVIDER_QUERY_TRANSLATION_MATRIX.csv; planning provenance: SLR_DEC_06_EVIDENCE_DISCOVERY_REGISTRY.csv row ED-04; SLR_SEARCH_SOURCE_REGISTRY.csv SRC-01"
EV-DEC06-B-02,TRACK_B,DATABASE_OR_PROVIDER_OFFICIAL_SYNTAX_DOCUMENTATION,syntax,SRC-02 Web of Science Core Collection (per SLR_SEARCH_SOURCE_REGISTRY.csv),"Web of Science Core Collection's own official search-syntax/help documentation area (field codes, boolean operators, wildcards, proximity operators, filters)","locate Web of Science Core Collection's official documentation domain; verify it is issued by Web of Science Core Collection itself, not a third-party guide",ACCESS_PATH_PENDING_CONTROLLED_DISCOVERY,provider's own official technical/help documentation,"exact help-page section or documentation anchor per applicable family, once identified","for family_id in {C2,C4,C5,C6}, verify whether the family's proposed syntax translation matches Web of Science Core Collection's official documentation; do not access in this turn","do not test, submit, or execute any query against Web of Science Core Collection in this turn; do not infer Web of Science Core Collection's syntax from another provider",NONE (entry candidate),not evaluated in this turn,PLANNED_ONLY,stop this branch if Web of Science Core Collection's official documentation cannot be located or is ambiguous for a given family,"covers applicable family-source pairs {(C2,SRC-02),(C4,SRC-02),(C5,SRC-02),(C6,SRC-02)} per SLR_PROVIDER_QUERY_TRANSLATION_MATRIX.csv; planning provenance: SLR_DEC_06_EVIDENCE_DISCOVERY_REGISTRY.csv row ED-04; SLR_SEARCH_SOURCE_REGISTRY.csv SRC-02"
EV-DEC06-B-03,TRACK_B,DATABASE_OR_PROVIDER_OFFICIAL_SYNTAX_DOCUMENTATION,syntax,SRC-03 JSTOR (per SLR_SEARCH_SOURCE_REGISTRY.csv),"JSTOR's own official search-syntax/help documentation area (field codes, boolean operators, wildcards, proximity operators, filters)","locate JSTOR's official documentation domain; verify it is issued by JSTOR itself, not a third-party guide",ACCESS_PATH_PENDING_CONTROLLED_DISCOVERY,provider's own official technical/help documentation,"exact help-page section or documentation anchor per applicable family, once identified","for family_id in {C1,C2,C3,C6}, verify whether the family's proposed syntax translation matches JSTOR's official documentation; do not access in this turn","do not test, submit, or execute any query against JSTOR in this turn; do not infer JSTOR's syntax from another provider",NONE (entry candidate),not evaluated in this turn,PLANNED_ONLY,stop this branch if JSTOR's official documentation cannot be located or is ambiguous for a given family,"covers applicable family-source pairs {(C1,SRC-03),(C2,SRC-03),(C3,SRC-03),(C6,SRC-03)} per SLR_PROVIDER_QUERY_TRANSLATION_MATRIX.csv; planning provenance: SLR_DEC_06_EVIDENCE_DISCOVERY_REGISTRY.csv row ED-04; SLR_SEARCH_SOURCE_REGISTRY.csv SRC-03"
EV-DEC06-B-04,TRACK_B,DATABASE_OR_PROVIDER_OFFICIAL_SYNTAX_DOCUMENTATION,syntax,SRC-04 Project MUSE (per SLR_SEARCH_SOURCE_REGISTRY.csv),"Project MUSE's own official search-syntax/help documentation area (field codes, boolean operators, wildcards, proximity operators, filters)","locate Project MUSE's official documentation domain; verify it is issued by Project MUSE itself, not a third-party guide",ACCESS_PATH_PENDING_CONTROLLED_DISCOVERY,provider's own official technical/help documentation,"exact help-page section or documentation anchor per applicable family, once identified","for family_id in {C1,C2,C3}, verify whether the family's proposed syntax translation matches Project MUSE's official documentation; do not access in this turn","do not test, submit, or execute any query against Project MUSE in this turn; do not infer Project MUSE's syntax from another provider",NONE (entry candidate),not evaluated in this turn,PLANNED_ONLY,stop this branch if Project MUSE's official documentation cannot be located or is ambiguous for a given family,"covers applicable family-source pairs {(C1,SRC-04),(C2,SRC-04),(C3,SRC-04)} per SLR_PROVIDER_QUERY_TRANSLATION_MATRIX.csv; planning provenance: SLR_DEC_06_EVIDENCE_DISCOVERY_REGISTRY.csv row ED-04; SLR_SEARCH_SOURCE_REGISTRY.csv SRC-04"
EV-DEC06-B-05,TRACK_B,DATABASE_OR_PROVIDER_OFFICIAL_SYNTAX_DOCUMENTATION,syntax,SRC-05 ACM Digital Library (per SLR_SEARCH_SOURCE_REGISTRY.csv),"ACM Digital Library's own official search-syntax/help documentation area (field codes, boolean operators, wildcards, proximity operators, filters)","locate ACM Digital Library's official documentation domain; verify it is issued by ACM Digital Library itself, not a third-party guide",ACCESS_PATH_PENDING_CONTROLLED_DISCOVERY,provider's own official technical/help documentation,"exact help-page section or documentation anchor per applicable family, once identified","for family_id in {C2,C4}, verify whether the family's proposed syntax translation matches ACM Digital Library's official documentation; do not access in this turn","do not test, submit, or execute any query against ACM Digital Library in this turn; do not infer ACM Digital Library's syntax from another provider",NONE (entry candidate),not evaluated in this turn,PLANNED_ONLY,stop this branch if ACM Digital Library's official documentation cannot be located or is ambiguous for a given family,"covers applicable family-source pairs {(C2,SRC-05),(C4,SRC-05)} per SLR_PROVIDER_QUERY_TRANSLATION_MATRIX.csv; planning provenance: SLR_DEC_06_EVIDENCE_DISCOVERY_REGISTRY.csv row ED-04; SLR_SEARCH_SOURCE_REGISTRY.csv SRC-05"
EV-DEC06-B-06,TRACK_B,DATABASE_OR_PROVIDER_OFFICIAL_SYNTAX_DOCUMENTATION,syntax,"SRC-06 arXiv (stat, cs.CL, physics.soc-ph) (per SLR_SEARCH_SOURCE_REGISTRY.csv)","arXiv (stat, cs.CL, physics.soc-ph)'s own official search-syntax/help documentation area (field codes, boolean operators, wildcards, proximity operators, filters)","locate arXiv (stat, cs.CL, physics.soc-ph)'s official documentation domain; verify it is issued by arXiv (stat, cs.CL, physics.soc-ph) itself, not a third-party guide",ACCESS_PATH_PENDING_CONTROLLED_DISCOVERY,provider's own official technical/help documentation,"exact help-page section or documentation anchor per applicable family, once identified","for family_id in {C4,C5,C6}, verify whether the family's proposed syntax translation matches arXiv (stat, cs.CL, physics.soc-ph)'s official documentation; do not access in this turn","do not test, submit, or execute any query against arXiv (stat, cs.CL, physics.soc-ph) in this turn; do not infer arXiv (stat, cs.CL, physics.soc-ph)'s syntax from another provider",NONE (entry candidate),not evaluated in this turn,PLANNED_ONLY,"stop this branch if arXiv (stat, cs.CL, physics.soc-ph)'s official documentation cannot be located or is ambiguous for a given family","covers applicable family-source pairs {(C4,SRC-06),(C5,SRC-06),(C6,SRC-06)} per SLR_PROVIDER_QUERY_TRANSLATION_MATRIX.csv; planning provenance: SLR_DEC_06_EVIDENCE_DISCOVERY_REGISTRY.csv row ED-04; SLR_SEARCH_SOURCE_REGISTRY.csv SRC-06"
