surface_id,target_path,target_artifact_role,field_or_section,current_value,proposed_value,change_classification,schema_change_required,application_stage,requires_separate_authorization,status,notes
SURF-01,docs/thesis/pilot_annotation/model3b_v2/adjudication/WAVE_2_OD_005_OPERATION_REGISTRY_SCHEMA.csv,FROZEN_REGISTRY_SCHEMA_CATALOG,historical_status allowed_values,FROZEN (only value expected for OP-01..09),"FROZEN, PENDING_FREEZE (OP-10 and any future non-frozen row)",ENUM_VALUE_ADDITION,YES,before OP-10 registry-row application,YES,MUST_UPDATE,"Must occur in its own explicit, separately-authorized write before SURF-02; not performed by this review"
SURF-02,docs/thesis/pilot_annotation/model3b_v2/manifests/MODEL_3B_V2_OD005_OPERATION_REGISTRY.csv,CANONICAL_OPERATION_REGISTRY,new row: operation_id=OP-10,NONE (row does not exist; 9 rows total),"1 new row: operation_id=OP-10, historical_status=PENDING_FREEZE, all other fields per the candidate contract",ADDITIVE_ROW_INSERTION,NO: schema already amended by SURF-01,after SURF-01 completes,YES,MUST_UPDATE,Append-only; 9 existing rows must remain byte-identical; not performed by this review
SURF-03,docs/thesis/pilot_annotation/model3b_v2/adjudication/WAVE_2_OD_005_SUCCESSOR_RECONCILIATION_OPERATION_DRAFT.csv,SUCCESSOR_OPERATION_DRAFT (part of the six successor-specification artifacts),candidate_operation_id and id_assignment_status,OP-10 (nonauthoritative candidate) / AWAITING_REGISTRY_FREEZE,OP-10 (authoritative) / AUTHORITATIVELY_ASSIGNED,FIELD_VALUE_UPDATE,NO,after SURF-02 completes,YES,MUST_UPDATE,"Not performed by this review; must be applied together with SURF-04, SURF-07, SURF-08, SURF-09 to avoid a contradictory-status state"
SURF-04,docs/thesis/pilot_annotation/model3b_v2/adjudication/WAVE_2_OD_005_SUCCESSOR_RECONCILIATION_SPECIFICATION.md,SUCCESSOR_SPECIFICATION (one of the six),OP-10 cross-reference mentions,1 mention: candidate framing,"1 mention: authoritative framing, cites this enum contract",NARROW_TEXT_CORRECTION,NO,after SURF-02 completes,YES,MUST_UPDATE,Not performed by this review
SURF-05,docs/thesis/pilot_annotation/model3b_v2/adjudication/WAVE_2_OD_005_SUCCESSOR_RECONCILIATION_SCHEMA.csv,SUCCESSOR_SPECIFICATION (one of the six),OP-10 mentions,"NONE: 0 mentions, no assignment/readiness field carried",NONE,NO_CHANGE,NO,not applicable,NO,NO_UPDATE_REQUIRED,This file's own 19-field schema catalog does not name OP-10 anywhere and carries no assignment-status field
SURF-06,docs/thesis/pilot_annotation/model3b_v2/adjudication/WAVE_2_OD_005_SUCCESSOR_RECONCILIATION_SOURCE_MAP.csv,SUCCESSOR_SPECIFICATION (one of the six),OP-10 mentions,NONE: 0 mentions,NONE,NO_CHANGE,NO,not applicable,NO,NO_UPDATE_REQUIRED,Same rationale as SURF-05
SURF-07,docs/thesis/pilot_annotation/model3b_v2/adjudication/WAVE_2_OD_005_RECONCILIATION_OPERATION_ID_PROVENANCE_REVIEW.md,SUCCESSOR_SPECIFICATION (one of the six),OP-10 cross-reference mentions,5 mentions: candidate framing throughout,"5 mentions: authoritative framing, cites this enum contract",NARROW_TEXT_CORRECTION,NO,after SURF-02 completes,YES,MUST_UPDATE,Not performed by this review; the file's overall conclusion OPERATION_ID_REQUIRES_REGISTRY_AMENDMENT becomes historically superseded and must say so explicitly rather than being silently rewritten
SURF-08,docs/thesis/pilot_annotation/model3b_v2/adjudication/WAVE_2_OD_005_SUCCESSOR_RECONCILIATION_ROLLBACK_PLAN.md,SUCCESSOR_SPECIFICATION (one of the six),creation_operation_id placeholder,"1 mention: OP-10 placeholder, unfilled","1 mention: OP-10, authoritative, filled in",NARROW_TEXT_CORRECTION,NO,after SURF-02 completes,YES,MUST_UPDATE,Not performed by this review
SURF-09,docs/thesis/pilot_annotation/model3b_v2/adjudication/WAVE_2_OD_005_SUCCESSOR_RECONCILIATION_SPEC_AUDIT.md,SUCCESSOR_SPECIFICATION (one of the six),OP-10 collision-count context,1 mention: pre-assignment context,"1 mention: updated to reflect authoritative assignment, still reporting 0 collision",NARROW_TEXT_CORRECTION,NO,after SURF-02 completes,YES,MUST_UPDATE,Not performed by this review
SURF-10,docs/thesis/pilot_annotation/model3b_v2/adjudication/WAVE_2_OD_005_OP10_ASSIGNMENT_APPLICATION_AUDIT.md (future; does not yet exist),NEW_APPLICATION_AUDIT_ARTIFACT,entire new file,NONE: file does not exist,1 new audit file documenting SURF-01 through SURF-09's execution,NEW_ARTIFACT_CREATION,NO,after SURF-01 through SURF-09 all complete,YES,NEW_AUDIT_ARTIFACT,Mirrors the pattern already used for WAVE_2_OD_005_OPERATION_REGISTRY_CREATION_AUDIT.md and WAVE_2_OD_005_OP09_CANONICAL_TEST_INVENTORY_CREATION_AUDIT.md
