"query_id","gap_id","api_endpoint","query_string","method","executed_this_turn","timestamp_order","rate_limit_notes"
"Q-01","GAP-NATAL-01..06","https://dataverse.nl/api/search?type=dataset","Natal 1760 VOC","Search API (GET, public, no auth)","TRUE","1","Single request; sequential, not parallelized with any other call."
"Q-02","GAP-PAINAN-01..05","https://dataverse.nl/api/search?type=dataset","Painan Sumatra VOC treaty","Search API","TRUE","2","Issued after Q-01 completed; single-threaded."
"Q-03","GAP-KOTOTANGAH-01..02","https://dataverse.nl/api/search?type=dataset","Koto Tangah Sumatra VOC","Search API","TRUE","3","Issued after Q-02 completed."
"Q-04","GAP-TIKU-01..04","https://dataverse.nl/api/search?type=dataset","Tiku Sumatra pepper VOC","Search API","TRUE","4","Issued after Q-03 completed."
"Q-05","GAP-SILLIDA-01..03","https://dataverse.nl/api/search?type=dataset","Salido OR Sillida gold mine Sumatra slavery","Search API","TRUE","5","Issued after Q-04 completed."
"Q-06","GAP-BATANGCAPAS-01..03","https://dataverse.nl/api/search?type=dataset","EIC English East India Company Sumatra Fort York","Search API","TRUE","6","Issued after Q-05 completed."
"Q-07","GAP-BARUS-01..04","https://dataverse.nl/api/search?type=dataset","Barus Sumatra VOC civil war 1694","Search API","TRUE","7","Issued after Q-06 completed."
"Q-08","cross-cutting (place-name gazetteer lead surfaced by Q-06)","https://dataverse.nl/api/datasets/:persistentId/?persistentId=doi:10.34894/UFFFNO","(dataset-level metadata lookup -- no query string; direct DOI lookup)","Native API dataset metadata endpoint","TRUE","8","Issued after Q-07 completed; drills into a single dataset's own public metadata (title, description, file list, license, access-restriction flag) -- no file content or file bytes fetched."
"Q-09 (planned, not executed)","all 7 gaps","https://dataverse.nl/api/search?type=dataset","per-gap refined queries adding actor names (e.g. van Moschel, Soureradja, Maharadja Lelo)","Search API","FALSE","n/a","Deferred to a future turn per the STOP condition -- this turn's mandate was breadth-first metadata discovery across all 7 gaps, not exhaustive per-actor query refinement for any single gap."
"Q-10 (planned, not executed)","GAP-SILLIDA-01/02/03; GAP-BATANGCAPAS-01/02","dataset-level metadata for any additional GLOBALISE gazetteer/index datasets surfaced by Q-01..Q-08 (Places, Polities, Namebooks, Digitized Indexes)","(no query string; future DOI lookups)","Native API dataset metadata endpoint","FALSE","n/a","Deferred -- Q-08 established the METHOD (metadata-only DOI lookup) as viable; applying it to the remaining ~5 GLOBALISE gazetteer/index datasets surfaced across Q-01..Q-07 is future-turn scope, listed in DATAVERSENL_DISCOVERY_RESULTS.csv as SUGGESTS_FUTURE_ANNOTATION / needs-follow-up rather than actioned now."
