row_id,section,key,value
1,DECISION_PACKAGE,decision_id,WAVE3A-GRAN-PARENT-ACT07-ACCEPTANCE
2,DECISION_PACKAGE,question_1,"Does the researcher accept the prospective granularity rule (Gamma_i, G_atomic, G_split, G_single) as designed? Options: ACCEPT_PROSPECTIVELY | REVISE_PROSPECTIVELY | DEFER"
3,DECISION_PACKAGE,question_1_answer,REVISE_PROSPECTIVELY
4,DECISION_PACKAGE,question_2,"Does the researcher accept the prospective parent-episode rule (M_ie, G_episode) as designed? Options: ACCEPT_PROSPECTIVELY | REVISE_PROSPECTIVELY | DEFER"
5,DECISION_PACKAGE,question_2_answer,REVISE_PROSPECTIVELY
6,DECISION_PACKAGE,question_3,"Does the researcher authorize a future, separately bounded ACT-07 execution (external archival-opportunity retrieval)? Options: AUTHORIZE_FUTURE_EXECUTION | DEFER | REJECT"
7,DECISION_PACKAGE,question_3_answer,DEFER
8,DECISION_PACKAGE,question_4,"TEST-03 finding: should the EP-1668-1681-BARUS-SECESSION-AND-CONSOLIDATION 7-member grouping be audited against the accepted parent-episode rule once A_parent=1? Options: AUDIT_ON_ACCEPTANCE | DEFER_PENDING_ACCEPTED_RULE | NOT_PRIORITIZED"
9,DECISION_PACKAGE,question_4_answer,DEFER_PENDING_ACCEPTED_RULE
10,DECISION_PACKAGE,question_5,"TEST-02 finding: should the MULTI_SOURCE_VERIFIED tagging convention be reviewed project-wide? Options: REVIEW_CONVENTION | REQUIRED_BUT_NOT_EXECUTED | NOT_PRIORITIZED"
11,DECISION_PACKAGE,question_5_answer,REQUIRED_BUT_NOT_EXECUTED
12,DECISION_PACKAGE,decision_date,2026-09-09
13,DECISION_PACKAGE,non_retroactivity_reminder,"Whatever is decided, this operation did not mutate AS86, split/merge/delete any coded row, or resolve DEDUP-06. Wave 1 and Wave 2 outputs were not reopened or edited."
14,DECISION_PACKAGE,GRANULARITY_RULE_DECISION,REVISE_PROSPECTIVELY
15,DECISION_PACKAGE,PARENT_EPISODE_RULE_DECISION,REVISE_PROSPECTIVELY
16,DECISION_PACKAGE,ACT07_EXECUTION_DECISION,DEFER
17,DECISION_PACKAGE,TEST03_EPISODE_AUDIT,DEFER_PENDING_ACCEPTED_RULE
18,DECISION_PACKAGE,MULTI_SOURCE_VERIFIED_PROJECT_WIDE_REVIEW,REQUIRED_BUT_NOT_EXECUTED
19,DECISION_PACKAGE,revision_reasons,"(1) all five original cases produced UNRESOLVED_GRANULARITY; (2) this safely prevents premature closure but did not yet demonstrate operational discrimination; (3) P_applicable(original)=0/5 meant the rule classified no test case beyond unresolved; (4) N_premature=0 was necessary but weak given universal non-closure; (5) actor-name normalization was untested; (6) colonial-category naturalization in J_i remained unresolved; (7) documentary-survival bias lay outside the original test domain; (8) ACT-07 remained design-only with no execution-ready candidate"
20,GATES,G_gran_design,1
21,GATES,G_parent_design,1
22,GATES,A_gran,0
23,GATES,A_parent,0
24,GATES,G_gran_accepted,"G_gran_design x A_gran = 1 x 0 = 0"
25,GATES,G_parent_accepted,"G_parent_design x A_parent = 1 x 0 = 0"
26,GATES,G_ACT07_design,"1[Q=1 AND D=1 AND F=1 AND C=1 AND B=1] = 1"
27,GATES,G_ACT07_execute,"G_ACT07_design x L x A; A=0; G_ACT07_execute = 0"
28,GATES,N_premature,0
29,GATES,N_unsupported,0
30,GATES,G_demonstration,"1[N_nonunresolved_evidence_classes>=1(=1) AND N_unresolved_preserved>=1(=7) AND N_unsupported=0] = 1"
31,GATES,G_demonstration_qualification,LIMITED_OPERATIONAL_DEMONSTRATION
32,GATES,G_demonstration_non_implications,"G_demonstration=1 does NOT imply: G_gran_accepted=1; G_parent_accepted=1; G_ontology=1; G_causal=1; G_reconsider_future=1; CORPUS_MUTATION_AUTHORIZED"
33,GATES,OVERFIT_TO_DEDUP06_EXAMPLE,PARTIAL_MITIGATION_NOT_PROOF
34,GATES,G_single_cross_report,"SUPERSEDED (Wave 3B): corrected via Omega_ij report-to-occurrence compatibility gate -- see GATES rows below for G_same_design/G_closure_demo"
35,GATES,STRESS01_SELECTION_RISK,TARGET_CONGRUENT_SELECTION_DISCLOSED
36,GATES,STRESS01_INDEPENDENT_VALIDATION_VALUE,LIMITED
37,ESTIMANDS,N_original,5
38,ESTIMANDS,N_stress,3
39,ESTIMANDS,N_all,8
40,ESTIMANDS,P_unresolved_original,5/5 = 1
41,ESTIMANDS,P_evidence_applicable,"1/8 = 0.125 (numerator = STRESS-03 only, the sole non-EVIDENCE_UNRESOLVED case)"
42,ESTIMANDS,P_authorized_action,0/8 = 0
43,ESTIMANDS,P_open,"2/2 = 1 (denominator = TEST-05 and STRESS-02, the two cases blocked on a NOT_EVALUABLE identity component)"
44,ACTOR_NORMALIZATION_AUDIT,diplomatic_form,"the exact form in Botham's primary letter (the Governor is not named in the quoted primary excerpt)"
45,ACTOR_NORMALIZATION_AUDIT,normalized_form,Heerskerch
46,ACTOR_NORMALIZATION_AUDIT,normalized_form_source,"Kathirithamby 1965 secondary thesis, p.314"
47,ACTOR_NORMALIZATION_AUDIT,primary_document_cross_verification,NOT_AVAILABLE
48,ACTOR_NORMALIZATION_AUDIT,collision_risk,UNRESOLVED
49,ACTOR_NORMALIZATION_AUDIT,alternative_readings,RETAINED
49b,ACTOR_NORMALIZATION_AUDIT,authoritative_actor_identity,NOT_ESTABLISHED
50,COLONIAL_CATEGORY_AUDIT,event_type_assessed,konflik
51,COLONIAL_CATEGORY_AUDIT,category_class,PROJECT_NORMALIZED_LABEL
52,COLONIAL_CATEGORY_AUDIT,source_text_terms,"'surrender', 'summoned', 'expedition' (Botham's primary letter) -- never 'konflik'"
53,COLONIAL_CATEGORY_AUDIT,promotion_status,"NOT promoted into a source-native term or neutral historical ontology"
54,REPRODUCIBILITY,generated_utc,2026-09-09T15:15:01Z
55,REPRODUCIBILITY,revised_utc,2026-09-09T16:00:00Z
56,REPRODUCIBILITY,authoritative_head,3184e14e8183f9a93a34496f0bf3e4ebea568e58
57,REPRODUCIBILITY,input_file,docs/thesis/pilot_annotation/hawkes_baseline_v2/HAWKES_BASELINE_V2_EVENT_PROVENANCE_AUDIT.csv
58,REPRODUCIBILITY,input_sha256,40c3affe6c8a431273fb4d20e10f0b1ddfe4350b2870722c9691bb4ed5b39f0c
59,REPRODUCIBILITY,input_file,docs/thesis/pilot_annotation/hawkes_baseline_v2/HAWKES_BASELINE_V2_DATE_SEMANTICS.csv
60,REPRODUCIBILITY,input_sha256,c3c67f9fc5bbe182316fc52fb0a124c4cfc256aa5f3a33215bc109ca09640262
61,REPRODUCIBILITY,input_file,docs/thesis/pilot_annotation/hawkes_baseline_v2/HAWKES_BASELINE_V2_PARENT_EPISODE_MEMBERSHIP.csv
62,REPRODUCIBILITY,input_sha256,a69cafdd19f53592a0e27231154f57485b91deb2a20e1ecae7885f9b81ffb1ba
63,REPRODUCIBILITY,input_file,docs/thesis/pilot_annotation/hawkes_baseline_v2/HAWKES_BASELINE_V2_DEDUP_ADJUDICATION.csv
64,REPRODUCIBILITY,input_sha256,cd72024e6de77d3f51b7c91273fd175d421c4d77a06103c0d70b5fe524299bf0
65,REPRODUCIBILITY,input_file,docs/thesis/pilot_annotation/hawkes_baseline_v2/HAWKES_BASELINE_V2_EXPOSURE_INFORMATION_REQUIREMENTS.csv
66,REPRODUCIBILITY,input_sha256,cb88c50257adebafd93069d908ccafba4325b717982715d60b945d22ed6d6a8f
67,REPRODUCIBILITY,input_file,data/research/linimasa_events.csv
68,REPRODUCIBILITY,input_sha256,ebca46d15ab1706ed040ae58206048bde5fc53576606d2dedff363fde9b5278b
69,REPRODUCIBILITY,input_file,docs/bsb10468472.txt
70,REPRODUCIBILITY,input_sha256,6e8e79211948d77c99ed1c6f3142c46b796e093450d8a61d9dfdfa0cba464bd5
71,REPRODUCIBILITY,input_file,docs/BL_IOR_G_35_198.txt
72,REPRODUCIBILITY,input_sha256,ebf89b084e52d16b8c932c5c4b0c94635fa663f542c57bed4d7bf50f095f41e4
73,REPRODUCIBILITY,input_file,docs/thesis/GM/xml/05/p0599.xml
74,REPRODUCIBILITY,input_sha256,55346bc9b7d1c78aaf8827a196865395209bf2cbf1f9302af5b52202f1ba16b5
75,REPRODUCIBILITY,input_file,docs/EIC_alternatif.json
76,REPRODUCIBILITY,input_sha256,fcb8a02751d45f28072987a19216eafa9c267deb8e6b30d0027cdf97ff9bda4e
77,REPRODUCIBILITY,input_file,docs/36.txt
