person_role_id,person_id,role_id,role_original,valid_from,valid_to,evidence_status,review_status,source_document_id,source_passage_id,confidence
PR-OLITSCH,P-OLITSCH,R-BERGHOOPTMAN,Berghooftman,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-PLEIJTNER,P-PLEIJTNER,R-MARKSCHEIDER,Marckscheijder,1681-12-29,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-HOFFMAN,P-HOFFMAN,R-ASSAIJEUR,Assaijeur,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-VOGEL,P-VOGEL,R-ASSAIJEUR,Assaijeur,1681-12-29,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-HESSE,P-HESSE,R-BERGHSCHRIJVER,Berghschrijver,1681-12-29,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-ROELINGH,P-ROELINGH,R-ASSAIJEUR,Assaijeur,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-VAN-LEENE,P-VAN-LEENE,R-COMMANDEUR,Commandeur,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-DARBILO,P-DARBILO,R-OPPERSTEIJGER,Oppersteijger,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-GUNTJER,P-GUNTJER,R-OPPERSTEIJGER,Oppersteijger,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-REMER,P-REMER,R-OPPERSTEIJGER,Oppersteijger,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-SCHAFFER,P-SCHAFFER,R-OPPERSTEIJGER,Oppersteijger,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-LANGE,P-LANGE,R-OPPERSTEIJGER,Oppersteijger,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-STREIJT,P-STREIJT,R-OPPERSTEIJGER,Oppersteijger?,1682-01,,interpreted,,DOC-PERSONNEL-1682-01-09,,0.65
PR-EGLER,P-EGLER,R-BERGWERKER,Bergwerker,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-ETTER,P-ETTER,R-BERGWERKER,Bergwerker,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
PR-GIEBER,P-GIEBER,R-BERGWERKER,Bergwerker,1682-01,,explicit,,DOC-PERSONNEL-1682-01-09,,1.0
