pilot_query_id,family_id,source_id,provider_or_platform,exact_query_string,query_version,syntax_documentation_status,required_features,verified_features,excluded_features,date_range,language_boundary,document_type_boundary,planned_execution_method,credential_requirement,execution_authorization,stop_condition
PQ-C2-SRC-01-01,C2,SRC-01,Scopus,"(""computational history"" OR ""digital history"" OR ""distant reading"" OR ""close reading"" OR ""methodological transparency"") AND (""historical argument"" OR ""historiography"" OR ""humanistic interpretation"")",v1-frozen-from-SLR_SEARCH_STRING_REGISTRY.csv,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Boolean AND (cross-block); Boolean OR (within-block); phrase quoting,AND/OR/phrase,"field codes, wildcards, proximity operators, filters (not used by frozen template; documentation status for these features not required for usability)",NOT_RESTRICTED_IN_PILOT (per DEC-06: no arbitrary date limit imposed without provenance),NOT_RESTRICTED_IN_PILOT (multilingual term variants not yet promoted per SLR-DEC-05/06; English preferred-term set used),NOT_RESTRICTED_IN_PILOT,Institutional/individual login required (Elsevier SSO),REQUIRED_INSTITUTIONAL_LOGIN,AUTHORIZED_FOR_PILOT_ONLY_UNDER_DEC_07,"stop this pair if credentials are required and not already available, or if provider policy blocks automated access, or if result count cannot be reliably recorded"
PQ-C4-SRC-01-01,C4,SRC-01,Scopus,"(""historical named entity recognition"" OR ""event extraction"" OR ""provenance model"" OR ""claim-source linkage"" OR ""uncertainty labeling"") AND (""historical text"" OR ""archival document"" OR ""historical corpus"")",v1-frozen-from-SLR_SEARCH_STRING_REGISTRY.csv,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Boolean AND (cross-block); Boolean OR (within-block); phrase quoting,AND/OR/phrase,"field codes, wildcards, proximity operators, filters (not used by frozen template; documentation status for these features not required for usability)",NOT_RESTRICTED_IN_PILOT (per DEC-06: no arbitrary date limit imposed without provenance),NOT_RESTRICTED_IN_PILOT (multilingual term variants not yet promoted per SLR-DEC-05/06; English preferred-term set used),NOT_RESTRICTED_IN_PILOT,Institutional/individual login required (Elsevier SSO),REQUIRED_INSTITUTIONAL_LOGIN,AUTHORIZED_FOR_PILOT_ONLY_UNDER_DEC_07,"stop this pair if credentials are required and not already available, or if provider policy blocks automated access, or if result count cannot be reliably recorded"
PQ-C5-SRC-01-01,C5,SRC-01,Scopus,"(""Hawkes process"" OR ""self-exciting point process"" OR ""interval censoring"" OR ""tied timestamps"" OR ""branching ratio identifiability"" OR ""simulation recovery"") AND (""historical event data"" OR ""coarse timestamps"" OR ""sparse event series"" OR ""temporal point process"")",v1-frozen-from-SLR_SEARCH_STRING_REGISTRY.csv,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Boolean AND (cross-block); Boolean OR (within-block); phrase quoting,AND/OR/phrase,"field codes, wildcards, proximity operators, filters (not used by frozen template; documentation status for these features not required for usability)",NOT_RESTRICTED_IN_PILOT (per DEC-06: no arbitrary date limit imposed without provenance),NOT_RESTRICTED_IN_PILOT (multilingual term variants not yet promoted per SLR-DEC-05/06; English preferred-term set used),NOT_RESTRICTED_IN_PILOT,Institutional/individual login required (Elsevier SSO),REQUIRED_INSTITUTIONAL_LOGIN,AUTHORIZED_FOR_PILOT_ONLY_UNDER_DEC_07,"stop this pair if credentials are required and not already available, or if provider policy blocks automated access, or if result count cannot be reliably recorded"
PQ-C6-SRC-01-01,C6,SRC-01,Scopus,"(""historical network analysis"" OR ""game theory"" AND ""history"" OR ""counterfactual history"" OR ""equilibrium claim"" OR ""payoff provenance"") AND (""political alliance"" OR ""strategic interaction"" OR ""historical actor network"")",v1-frozen-from-SLR_SEARCH_STRING_REGISTRY.csv,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Boolean AND (cross-block); Boolean OR (within-block); phrase quoting,AND/OR/phrase,"field codes, wildcards, proximity operators, filters (not used by frozen template; documentation status for these features not required for usability)",NOT_RESTRICTED_IN_PILOT (per DEC-06: no arbitrary date limit imposed without provenance),NOT_RESTRICTED_IN_PILOT (multilingual term variants not yet promoted per SLR-DEC-05/06; English preferred-term set used),NOT_RESTRICTED_IN_PILOT,Institutional/individual login required (Elsevier SSO),REQUIRED_INSTITUTIONAL_LOGIN,AUTHORIZED_FOR_PILOT_ONLY_UNDER_DEC_07,"stop this pair if credentials are required and not already available, or if provider policy blocks automated access, or if result count cannot be reliably recorded"
PQ-C2-SRC-02-01,C2,SRC-02,Web of Science Core Collection,"(""computational history"" OR ""digital history"" OR ""distant reading"" OR ""close reading"" OR ""methodological transparency"") AND (""historical argument"" OR ""historiography"" OR ""humanistic interpretation"")",v1-frozen-from-SLR_SEARCH_STRING_REGISTRY.csv,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Boolean AND (cross-block); Boolean OR (within-block); phrase quoting,AND/OR/phrase,"field codes, wildcards, proximity operators, filters (not used by frozen template; documentation status for these features not required for usability)",NOT_RESTRICTED_IN_PILOT (per DEC-06: no arbitrary date limit imposed without provenance),NOT_RESTRICTED_IN_PILOT (multilingual term variants not yet promoted per SLR-DEC-05/06; English preferred-term set used),NOT_RESTRICTED_IN_PILOT,Institutional/individual login or JS-driven client app (Clarivate),REQUIRED_INSTITUTIONAL_LOGIN_OR_JS_CLIENT,AUTHORIZED_FOR_PILOT_ONLY_UNDER_DEC_07,"stop this pair if credentials are required and not already available, or if provider policy blocks automated access, or if result count cannot be reliably recorded"
PQ-C4-SRC-02-01,C4,SRC-02,Web of Science Core Collection,"(""historical named entity recognition"" OR ""event extraction"" OR ""provenance model"" OR ""claim-source linkage"" OR ""uncertainty labeling"") AND (""historical text"" OR ""archival document"" OR ""historical corpus"")",v1-frozen-from-SLR_SEARCH_STRING_REGISTRY.csv,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Boolean AND (cross-block); Boolean OR (within-block); phrase quoting,AND/OR/phrase,"field codes, wildcards, proximity operators, filters (not used by frozen template; documentation status for these features not required for usability)",NOT_RESTRICTED_IN_PILOT (per DEC-06: no arbitrary date limit imposed without provenance),NOT_RESTRICTED_IN_PILOT (multilingual term variants not yet promoted per SLR-DEC-05/06; English preferred-term set used),NOT_RESTRICTED_IN_PILOT,Institutional/individual login or JS-driven client app (Clarivate),REQUIRED_INSTITUTIONAL_LOGIN_OR_JS_CLIENT,AUTHORIZED_FOR_PILOT_ONLY_UNDER_DEC_07,"stop this pair if credentials are required and not already available, or if provider policy blocks automated access, or if result count cannot be reliably recorded"
PQ-C5-SRC-02-01,C5,SRC-02,Web of Science Core Collection,"(""Hawkes process"" OR ""self-exciting point process"" OR ""interval censoring"" OR ""tied timestamps"" OR ""branching ratio identifiability"" OR ""simulation recovery"") AND (""historical event data"" OR ""coarse timestamps"" OR ""sparse event series"" OR ""temporal point process"")",v1-frozen-from-SLR_SEARCH_STRING_REGISTRY.csv,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Boolean AND (cross-block); Boolean OR (within-block); phrase quoting,AND/OR/phrase,"field codes, wildcards, proximity operators, filters (not used by frozen template; documentation status for these features not required for usability)",NOT_RESTRICTED_IN_PILOT (per DEC-06: no arbitrary date limit imposed without provenance),NOT_RESTRICTED_IN_PILOT (multilingual term variants not yet promoted per SLR-DEC-05/06; English preferred-term set used),NOT_RESTRICTED_IN_PILOT,Institutional/individual login or JS-driven client app (Clarivate),REQUIRED_INSTITUTIONAL_LOGIN_OR_JS_CLIENT,AUTHORIZED_FOR_PILOT_ONLY_UNDER_DEC_07,"stop this pair if credentials are required and not already available, or if provider policy blocks automated access, or if result count cannot be reliably recorded"
PQ-C6-SRC-02-01,C6,SRC-02,Web of Science Core Collection,"(""historical network analysis"" OR ""game theory"" AND ""history"" OR ""counterfactual history"" OR ""equilibrium claim"" OR ""payoff provenance"") AND (""political alliance"" OR ""strategic interaction"" OR ""historical actor network"")",v1-frozen-from-SLR_SEARCH_STRING_REGISTRY.csv,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Boolean AND (cross-block); Boolean OR (within-block); phrase quoting,AND/OR/phrase,"field codes, wildcards, proximity operators, filters (not used by frozen template; documentation status for these features not required for usability)",NOT_RESTRICTED_IN_PILOT (per DEC-06: no arbitrary date limit imposed without provenance),NOT_RESTRICTED_IN_PILOT (multilingual term variants not yet promoted per SLR-DEC-05/06; English preferred-term set used),NOT_RESTRICTED_IN_PILOT,Institutional/individual login or JS-driven client app (Clarivate),REQUIRED_INSTITUTIONAL_LOGIN_OR_JS_CLIENT,AUTHORIZED_FOR_PILOT_ONLY_UNDER_DEC_07,"stop this pair if credentials are required and not already available, or if provider policy blocks automated access, or if result count cannot be reliably recorded"
PQ-C1-SRC-03-01,C1,SRC-03,JSTOR,"(""computational hermeneutics"" OR ""hermeneutics of computation"" OR ""situated meaning"" OR ""plurality of interpretation"" OR ""hermeneutic circle"") AND (""artificial intelligence"" OR ""machine learning"" OR ""digital humanities"" OR ""cultural technology"")",v1-frozen-from-SLR_SEARCH_STRING_REGISTRY.csv,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Boolean AND (cross-block); Boolean OR (within-block); phrase quoting,AND/OR/phrase,"field codes, wildcards, proximity operators, filters (not used by frozen template; documentation status for these features not required for usability)",NOT_RESTRICTED_IN_PILOT (per DEC-06: no arbitrary date limit imposed without provenance),NOT_RESTRICTED_IN_PILOT (multilingual term variants not yet promoted per SLR-DEC-05/06; English preferred-term set used),NOT_RESTRICTED_IN_PILOT,"Public web search form (no credential expected, subject to anti-bot verification)",NONE_REQUIRED_BUT_ANTI_BOT_MAY_BLOCK,AUTHORIZED_FOR_PILOT_ONLY_UNDER_DEC_07,"stop this pair if credentials are required and not already available, or if provider policy blocks automated access, or if result count cannot be reliably recorded"
PQ-C2-SRC-03-01,C2,SRC-03,JSTOR,"(""computational history"" OR ""digital history"" OR ""distant reading"" OR ""close reading"" OR ""methodological transparency"") AND (""historical argument"" OR ""historiography"" OR ""humanistic interpretation"")",v1-frozen-from-SLR_SEARCH_STRING_REGISTRY.csv,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,Boolean AND (cross-block); Boolean OR (within-block); phrase quoting,AND/OR/phrase,"field codes, wildcards, proximity operators, filters (not used by frozen template; documentation status for these features not required for usability)",NOT_RESTRICTED_IN_PILOT (per DEC-06: no arbitrary date limit imposed without provenance),NOT_RESTRICTED_IN_PILOT (multilingual term variants not yet promoted per SLR-DEC-05/06; English preferred-term set used),NOT_RESTRICTED_IN_PILOT,"Public web search form (no credential expected, subject to anti-bot verification)",NONE_REQUIRED_BUT_ANTI_BOT_MAY_BLOCK,AUTHORIZED_FOR_PILOT_ONLY_UNDER_DEC_07,"stop this pair if credentials are required and not already available, or if provider policy blocks automated access, or if result count cannot be reliably recorded"
