backfill_id,file,record_id,field,old_value,new_value,derivation_rule,input_fields,semantic_interpretation_required,review_status
BF-0001,07_human_role_location_time.csv,HRLT-0006,source_passage_id,,SP-01236,"Exact-substring match: source_quote (07_human_role_location_time.csv) found as an exact substring of exactly one row's text (00_source_passages.csv); applied only when the match set has cardinality 1. Verified in V0_4_SEMANTIC_QA.md Task 2 SS2.1 against all 15 rows of this file before being approved for automated application; the 5 rows (HRLT-0001..HRLT-0005) that did not resolve to a unique match were excluded and remain empty, classified source_review_required.",07_human_role_location_time.csv.source_quote -> 00_source_passages.csv.text (unique-match target: 00_source_passages.csv.source_passage_id),false,auto_applied_deterministic_unreviewed
BF-0002,07_human_role_location_time.csv,HRLT-0007,source_passage_id,,SP-01236,"Exact-substring match: source_quote (07_human_role_location_time.csv) found as an exact substring of exactly one row's text (00_source_passages.csv); applied only when the match set has cardinality 1. Verified in V0_4_SEMANTIC_QA.md Task 2 SS2.1 against all 15 rows of this file before being approved for automated application; the 5 rows (HRLT-0001..HRLT-0005) that did not resolve to a unique match were excluded and remain empty, classified source_review_required.",07_human_role_location_time.csv.source_quote -> 00_source_passages.csv.text (unique-match target: 00_source_passages.csv.source_passage_id),false,auto_applied_deterministic_unreviewed
BF-0003,07_human_role_location_time.csv,HRLT-0008,source_passage_id,,SP-01236,"Exact-substring match: source_quote (07_human_role_location_time.csv) found as an exact substring of exactly one row's text (00_source_passages.csv); applied only when the match set has cardinality 1. Verified in V0_4_SEMANTIC_QA.md Task 2 SS2.1 against all 15 rows of this file before being approved for automated application; the 5 rows (HRLT-0001..HRLT-0005) that did not resolve to a unique match were excluded and remain empty, classified source_review_required.",07_human_role_location_time.csv.source_quote -> 00_source_passages.csv.text (unique-match target: 00_source_passages.csv.source_passage_id),false,auto_applied_deterministic_unreviewed
BF-0004,07_human_role_location_time.csv,HRLT-0009,source_passage_id,,SP-01236,"Exact-substring match: source_quote (07_human_role_location_time.csv) found as an exact substring of exactly one row's text (00_source_passages.csv); applied only when the match set has cardinality 1. Verified in V0_4_SEMANTIC_QA.md Task 2 SS2.1 against all 15 rows of this file before being approved for automated application; the 5 rows (HRLT-0001..HRLT-0005) that did not resolve to a unique match were excluded and remain empty, classified source_review_required.",07_human_role_location_time.csv.source_quote -> 00_source_passages.csv.text (unique-match target: 00_source_passages.csv.source_passage_id),false,auto_applied_deterministic_unreviewed
BF-0005,07_human_role_location_time.csv,HRLT-0010,source_passage_id,,SP-01236,"Exact-substring match: source_quote (07_human_role_location_time.csv) found as an exact substring of exactly one row's text (00_source_passages.csv); applied only when the match set has cardinality 1. Verified in V0_4_SEMANTIC_QA.md Task 2 SS2.1 against all 15 rows of this file before being approved for automated application; the 5 rows (HRLT-0001..HRLT-0005) that did not resolve to a unique match were excluded and remain empty, classified source_review_required.",07_human_role_location_time.csv.source_quote -> 00_source_passages.csv.text (unique-match target: 00_source_passages.csv.source_passage_id),false,auto_applied_deterministic_unreviewed
BF-0006,07_human_role_location_time.csv,HRLT-0011,source_passage_id,,SP-01236,"Exact-substring match: source_quote (07_human_role_location_time.csv) found as an exact substring of exactly one row's text (00_source_passages.csv); applied only when the match set has cardinality 1. Verified in V0_4_SEMANTIC_QA.md Task 2 SS2.1 against all 15 rows of this file before being approved for automated application; the 5 rows (HRLT-0001..HRLT-0005) that did not resolve to a unique match were excluded and remain empty, classified source_review_required.",07_human_role_location_time.csv.source_quote -> 00_source_passages.csv.text (unique-match target: 00_source_passages.csv.source_passage_id),false,auto_applied_deterministic_unreviewed
BF-0007,07_human_role_location_time.csv,HRLT-0012,source_passage_id,,SP-01236,"Exact-substring match: source_quote (07_human_role_location_time.csv) found as an exact substring of exactly one row's text (00_source_passages.csv); applied only when the match set has cardinality 1. Verified in V0_4_SEMANTIC_QA.md Task 2 SS2.1 against all 15 rows of this file before being approved for automated application; the 5 rows (HRLT-0001..HRLT-0005) that did not resolve to a unique match were excluded and remain empty, classified source_review_required.",07_human_role_location_time.csv.source_quote -> 00_source_passages.csv.text (unique-match target: 00_source_passages.csv.source_passage_id),false,auto_applied_deterministic_unreviewed
BF-0008,07_human_role_location_time.csv,HRLT-0013,source_passage_id,,SP-01236,"Exact-substring match: source_quote (07_human_role_location_time.csv) found as an exact substring of exactly one row's text (00_source_passages.csv); applied only when the match set has cardinality 1. Verified in V0_4_SEMANTIC_QA.md Task 2 SS2.1 against all 15 rows of this file before being approved for automated application; the 5 rows (HRLT-0001..HRLT-0005) that did not resolve to a unique match were excluded and remain empty, classified source_review_required.",07_human_role_location_time.csv.source_quote -> 00_source_passages.csv.text (unique-match target: 00_source_passages.csv.source_passage_id),false,auto_applied_deterministic_unreviewed
BF-0009,07_human_role_location_time.csv,HRLT-0014,source_passage_id,,SP-01236,"Exact-substring match: source_quote (07_human_role_location_time.csv) found as an exact substring of exactly one row's text (00_source_passages.csv); applied only when the match set has cardinality 1. Verified in V0_4_SEMANTIC_QA.md Task 2 SS2.1 against all 15 rows of this file before being approved for automated application; the 5 rows (HRLT-0001..HRLT-0005) that did not resolve to a unique match were excluded and remain empty, classified source_review_required.",07_human_role_location_time.csv.source_quote -> 00_source_passages.csv.text (unique-match target: 00_source_passages.csv.source_passage_id),false,auto_applied_deterministic_unreviewed
BF-0010,07_human_role_location_time.csv,HRLT-0015,source_passage_id,,SP-01236,"Exact-substring match: source_quote (07_human_role_location_time.csv) found as an exact substring of exactly one row's text (00_source_passages.csv); applied only when the match set has cardinality 1. Verified in V0_4_SEMANTIC_QA.md Task 2 SS2.1 against all 15 rows of this file before being approved for automated application; the 5 rows (HRLT-0001..HRLT-0005) that did not resolve to a unique match were excluded and remain empty, classified source_review_required.",07_human_role_location_time.csv.source_quote -> 00_source_passages.csv.text (unique-match target: 00_source_passages.csv.source_passage_id),false,auto_applied_deterministic_unreviewed
