family_id,source_id,platform_note,documentation_status,V_cs,P_cs,F_cs_required,U_cs,reasoning,excluded_reason
C2,SRC-01,,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,1,0,1,1,Fully verified from official documentation (DEC-06); required feature set (AND/OR/phrase) is a subset of documented syntax.,
C4,SRC-01,,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,1,0,1,1,Fully verified from official documentation (DEC-06); required feature set (AND/OR/phrase) is a subset of documented syntax.,
C5,SRC-01,,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,1,0,1,1,Fully verified from official documentation (DEC-06); required feature set (AND/OR/phrase) is a subset of documented syntax.,
C6,SRC-01,,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,1,0,1,1,Fully verified from official documentation (DEC-06); required feature set (AND/OR/phrase) is a subset of documented syntax.,
C2,SRC-02,,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,1,0,1,1,Fully verified from official documentation (DEC-06); required feature set (AND/OR/phrase) is a subset of documented syntax.,
C4,SRC-02,,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,1,0,1,1,Fully verified from official documentation (DEC-06); required feature set (AND/OR/phrase) is a subset of documented syntax.,
C5,SRC-02,,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,1,0,1,1,Fully verified from official documentation (DEC-06); required feature set (AND/OR/phrase) is a subset of documented syntax.,
C6,SRC-02,,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,1,0,1,1,Fully verified from official documentation (DEC-06); required feature set (AND/OR/phrase) is a subset of documented syntax.,
C1,SRC-03,,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,1,0,1,1,Fully verified from official documentation (DEC-06); required feature set (AND/OR/phrase) is a subset of documented syntax.,
C2,SRC-03,,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,1,0,1,1,Fully verified from official documentation (DEC-06); required feature set (AND/OR/phrase) is a subset of documented syntax.,
C3,SRC-03,,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,1,0,1,1,Fully verified from official documentation (DEC-06); required feature set (AND/OR/phrase) is a subset of documented syntax.,
C6,SRC-03,,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,1,0,1,1,Fully verified from official documentation (DEC-06); required feature set (AND/OR/phrase) is a subset of documented syntax.,
C1,SRC-04,,PARTIALLY_VERIFIED_FROM_OFFICIAL_DOCUMENTATION,0,1,1,1,"Project MUSE official FAQ/Advanced Search confirms Boolean AND/OR/NONE combination, which is the only feature the frozen template (methods_terms OR-block AND context_terms OR-block) actually requires. No wildcard/field-code/proximity is used by the frozen template, so their absence from documentation does not block usability.",
C2,SRC-04,,PARTIALLY_VERIFIED_FROM_OFFICIAL_DOCUMENTATION,0,1,1,1,"Project MUSE official FAQ/Advanced Search confirms Boolean AND/OR/NONE combination, which is the only feature the frozen template (methods_terms OR-block AND context_terms OR-block) actually requires. No wildcard/field-code/proximity is used by the frozen template, so their absence from documentation does not block usability.",
C3,SRC-04,,PARTIALLY_VERIFIED_FROM_OFFICIAL_DOCUMENTATION,0,1,1,1,"Project MUSE official FAQ/Advanced Search confirms Boolean AND/OR/NONE combination, which is the only feature the frozen template (methods_terms OR-block AND context_terms OR-block) actually requires. No wildcard/field-code/proximity is used by the frozen template, so their absence from documentation does not block usability.",
C2,SRC-05,,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,1,0,1,1,Fully verified from official documentation (DEC-06); required feature set (AND/OR/phrase) is a subset of documented syntax.,
C4,SRC-05,,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,1,0,1,1,Fully verified from official documentation (DEC-06); required feature set (AND/OR/phrase) is a subset of documented syntax.,
C4,SRC-06,,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,1,0,1,1,Fully verified from official documentation (DEC-06); required feature set (AND/OR/phrase) is a subset of documented syntax.,
C5,SRC-06,,VERIFIED_FROM_OFFICIAL_DOCUMENTATION,1,0,1,1,Fully verified from official documentation (DEC-06); required feature set (AND/OR/phrase) is a subset of documented syntax.,
