"revalidation_id","change_id","case_id","prior_failure_id","prior_result","expected_v2_1_result","regression_risk","required_fixture","required_validator_update","acceptance_criteria","researcher_review_required","notes"
"REV-01","CH-01","V2_KOTO_TANGAH","FAIL-04 (T-14)","FAIL (ACTOR_IDENTITY_FAILURE)","PASS_WITH_DOCUMENTED_EXTENSION -- mandate_status/continuity_status become Draft V2-native fields rather than an artifact-level extension","LOW -- the artifact's own field values are already compatible with the proposed schema, no data change needed, only a schema-recognition change","Existing koto_tangah_destruction_cycle_relational_validation_artifact.json (unmodified)","Koto Tangah validator's own check for actor field completeness would need updating to recognize the fields as Draft V2-native rather than project-convention extensions","The artifact continues to pass its own existing 34 checks; a new check specifically confirms explicit_non_identity_with is populated for the coastal-collective actor referencing the Bergvolkeren actor it was deliberately not merged with","True","Regression-safe: this is a schema RECOGNITION change, not a data change -- all 4 existing artifacts already populate these fields under their current informal names."
"REV-02","CH-01/CH-02","V3_TIKU","FAIL-06 (T-12)","FAIL (ACTOR_IDENTITY_FAILURE)","PASS_WITH_DOCUMENTED_EXTENSION","LOW -- same rationale as REV-01","Existing tiku_1625_1740_relational_validation_artifact.json (unmodified)","Tiku validator's own actor-field checks updated identically to REV-01","A new check confirms explicit_non_identity_with is populated on ACTOR_PONGELOUS_12_DESA_TICCO_1662 referencing ACTOR_TIKU_REGENTS_1684","True","Twin case to REV-01 -- both member failures of FCL-01 should resolve identically under CH-01/CH-02."
"REV-03","CH-03","V3_TIKU","FAIL-05 (T-04)","FAIL (RELATION_TYPE_FAILURE)","PASS_WITH_MODEL_CHANGE (Option A) or PASS_WITH_NEW_ENTITY (Option B) -- outcome depends on the pending Option A/B researcher decision (see CH-03)","MODERATE -- requires an actual artifact content addition (a new relation or a modified relation carrying right_status=EXEMPTED), not merely a schema-recognition change; regression risk if the new field/object is misapplied to the STANDING right relation instead of a new dedicated relinquishment record","Modified or extended tiku_1625_1740_relational_validation_artifact.json (Option A: add right_status=EXEMPTED to a new or existing relation; Option B: add one DisputeSettlement-style CommercialRight object)","Tiku validator gains a new check verifying the 1641 exemption is now representable without reversing any existing relation's direction","The 1641 toll exemption is representable as its own dated fact, distinguishable from the standing Aceh toll claim, without any change to the existing REL_1641_CLAIMS_JURISDICTION relation's own direction or values","True","This is the FIRST revalidation in this matrix that requires genuine artifact content change, not just schema recognition -- flagged for higher researcher scrutiny."
"REV-04","CH-03","V4_SILLIDA","FAIL-09 (T-06)","FAIL (RELATION_TYPE_FAILURE)","PASS_WITH_MODEL_CHANGE (same option as REV-03, must use the SAME option consistently across both cases)","MODERATE -- same rationale as REV-03, plus a cross-case CONSISTENCY risk: if Tiku and Sillida end up using different options (A vs B) for structurally identical gaps, this itself is a new inconsistency to guard against","Modified or extended sillida_resource_governance_relational_validation_artifact.json","Sillida validator gains the same new check family as REV-03's Tiku update","The 1698 salimoet relinquishment is representable as its own dated fact without reversing REL_1698_COLLECTS_TOLL_SALIMOET's own source-supported direction (regents as beneficiary, VOC as object)","True","MUST be implemented identically to REV-03 (same Option A or B) -- this pairing is the direct evidence base for CH-03's own CROSS_CASE_REQUIRED status; inconsistent implementation would undermine the cross-case rationale."
"REV-05","CH-06","V3_TIKU","FAIL-07 (T-16)","FAIL (ANNOTATION_MODEL_FAILURE)","PASS_WITH_MODEL_CHANGE","LOW -- purely additive annotation field, no existing relation direction or value changes","Modified tiku_1625_1740_relational_validation_artifact.json (add resistance_target_actor_id=ACTEUR_ACEH_COURT-equivalent to the two 1662 SWITCHES_ALIGNMENT_TO relations)","Tiku validator gains a check confirming resistance_target_actor_id, when populated, references a valid actor_id distinct from the relation's own object","The 1662 resistance_candidate=PARTIALLY_SUPPORTED value is now structurally disambiguated as targeting Aceh, not VOC, without altering the underlying resistance_candidate value itself","True","Smallest-risk revalidation in this matrix -- annotation-only, single field, single case."
"REV-06","CH-07","V4_SILLIDA","FAIL-10 (T-10)","FAIL (ANNOTATION_MODEL_FAILURE)","PASS_WITH_MODEL_CHANGE","HIGH -- this is the single highest-risk revalidation in the matrix: incorrect implementation could allow the armed enslaved company to be misrepresented as a voluntary actor if the new fields are not strictly confined to the observation entity and kept out of the relation model","Modified sillida_resource_governance_relational_validation_artifact.json (restructure OBS_CONSTRAINED_AGENCY_ARMED_ENSLAVED_COMPANY to use the new coercion_status/ability_to_refuse/political_intent/voice_availability fields)","Sillida validator gains a NEW, safety-critical check family: (a) the constrained-agency actor never appears as subject/object of ANY relation (already checked today, must remain checked); (b) coercion_status/ability_to_refuse/voice_availability are populated whenever a constrained-agency-flagged observation exists; (c) no relation_type anywhere references the same actor_id as a constrained-agency observation's own subject","The armed enslaved company's command relationship is representable with structured, comparable fields (coercion_status=COERCED, ability_to_refuse=NO, political_intent left CANNOT_DETERMINE/free-text) while validator check (a) continues to guarantee it can never appear in a directed relation","True","Per FCL-06's own severity finding, this revalidation's acceptance criteria are the most stringent in the matrix -- researcher sign-off explicitly required before this specific revalidation is executed, not merely before the wider V2.1 release."
"REV-07","CH-08","V4_SILLIDA","FAIL-08 (T-04)","FAIL (RELATION_TYPE_FAILURE)","PASS_WITH_NEW_ENTITY (contingent on researcher approval of CH-08, which this synthesis flags as single-case, MODERATE-risk evidence)","MODERATE -- introducing a new entity class (DisputeSettlement) from one case's evidence carries a higher chance of the object's own field design proving inadequate once a second case is examined","Modified sillida_resource_governance_relational_validation_artifact.json (add one DisputeSettlement object for the 1679 Bayang-Sillida fine)","Sillida validator gains new uniqueness/orphan-reference checks for the new DisputeSettlement entity class, mirroring the existing commodity/instrument check pattern","The 1679 fine's paying/receiving/mediating parties and VOC's own disproportionate share are representable in structured form, distinct from any toll, lease, or monopoly relation","True","Recommend deferring this specific revalidation until either a second dispute-settlement case is found, or the researcher explicitly accepts single-case-evidence risk for this specific change."
"REV-08","CH-04 (deferred)","V1_NATAL","FAIL-01 (T-06)","FAIL (institutional hesitation, pre-categorization)","NOT YET DEFINED -- no specific change is proposed for CH-04 (see changeset ledger); this revalidation is a placeholder pending a future design-exploration turn","UNKNOWN -- cannot be assessed until a specific change is proposed","To be determined","To be determined","To be determined pending a concrete CH-04 proposal","True","Included in this matrix for completeness (per the plan's own requirement that all genuine failures map to at least one future revalidation test) even though no concrete change yet exists to revalidate against."
"REV-09","CH-04 (deferred)","V2_KOTO_TANGAH","FAIL-02 (T-01)","FAIL (RELATION_TYPE_FAILURE)","NOT YET DEFINED -- same placeholder status as REV-08","UNKNOWN","To be determined","To be determined","To be determined pending a concrete CH-04 proposal","True","Twin placeholder to REV-08 -- both FCL-03 member failures require further design work before a concrete revalidation test can be specified."
"REV-10","CH-05 (no change proposed)","V2_KOTO_TANGAH","FAIL-03 (T-06)","FAIL (ENTITY_MODEL_FAILURE)","NO_ONTOLOGY_CHANGE_EXPECTED -- this revalidation tracks a SOURCE re-examination, not a Draft V2.1 schema change","N/A (no schema change) -- the only risk is a future philological finding that DOES require a schema change after all, which would then require a NEW change proposal outside this changeset","No artifact fixture required for a schema revalidation; a future source re-check of Vogel's own 'Refort' usage is the only required follow-up, entirely outside Draft V2's own scope","None required (no validator change proposed)","IF a future source re-check finds Vogel's 'Refort' term IS consistently distinguishable from plain territory references, THEN a future researcher may reconsider this as a new, separately-evidenced failure -- until then, T-06 remains an accepted, disclosed limitation, not a pending revalidation target","True","This is the one 'revalidation' in the matrix that explicitly does NOT anticipate a schema-driven PASS -- included for completeness per the plan's own mapping requirement, not because a fix is expected."
