inventory_item_id,inventory_date,location_id,inventory_section,category,row_type,quantity,unit_original,unit_normalized,normalization_status,normalization_reason,normalization_confidence,item_text_id,source_translation_full,condition_normalized,condition_original,reading_status,evidence_status,review_status,source_document_id,source_paragraph_index,image_verified,notes
INV-0001,1682-01-04,L-ASSAY-LAB,Assaijeurs gereetschappen boven in de mijn,assay_equipment,inventory_item,1,,stux,,,,"tungku pengujian dari besi, beserta instrumen atau perlengkapan apinya","1 tungku pengujian dari besi, beserta instrumen atau perlengkapan apinya;",,,translated_docx,,,DOC-INVENTORY-1682-01-04,802,not_checked,
INV-0002,1682-01-04,L-ASSAY-LAB,Assaijeurs gereetschappen boven in de mijn,assay_equipment,inventory_item,1,,stux,,,,sekop pendingin dari tembaga,1 sekop pendingin dari tembaga;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,803,not_checked,
INV-0003,1682-01-04,L-ASSAY-LAB,Assaijeurs gereetschappen boven in de mijn,assay_equipment,inventory_item,1,,stux,,,,"landasan kecil, beserta palu tangannya","1 landasan kecil, beserta palu tangannya;",,,translated_docx,,,DOC-INVENTORY-1682-01-04,804,not_checked,
INV-0004,1682-01-04,L-ASSAY-LAB,Assaijeurs gereetschappen boven in de mijn,assay_equipment,inventory_item,1,,stux,,,,ayakan dari pelat timah,1 ayakan dari pelat timah;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,805,not_checked,
INV-0005,1682-01-04,L-ASSAY-LAB,Assaijeurs gereetschappen boven in de mijn,assay_equipment,inventory_item,12,,stux,,,,berghmenten,12 berghmenten;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,806,not_checked,
INV-0006,1682-01-04,L-ASSAY-LAB,Assaijeurs gereetschappen boven in de mijn,assay_equipment,inventory_item,2,,stux,,,,"mortar besi, beserta penumbuknya","2 mortar besi, beserta penumbuknya;",,,translated_docx,,,DOC-INVENTORY-1682-01-04,807,not_checked,
INV-0007,1682-01-04,L-ASSAY-LAB,Assaijeurs gereetschappen boven in de mijn,assay_equipment,inventory_item,1,,stux,,,,bak air raksa dari besi cor,1 bak air raksa dari besi cor;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,808,not_checked,
INV-0008,1682-01-04,L-ASSAY-LAB,Assaijeurs gereetschappen boven in de mijn,assay_equipment,inventory_item,1,,vat_or_tong,,,,tong kecil berisi moffels,1 tong kecil berisi moffels;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,809,not_checked,
INV-0009,1682-01-04,L-ASSAY-LAB,Assaijeurs gereetschappen boven in de mijn,assay_equipment,inventory_item,1,,vat_or_tong,,,,tong kecil berisi pecahan atau wadah pengujian,1 tong kecil berisi pecahan atau wadah pengujian;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,810,not_checked,
INV-0010,1682-01-04,L-ASSAY-LAB,Assaijeurs gereetschappen boven in de mijn,assay_equipment,inventory_item,2,,stux,,,,"neraca pengujian halus, dalam keadaan tidak layak digunakan","2 neraca pengujian halus, dalam keadaan tidak layak digunakan;",unserviceable,,translated_docx,,,DOC-INVENTORY-1682-01-04,811,not_checked,
INV-0011,1682-01-04,L-ASSAY-LAB,Assaijeurs gereetschappen boven in de mijn,assay_equipment,inventory_item,2,,stux,,,,"neraca penimbang, masing-masing berada di dalam kotaknya","2 neraca penimbang, masing-masing berada di dalam kotaknya;",,,translated_docx,,,DOC-INVENTORY-1682-01-04,812,not_checked,
INV-0012,1682-01-04,L-ASSAY-LAB,Assaijeurs gereetschappen boven in de mijn,assay_equipment,inventory_item,2,,stux,,,,pelat atau wadah pengujian,2 pelat atau wadah pengujian;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,813,not_checked,
INV-0013,1682-01-04,L-ASSAY-LAB,Assaijeurs gereetschappen boven in de mijn,assay_equipment,inventory_item,3,,stux,,,,"gunting tangan, dua di antaranya tidak layak digunakan","3 gunting tangan, dua di antaranya tidak layak digunakan;",unserviceable,,translated_docx,,,DOC-INVENTORY-1682-01-04,814,not_checked,
INV-0014,1682-01-04,L-ASSAY-LAB,Assaijeurs gereetschappen boven in de mijn,assay_equipment,inventory_item,1,,stux,,,,tang pipih kecil,1 tang pipih kecil;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,815,not_checked,
INV-0015,1682-01-04,L-ASSAY-LAB,Assaijeurs gereetschappen boven in de mijn,assay_equipment,inventory_item,3,,stux,,,,tang kecil untuk butiran atau koren,3 tang kecil untuk butiran atau koren;,,,translated_docx,,,DOC-INVENTORY-1682-01-04,816,not_checked,
INV-0016,1682-01-04,L-ASSAY-LAB,Assaijeurs gereetschappen boven in de mijn,assay_equipment,container_or_parent,2,,stux,,,,"perangkat anak timbangan dari tembaga, yaitu","2 perangkat anak timbangan dari tembaga, yaitu:",,,translated_docx,,,DOC-INVENTORY-1682-01-04,817,not_checked,
