date_statement_id,event_id,source_object,category,retrieved_document_date,retrieved_document_date_role,precision,lower_bound,upper_bound,locator,evidentiary_basis,relation_to_candidate_child_event_time,coded_event_date_value_status
DS-001,EVT-1687-gm-vol04-05-162-a6b1,CD3 Document D,Document D resolution date,1687-12-22,RESOLUTION_DATE,EXACT_DAY,1687-12-22,1687-12-22,docs/cd/CD3.pdf printed p.442 (PDF idx 452),direct read prior operation,candidate EVENT_DATE for the Bajang-authorization child event; not independently corroborated by a third source,CANDIDATE_NOT_CONFIRMED
DS-002,EVT-1687-gm-vol04-05-162-a6b1,CD3 Document Dl,Document Dl resolution date,1687-12-22,RESOLUTION_DATE,EXACT_DAY,1687-12-22,1687-12-22,docs/cd/CD3.pdf printed p.444 (PDF idx 454),direct read prior operation,candidate EVENT_DATE for the Tarusan-treaty child event; not independently corroborated by a third source,CANDIDATE_NOT_CONFIRMED
DS-003,EVT-1687-gm-vol04-05-162-a6b1,GM vol.05 p.0162.xml,GM summary date assertion,1687-12-22,"RESOLUTION_DATE (per note mark 1 and separate remark, both citing 22 dec. 1687)",EXACT_DAY,1687-12-22,1687-12-22,docs/thesis/GM/xml/05/p0162.xml line 987 + remark block,direct read prior operation,textually dependent on Corpus III nr. D and nr. Dl (GM editorial apparatus explicitly cites both); not an independent date assertion,AMBIGUOUS_ANCHOR
DS-004,EVT-1681-CD3-239-27a2,CD3 (mismatched),document dateline,NOT_STATED_IN_INSPECTED_EXCERPT,PARTIAL_SOURCE_INSPECTION_DATE_ROLE_NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,docs/cd/CD3.pdf printed p.239 (PDF idx 249),direct read prior operation,NOT_APPLICABLE -- document mismatched to coded event,NOT_VERIFIABLE_FROM_CITED_DOCUMENT
DS-005,EVT-1682-CD3-309-b42a,CD3 (mismatched),document dateline,NOT_STATED_IN_INSPECTED_EXCERPT,PARTIAL_SOURCE_INSPECTION_DATE_ROLE_NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,docs/cd/CD3.pdf printed p.309 (PDF idx 319),direct read prior operation,NOT_APPLICABLE -- document mismatched to coded event,NOT_VERIFIABLE_FROM_CITED_DOCUMENT
DS-006,EVT-1687-CD3-436-b331,CD3 (mismatched),document dateline,1687-12-04,RESOLUTION_DATE,EXACT_DAY,1687-12-04,1687-12-04,docs/cd/CD3.pdf printed p.436 (PDF idx 446),direct read prior operation,this is the Bantam act's OWN dateline; not evidence about the coded event's true date because the cited document is mismatched,NOT_VERIFIABLE_FROM_CITED_DOCUMENT
DS-007,EVT-1686-buku_vogel_1690-722-2078,none located,source_unavailable,NOT_ASSESSED_SOURCE_UNAVAILABLE,NOT_ASSESSED_SOURCE_UNAVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,none,source unavailable,NOT_ASSESSED_SOURCE_UNAVAILABLE,NOT_ASSESSED_SOURCE_UNAVAILABLE
DS-008,EVT-1755-buku-padang-1718-238-0727,none located,source_unavailable,NOT_ASSESSED_SOURCE_UNAVAILABLE,NOT_ASSESSED_SOURCE_UNAVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,none,source unavailable,NOT_ASSESSED_SOURCE_UNAVAILABLE,NOT_ASSESSED_SOURCE_UNAVAILABLE
DS-009,EVT-1686-buku-vogel-1690-458-fa01,dependency: BL_IOR G.35.198,report date,1686-09-22,REPORT_DATE/DISPATCH_DATE,EXACT_DAY,1686-09-22,1686-09-22,docs/BL_IOR_G_35_198.txt,direct read prior operation,"post-dates coded row's date (1686-09-01) by 3 weeks; corroborates place/episode only, not the coded exact day",NOT_CONFIRMED_BY_DEPENDENCY
DS-010,EVT-1781-botham-letter-1781-1-d154,docs/HenryBotham,report date,1781-10-12,REPORT_DATE,EXACT_DAY,1781-10-12,1781-10-12,docs/HenryBotham,direct read prior operation,"this is the LETTER's own date, not the capture's date",N/A -- letter date is source-grounded and confirmed
DS-011,EVT-1781-botham-letter-1781-1-d154,docs/HenryBotham,packet-receipt interval,beginning of August 1781,"PROXY_DATE (interval, not exact)",BOUNDED_INTERVAL,"1781-08-01 (approx, unstated exact day)","1781-08-10 (approx, unstated exact day)",docs/HenryBotham,direct read prior operation,"dates the express packet's arrival at Fort Marlborough (news of war with the Dutch), NOT the Padang capture itself",NOT_APPLICABLE -- distinct event from the coded capture
DS-012,EVT-1781-botham-letter-1781-1-d154,docs/HenryBotham,historical event date not stated,PADANG_EVENT_DATE_NOT_ESTABLISHED_BY_THIS_PASSAGE,PADANG_EVENT_DATE_NOT_ESTABLISHED_BY_THIS_PASSAGE,NOT_EVALUABLE,NOT_ESTABLISHED,NOT_ESTABLISHED,docs/HenryBotham,direct read prior operation,"letter gives only relative sequencing (packet arrival, then 'a few days after' ships arrive, then expedition, then surrender 'immediately') -- no calendar day for the surrender; no bound manufactured",UNCONFIRMED_BY_THIS_SOURCE
DS-013,EVT-1781-kathirithamby-1965-314-6c8a,none located (citation mismatch),source_unavailable,NOT_ASSESSED_SOURCE_UNAVAILABLE,NOT_ASSESSED_SOURCE_UNAVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,NOT_EVALUABLE,docs/thesis/kathirithamby-wells1976.pdf (confirmed wrong work),"citation-object mismatch, not resolved",NOT_ASSESSED_SOURCE_UNAVAILABLE,NOT_ASSESSED_SOURCE_UNAVAILABLE
