factor,value_before_this_operation,value_after_this_operation,driver,corrective_action
G_G7_raw,0,0,"H-05 FAIL (preauthorization circularity confirmed, not a technical failure), H-08 FAIL (historical scope confirmed, technical carve-out not yet authorized)","Resolve the V2-A/V2-B governance-amendment review recommended at checkpoint 6 to break the H-05 circularity; obtain a separate, explicit historical-inference authorization decision to resolve H-08 (remains a distinct, permanent constraint regardless of V2-A/V2-B)"
G_dedup_primary,0,1,DEDUP-05 and DEDUP-06 both resolved this operation as SAME_EVENT_MULTIPLE_REPORTS_KEEP_ONE_EVENT_LINK_REPORTS via primary-source retrieval (CD6 CMLXXVII; CD3 Document D),none required -- resolved this operation
P_analysis,0,1,"AS1_PROVENANCE_CLEARED intersect AS3_INTERVAL_ELIGIBLE selected as primary analysis set (n=86), mechanically derived and denominator-verified (33+9+13=55; 86+55=141)",none required -- resolved this operation
F_SLR,0,0,"F-08 (time-rescaling theorem) disposed as FORMULA_SUPPORT_NOT_RESOLVED: I_r=1,M_r=1,P_r=0,L_r=1,D_r=1, so A_r_formula=0; F_R=13, F_A=14",Obtain lawful full-text access to Ogata (1988) JASA 83(401) pp.9-27 and confirm the exact section/theorem/equation locator; separately verify the Papangelou primary-source attribution
Boundary_null_status,unspecified future procedure,specified as future framework (not a corrected p-value),"MODEL_COMPARISON_WITHOUT_ASYMPTOTIC_P_VALUE adopted as FUTURE_MODEL_EVALUATION_AND_REPORTING_FRAMEWORK, I_q_effective=1 via non-applicability (no boundary-null reference invoked), not via resolved identifiability",none required this operation; corrected p-value remains NOT_COMPUTED and out of scope until a future authorized modeling operation
H-05,FAIL (Phase D failure treated as the only evidence),FAIL (H05_PREAUTHORIZATION_CIRCULARITY_CONFIRMED),Distinct recovery design fully specified (D_distinct=1) but never executed; naive authorization rule is circular,"Adopt the staged V2-A/V2-B governance structure (recommended, not adopted, this operation) so H-05 becomes an output gate of a validation-only V2-A stage rather than a precondition for authorizing V2-A"
H-08,FAIL (scope unexamined),"FAIL (scope adjudicated: H_08_technical=1, H_08_historical=0)",Verbatim source distinguishes 'Hawkes family = NOT_RULED_OUT' from 'Historical inference = NOT_AUTHORIZED',"Obtain a separate, explicit researcher decision authorizing historical inference if ever sought; independently, obtain an explicit governance decision defining a technical-only gate subset if a technical carve-out is ever to be formally authorized"
O_obs,1,1,unchanged,none required
E_epi,1,1,unchanged,none required
I_guard,1,1,unchanged,none required
G_V2A_preauth,not previously defined,0,F_SLR=0 and G_G7_raw-derived constraints (B_historical satisfied but F_SLR blocks) prevent even the narrower validation-only staged gate from passing,resolve F-08 provenance; obtain the V2-A governance-amendment review recommended at checkpoint 6
G_V2_preauth,0,0,"G_G7_raw=0 alone zeroes the product regardless of D_distinct=1, P_analysis=1, O_obs=1, E_epi=1, I_guard=1",see G_G7_raw and G_V2A_preauth corrective actions above
A_V2,0,0,"G_V2_preauth != 1, so no authorization artifact is created this operation",contingent on G_V2_preauth=1 in a future operation
G_V2_model,0,0,G_V2_preauth * A_V2 = 0 * 0 = 0,contingent on the above
