gate_id,version,candidate,model_equation_id,parameter_space,estimand,null_definition,applicability,mandatory_advisory_status,metric_name,metric_formula,denominator,threshold,threshold_status,threshold_provenance,failure_meaning,source_original_gate,source_amendment,implementation_status,notes
GATE-001-V2,V2,M0,M0-EQ-1,Theta_M0={gamma;phi>0},invalid_estimate_rate,N/A (not a null-boundary metric),APPLICABLE,MANDATORY,invalid_estimate_rate,fraction of replicates where the optimizer fails to return a usable estimate,ATTEMPTED_REPLICATIONS (denominator policy REQUIRES_PREIMPLEMENTATION_DECISION per NUM-DEC-01 analogue for M0),<= 0.05,FROZEN_UNCHANGED,RESEARCHER_POLICY,candidate excluded from tournament,GATE-001,none (unchanged),NOT_EXECUTED,Carried forward verbatim from original spec; M0 correction (full-Hessian) does not alter this gate's definition.
GATE-004-V2,V2,M0,M0-EQ-1,Theta_M0,normalized_absolute_bias_baseline_param (theta0/gamma_0),N/A,APPLICABLE,MANDATORY,normalized_absolute_bias_baseline_param,|mean(gamma0_hat)-gamma0_true| / scale,ATTEMPTED_REPLICATIONS,<= 0.25,FROZEN_UNCHANGED,RESEARCHER_POLICY,candidate excluded from tournament,GATE-004,none (unchanged),NOT_EXECUTED,Unaffected by Proposal 1.
GATE-007-V2,V2,M0,M0-EQ-1,Theta_M0 = (gamma; eta_phi=log phi),ci_coverage_95pct (full-Hessian),N/A,APPLICABLE,MANDATORY,ci_coverage_95pct,"(1/R) sum I(theta_true in [L_r,U_r]) using Cov_hat=H_NLL(theta_hat)^-1 over complete parameter vector (gamma;eta_phi); full cross-partials required",ATTEMPTED_REPLICATIONS with converged/valid subset reported separately,between 0.925 and 0.975,FROZEN_UNCHANGED_METHOD_CORRECTION_REQUIRED,SIMULATION_DESIGN_REQUIREMENT,candidate excluded from tournament,GATE-007,PROPOSAL-01 (APPROVED_WITH_LIMITATIONS; full-Hessian required; diagonal-only prohibited; oracle n=60 coverage 93.3% inside band; not a full rerun),NOT_EXECUTED,Threshold band unchanged; the computation METHOD is amended (full Hessian incl. log_phi; no silent diagonal fallback; disclosed pseudoinverse if used). Implementation NOT_AUTHORIZED.
GATE-002-V2,V2,M0,M0-EQ-1,Theta_M0,false_positive_excitation_rate,n/a - no excitation parameter in Theta_M0,NOT_APPLICABLE_TO_MODEL_DOMAIN,N/A,false_positive_excitation_rate,N/A (undefined on Theta_M0),N/A,N/A,NO_THRESHOLD_DIAGNOSTIC_ONLY,MATHEMATICAL_REQUIREMENT,not scored; does not affect M0 verdict,GATE-002,MODEL_3B_PILOT_RECOVERY_DIAGNOSTIC_AUDIT.md Mathematical Domain ruling (unchanged by amendments),NOT_APPLICABLE,"M0 has no alpha/beta/n; q_g undefined on Theta_M0 per applicability rule A(g,m)."
GATE-003-V2,V2,M0,M0-EQ-1,Theta_M0,absolute_relative_bias_excitation_params,n/a,NOT_APPLICABLE_TO_MODEL_DOMAIN,N/A,absolute_relative_bias_excitation_params,N/A,N/A,N/A,NO_THRESHOLD_DIAGNOSTIC_ONLY,MATHEMATICAL_REQUIREMENT,not scored; does not affect M0 verdict,GATE-003,diagnostic audit Mathematical Domain ruling,NOT_APPLICABLE,Same reasoning as GATE-002-V2.
GATE-005-V2,V2,M0,M0-EQ-1,Theta_M0,branching_ratio_absolute_bias,n/a,NOT_APPLICABLE_TO_MODEL_DOMAIN,N/A,branching_ratio_absolute_bias,N/A,N/A,N/A,NO_THRESHOLD_DIAGNOSTIC_ONLY,MATHEMATICAL_REQUIREMENT,not scored; does not affect M0 verdict,GATE-005,diagnostic audit Mathematical Domain ruling,NOT_APPLICABLE,Same reasoning as GATE-002-V2.
GATE-006-V2,V2,M0,M0-EQ-1,Theta_M0,branching_ratio_relative_bias,n/a,NOT_APPLICABLE_TO_MODEL_DOMAIN,N/A,branching_ratio_relative_bias,N/A,N/A,N/A,NO_THRESHOLD_DIAGNOSTIC_ONLY,MATHEMATICAL_REQUIREMENT,not scored; does not affect M0 verdict,GATE-006,diagnostic audit Mathematical Domain ruling,NOT_APPLICABLE,Same reasoning as GATE-002-V2.
GATE-036-V2,V2,M0,M0-EQ-1,Theta_M0,false_negative_excitation_rate,n/a,NOT_APPLICABLE_TO_MODEL_DOMAIN,N/A,false_negative_excitation_rate,N/A,N/A,N/A,NO_THRESHOLD_DIAGNOSTIC_ONLY,MATHEMATICAL_REQUIREMENT,not scored; does not affect M0 verdict,GATE-036,GATE-036 correction (freeze commit 4b94cd6); reclassified from PROTOCOL_NOT_COMPLETED to NOT_INTERPRETABLE/NOT_APPLICABLE_TO_MODEL_DOMAIN,NOT_APPLICABLE,M0 has no excitation-positive state; a false-negative-excitation event cannot occur by construction.
GATE-038-V2,V2,M0,M0-EQ-1,Theta_M0,boundary_solution_rate,N/A,APPLICABLE,ADVISORY,boundary_solution_rate,boundary-solution replications / attempted replications,ATTEMPTED_REPLICATIONS (explicit; not silently interchanged with converged),<= 0.10,FROZEN_UNCHANGED,RESEARCHER_POLICY,non-blocking; factored into tie-breaking and root-cause attribution,GATE-038,PROPOSAL-06 (advisory gate never computed by pilot; must be computed at future versioned execution; does not affect verdict unless severe finding),NOT_COMPUTED,One of the 17 advisory gates (Spec V2 SS27).
GATE-039-V2,V2,M0,M0-EQ-1,Theta_M0,held_out_predictive_score,N/A,APPLICABLE,ADVISORY,held_out_predictive_score,predictive score on temporal held-out split vs M0's own matched-settings score,temporal train/test split within each synthetic replicate,must exceed M0's own held-out score at matched settings,FROZEN_UNCHANGED,COMPARATIVE_BENCHMARK,non-blocking; diagnostic only,GATE-039,PROPOSAL-06,NOT_COMPUTED,One of the 17 advisory gates.
GATE-040-V2,V2,M0,M0-EQ-1,Theta_M0,source_removal_stability,N/A,APPLICABLE,ADVISORY,source_removal_stability,parameter estimate shift under leave-one-source-out refit,leave-one-(synthetic)-source-out refit count,<= 0.20 relative,FROZEN_UNCHANGED,RESEARCHER_POLICY,non-blocking; diagnostic only,GATE-040,PROPOSAL-06,NOT_COMPUTED,One of the 17 advisory gates; requires simulation Stage 2 source tagging.
