item_id,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,quantifiable_components,non_quantifiable_components,G_quant_pass,notes
R-O1,0,0,0,1,1,0,0,0,1,0,0,0,"U4: 22/141 blank event_date_precision is a plain count, D=S=I=P=1 (domain/scale/identification/provenance all justified by the schema field itself)","U5: the evidence-grounded I_i/B_i/G_i/P_i construct has no identification basis beyond raw field presence (I_i=0) -- NOT_COMPUTABLE, not merely unmeasured",0,"Do not compress the 119/141 EVENT_METADATA_MINIMUM_AVAILABILITY proxy and the NOT_COMPUTABLE original construct into one uncertainty number -- they have different G_quant status."
R-O2,0,0,1,0,1,0,0,0,0,0,1,0,none,"U5 (no atomic report_id entity exists in schema -- ontological absence, not measurement noise); U11 (report-event mapping cardinality is itself one of the open mechanism dimensions, Section 8)",0,"U3 assigned because 'what counts as one report' is a model-form choice this project has not fixed, distinct from U5's entity-existence gap."
R-O3,0,0,0,0,1,0,0,0,1,0,1,0,"completeness sub-result: U9 only, D=S=I=P=1 (141/141 rows have a populated label, a countable fact)","correctness sub-result: U5 (parent-episode entity has no source/audit locator distinct from the label) and U11 (fragmentation vs genuine-excitation underdetermination, MEC-07)",0,"Completeness and correctness are quantified/typed separately, matching the PRESERVED completeness=PASS / correctness=NOT_EVALUABLE split in the gate matrix."
R-O4_DEDUP06,0,0,0,0,1,1,0,0,1,0,1,0,none,"U5 (is the unresolved referent a second event, a citation target, or the same event -- an identity question); U6 (RGP cross-reference resolvability depends on source-survival/access, no denominator); U11 (3 live hypotheses, Section D5 matrix)",0,"R-O4 the GATE is FAIL (a demonstrated fact: 1 AS86 event sits in an unresolved dedup case); DEDUP-06 the REFERENT is the unresolved item carrying this uncertainty vector -- the two are kept distinct per Section 9 of the governing instruction."
R-O5,0,0,0,1,0,0,0,0,0,0,0,0,"U4: interval bounds (L_i,U_i) per precision class are a measurement-boundary question with D=S=I=P=1 once a parsing rule is researcher-reviewed and adopted -- currently not attempted to avoid silent point-substitution, not currently blocked by ontology",none,1,"The only R-O item whose uncertainty is presumptively quantifiable per Section 4 (U4) once the deferred parsing-rule step is done; deferral is a methodological choice, not an evidentiary gap."
R-O6,0,0,0,0,1,0,0,0,0,0,0,0,none,"U5 (actor-role / documented-outcome / action-source-term entities do not exist in the schema at all -- pure ontological absence)",0,"No coding uncertainty (U9) assigned because there is nothing coded yet to be uncertain about; the gap is upstream of coding."
R-O7,0,0,0,0,0,0,0,1,0,0,0,0,none,"U8 (project_analytic_category labels are this project's own coding choices; the literal colonial-administrative source term and its administrative-or-polemical function are unextracted -- a source-intent/category question, not a measurement one)",0,"Directly the subject of the governing instruction's Section 2 item 9 prohibition (colonial administrative categories treated as neutral) -- kept as U8, never silently folded into U9 coding uncertainty."
R-O8,0,0,0,0,0,1,1,0,0,0,0,0,none,"U6 (R_record, R_survival: structurally unobservable from this project's holdings alone, confirmed in OBSERVATION_PROCESS_REGISTER -- no denominator exists, not merely unmeasured); U7 (R_access: partially determinable, source-chain-to-primary audit incomplete but the access process itself is in principle observable)",0,"U6 here is explicitly 'without denominator' per Section 4's exclusion list -- distinct from R-O9's U6 below, which has a defined (if unmet) candidate-domain structure."
R-O9,0,0,0,0,0,1,0,0,1,0,0,0,none,"U6 (4 of 6 candidate exposure types require an external archival ledger not located in this repository -- OPEN_CANDIDATE_DOMAIN, no denominator); U9 (the 2 assessed candidates are FULLY_DERIVED_FROM_EVENT_CORPUS, a coding/construction-uncertainty reason they fail C_m=0)",0,"U6 here HAS a defined candidate-type structure (6 named types, Section 10) even though the domain is open -- weaker claim than R-O8's undenominated U6, kept distinct."
R-O10,0,1,1,0,0,0,0,0,0,0,1,0,"U2 component: once O/T/E/J inputs resolve, remaining parameter uncertainty in mu(t)/alpha/beta would be presumptively quantifiable -- not reached yet, listed for completeness only","U3 (functional form of mu(t) -- piecewise-era, spline, exposure-covariate -- is an open model-form choice per Section 11 of the M1 row); U11 (mu(t)-vs-kernel identifiability tradeoff for M3 is explicitly uncharacterized)",0,"R_m^now requires O=T=E=I=P=1 jointly; current O=T=E=J=0 for both M1 and M3 means the U2 component is not yet reachable -- recorded as a future, not current, quantifiable component."
G_sourcecrit,0,0,0,0,0,0,0,1,0,0,0,1,none,"U8 (inherits R-O7's source-intent/category gap in full); U12 (what counts as 'unmarked colonial' or 'unsupported resistance label' is itself a governance/decision-rule choice not yet made by the researcher)",0,"gate_indicator=0 with evaluation_status=NOT_EVALUABLE in the source gate matrix is preserved; this ledger adds U12 because the compound gate's own threshold definition is itself undecided, not only its inputs."
G_ontology_future,0,0,1,0,1,0,0,0,0,0,1,0,none,"U3 (no single model-form committed for PARENT_EPISODE/report-event mapping); U5 (M_event, M_episode trace to NOT_EVALUABLE ontology constructs); U11 (M_report, M_source trace to demonstrably absent schema fields -- this component is closer to a hard absence than underdetermination, hence the source file's MIXED label, preserved here)",0,"Matches the source gate matrix's explicit MIXED evaluation_status -- recorded here as a genuinely mixed uncertainty-type vector rather than forced into one U-code."
