component,S_q_defined,authoritative_evidence,status,notes
H05_TARGET_CONSTRUCT,0,"'Simulation recovery passed' (root); 'parameter recovery (RB/RMSE/coverage)' (gate matrix)",AMBIGUOUS,"Root text names a checklist outcome, not a construct. Elaboration names three non-equivalent constructs (bias-type, error-magnitude, interval-coverage) without picking one; a fourth (AIC-selection accuracy) was the actual historical operative construct."
H05_METRIC,0,"'RB/RMSE/coverage' (G7_GATE_MATRIX metric column) vs 'AIC-selection accuracy 15.6-19.2%' (same row's own FAIL justification)",AMBIGUOUS_INTERNALLY_CONTRADICTORY,"Same authoritative row names one metric family in its metric field and cites a verdict number from a different, unnamed metric family. Four candidate metrics exist in the primary evidentiary source (Phase D audit), each with its own threshold and pass/fail pattern."
H05_UNIT_OF_ANALYSIS,0,none found,ABSENT,"No source states whether the unit is one replication, one parameter, one design/arm, or a pooled cross-arm summary."
H05_PARAMETER_DOMAIN,0,"'eta, alpha, beta' named in every source",PARTIALLY_DEFINED,"Parameters are named consistently, but whether all three must jointly pass, whether eta (a derived ratio of alpha/beta) is separately evaluable, or whether any one suffices is never stated."
H05_DESIGN_DOMAIN,1,"'a design distinct from Phase D' (all sources); satisfied by HAWKES_BASELINE_V2_RECOVERY_DISTINCTION_MATRIX.csv (D_distinct=1 across 8 required components, already-approved prior artifact)",DEFINED,"This is the one component with clean, consistent, prespecified authoritative support, independently satisfied by V2-A's D7-D10 designs before any recovery result was observed."
H05_ESTIMATOR_ARM_DOMAIN,1,"governing instruction's own explicit fallback rule (Section 8): eligible set = {D7,D8,D9-correct,D10} absent contrary governance; no governance document specifies a different domain",DEFINED_BY_OPERATING_FALLBACK,"D2 excluded (missing prespecification provenance, per HAWKES_BASELINE_V2_H05_H08_SCOPE_ADJUDICATION.csv's own D2 finding from the prior operation); D9-misspecified excluded by explicit design intent (descriptive/falsification arm, counted_toward_H05=False in its own row data)."
H05_DENOMINATOR,0,"B_a=278 matches V2-A's actual per-arm replication count, but no governance document independently fixes this as THE H-05 denominator before V2-A executed",AMBIGUOUS_DERIVED_NOT_PRESPECIFIED,"278 is a fact about V2-A's design, not a value any H-05 governance text specifies in advance; treating it as authoritative for H-05 specifically would be reasoning backward from the completed study."
H05_AGGREGATION_RULE,0,none found,ABSENT,"No source states how per-parameter, per-arm results combine into one PASS/FAIL: unanimous across all arms/parameters? Majority? Worst-case? Never specified."
H05_FAILURE_RULE,0,"instruction's own convention that optimizer failures remain in the unconditional denominator; no independent governance document states this for H-05 specifically",AMBIGUOUS_DERIVED_NOT_PRESPECIFIED,"A defensible general convention, but not traceable to a pre-V2A governance document, so cannot be certified as authoritatively fixed for this specific gate."
H05_THRESHOLD_AND_CONSEQUENCE,0,">=0.80 (all sources agree on the number); PASS enables a future V2-B authorization review (HAWKES_BASELINE_V2_FINAL_MODELING_AUTHORIZATION_RECOMMENDATION.md)",THRESHOLD_TARGET_AMBIGUOUS,"The number 0.80 is stable across every source, but WHAT it is a proportion/probability OF (coverage? proportion of parameters? proportion of arms? AIC-selection accuracy?) is never uniquely pinned -- exactly the ambiguity the governing instruction's Section 10 anticipates and requires be recorded as H05_THRESHOLD_TARGET_AMBIGUOUS. Consequence (PASS->V2-B review eligible) is comparatively clear."
G_H05_semantic,0,product of all ten S_q values above,INCOMPLETE,"2 of 10 components (design domain, estimator-arm domain) are cleanly defined; the remaining 8 are ambiguous, internally contradictory, absent, or only derivable in hindsight from the completed study rather than fixed in advance."
