search_id,decision_id,database_or_engine,query_text,search_date,result_count_inspected,inclusion_basis,exclusion_basis
S-001,OD-005;OD-006,Claude WebSearch,"Morris White Crowther ""Using simulation studies to evaluate statistical methods"" Statistics in Medicine 2019",2026-08-30,10,"canonical simulation-study design tutorial directly defining bias/coverage/MCSE performance measures used by REQ-M2-005/REQ-M2-008",n/a
S-002,OD-005;OD-006,Claude WebFetch,https://onlinelibrary.wiley.com/doi/10.1002/sim.8086,2026-08-30,1,attempted publisher full text,"HTTP 403 (paywalled) -- excluded as inaccessible, open PMC copy used instead"
S-003,OD-005;OD-006,Claude WebFetch,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6519266/,2026-08-30,1,attempted PMC full text via wrong article ID found in an earlier search result,"resolved to an unrelated paper (Riley et al. 2019, sample-size calculation) -- excluded as wrong source, not used for any claim"
S-004,OD-005;OD-006,Claude WebSearch,"""Using simulation studies to evaluate statistical methods"" Morris pmc.ncbi.nlm.nih.gov",2026-08-30,8,located the correct open-access PMC copy (PMC6492164) of Morris et al. 2019,n/a
S-005,OD-005;OD-006,Claude WebFetch,https://pmc.ncbi.nlm.nih.gov/articles/PMC6492164/,2026-08-30,1,"full text accessed; contains explicit bias/coverage/MCSE formulas and the relative-bias-undefined-at-zero statement directly relevant to OD-005/OD-006",n/a
S-006,OD-006,Claude WebFetch,https://arxiv.org/abs/2409.18527,2026-08-30,1,"abstract-level check of Pawel et al. missingness-in-simulation-studies review before committing to full PDF fetch",insufficient detail at abstract level for OD-006's denominator question -- followed up with full PDF fetch (S-007)
S-007,OD-006,Claude WebFetch,https://arxiv.org/pdf/2409.18527,2026-08-30,1,"full text accessed; directly addresses attempted-vs-valid denominator choice for coverage/bias under simulation failure, with explicit bias-warning and MCAR/MAR/MNAR-analogue classification -- primary source for OD-006 adversarial evidence",n/a
S-008,OD-006,Claude WebSearch,"Pawel Bartoš Siepe Lohmann ""Handling Missingness, Failures, and Non-Convergence in Simulation Studies"" published journal 2025",2026-08-30,8,"confirmed peer-reviewed publication in The American Statistician (2025), upgrading the source from preprint to peer-reviewed for citation purposes",n/a
S-009,OD-015,Claude WebSearch,"deterministic seed hierarchy checkpoint restart provenance Monte Carlo simulation study reproducibility computational",2026-08-30,10,"surfaced candidate primary/canonical sources for OD-015 (Sandve et al. 2013; Antunes and Hill 2024; ParaMonte/Shahmoradi and Bagheri 2020)","results limited to library-specific implementation notes (ParaMonte, MatDRAM, Carlo.jl) not used as primary evidence beyond the one source fetched (S-013)"
S-010,OD-015,Claude WebSearch,"Sandve Nekrutenko Taylor Hovig ""Ten Simple Rules for Reproducible Computational Research"" PLOS Computational Biology 2013",2026-08-30,9,"located the canonical open-access foundational paper on computational-research provenance/reproducibility practice",n/a
S-011,OD-015,Claude WebFetch,https://journals.plos.org/ploscompbiol/article?id=10.1371%2Fjournal.pcbi.1003285,2026-08-30,1,"full text accessed (open-access CC-BY journal); Rules 1/4/5/6/7/9 map directly to OD-015's manifest schema fields (provenance, seed recording, versioning, intermediate-result archiving)",n/a
S-012,OD-015,Claude WebFetch,https://arxiv.org/abs/2402.07530,2026-08-30,1,"peer-reviewed (Computer Science Review 2024) general HPC-reproducibility survey included as contextual/limited-access source","abstract-page fetch only returned metadata/abstract, not full text -- access_status=ABSTRACT_ONLY, not used for any strong standalone claim"
S-013,OD-015,Claude WebFetch,https://arxiv.org/abs/2009.14229,2026-08-30,1,"checked ParaMonte (Shahmoradi and Bagheri) for a directly relevant deterministic-restart/seed-hierarchy technical claim seen in the S-009 search-engine summary",abstract-page fetch did not surface the deterministic-restart claim in verifiable full text -- the earlier search-engine summary's claim is NOT independently confirmed and is excluded from the evidence ledger as unverified
S-014,OD-005,Claude WebSearch,"Burton Altman Royston Holder ""design of simulation studies in medical statistics"" 2006",2026-08-30,10,"located the pre-ADEMP canonical predecessor paper (Statistics in Medicine 2006) on simulation-study design, for foundational context on bias-metric practice",n/a
S-015,OD-005,Claude WebFetch,https://www.semanticscholar.org/paper/The-design-of-simulation-studies-in-medical-Burton-Altman/90770b49eba334000212730e7760161982c6ac49,2026-08-30,1,attempted full text via Semantic Scholar,"page returned no extractable content -- excluded from full-text claims, citation retained at METADATA_ONLY access status only"
S-016,OD-005,Claude WebSearch,"White ""simsum: analyses of simulation studies including Monte Carlo error"" Stata Journal 2010",2026-08-30,10,"located the field-standard reference implementation paper (White 2010) and its modern R port (rsimsum) for corroborating bias/coverage denominator conventions",n/a
S-017,OD-005;OD-006,Claude WebFetch,https://www.stata.com/meeting/uk09/uk09_white.pdf,2026-08-30,1,attempted full text of White's original conference presentation PDF,"PDF returned as unreadable compressed font/stream data, no text layer extractable -- excluded from full-text claims, citation retained at METADATA_ONLY access status only"
S-018,OD-005;OD-006,Claude WebFetch,https://ellessenne.github.io/rsimsum/reference/simsum.html,2026-08-30,1,"full text accessed (official software documentation maintained by the method's own developers, citing White 2010 and Morris et al. 2019); confirms the field-standard tool's default na.rm=TRUE (valid-only denominator) behavior, directly relevant to OD-006's denominator question and used as triangulating evidence against Pawel et al. 2025's caution",n/a
