source_page,book_page,entry_date_raw,direction,commodity_raw,quantity_raw,unit_raw,price_value,price_unit_raw,actor_raw,text_asli,notes
33,16,22 Januari 1644,van_atjeh,,,,,,gilioen milik duta besar Atchin (singgah dari Indrapoura),"Comt een gilioen van Indrapoura toebehorende den ambassadeur van Atchin ledigh, ende een tinangh van Palembangh...","Kargo KOSONG (ledigh) -- perahu duta Atjeh singgah Batavia dlm perjalanan dari Indrapura, bukan transaksi dagang"
77,60,17 April 1644,van_atjeh,,,,,,konting dari Atchin,"Een contingh van Atchin ledich, comende hier eenelijck om een pascedul na Grissie.",Kargo KOSONG (ledich) -- kapal hanya singgah mengurus surat jalan (pascedul) ke Grissie/Gresik
87,70,7 Mei 1644,naar_atjeh,Chinese waren,1000,realen (nilai),,,"gillion (tak bernama), rute Batavia-Malacca-Atchin",Ende vertrecken een gillion na Malacca ende voort na Atchin met duijsent realen Chinese waren...,"Nilai kargo, bukan kuantitas fisik; kapal transit lewat Malacca dulu"
96,79,16 Mei 1644,naar_atjeh,Chinese waren,1760,realen (nilai),,,"konvoi 4 kapal (satu tujuan Atchin, lainnya Succadana/Zillebhaer/Andragiri)","vertrecken een na Atchin, een na Succadana, een na Zillebhaer ende een nevens een solor na Andragiri, uijtvoerende 1760 realen Chinese waren ende 2390 realen aen cleden.","PERHATIAN: nilai 1760+2390 realen adalah AGREGAT 4 kapal tujuan berbeda, BUKAN eksklusif utk Atchin -- porsi Atchin saja tak terpisah dlm teks"
96,79,16 Mei 1644,naar_atjeh,cleden,2390,realen (nilai),,,"konvoi 4 kapal (satu tujuan Atchin, lainnya Succadana/Zillebhaer/Andragiri)","vertrecken een na Atchin, een na Succadana, een na Zillebhaer ende een nevens een solor na Andragiri, uijtvoerende 1760 realen Chinese waren ende 2390 realen aen cleden.","PERHATIAN: nilai agregat 4 kapal tujuan berbeda, BUKAN eksklusif utk Atchin"
137,120,9 Mei 1644,in_atjeh,peper,22,bhaer (+18 catti),7,theijl/bhaer,ondercoopman Jan Lucassen Levendich (comptoir Atchin),"dat sedert sijnen jonxste van dato 24 November 1643 aldaer in de negotie weijnich was voorgevallen, als alleen dat 22 bhaer peeper ende 18 catti tegens 7 theijl de bhaer genegotieert hadde, hebbende geene meerder quantiteijt dorven opslaen, door oorsaeck de Mooren die hooch opgejaecht ende tot 9 taijl gecocht ende vervoert hadde.",Harga pasar naik sampai 9 taijl krn pedagang 'Moor' (India-Muslim) menimbun; VOC tak berani beli lebih banyak
137,120,9 Mei 1644,in_atjeh,thin,"100 (DITAWAR, TAK JADI DIBELI)",bhaer,32,theijl/bhaer,ondercoopman Jan Lucassen Levendich (comptoir Atchin) -- sumber Perach/Perak,"Sulcx hem in voegen vorenverhaelt, met 100 bhaer Perachs tin oock wedervaeren was, daer al 32 thaijl voor gebooden ende niet connen becomen had, daerom tot naerder gelegentheijt te vasten, goet vont. Dat daer goet was ende beter voor 10 thaijl con becomen dan van den Armenier op schuld tot 25 door den oppercoopman Pieter Willemsen aengenomen was.","Timah Perak 100 bhaer ditawar 32 taijl -- TIDAK jadi dibeli, tunggu harga turun; timah lain bisa 10 taijl vs 25 taijl yg sudah dibeli dari pedagang Armenia oleh Pieter Willemsen"
137,120,9 Mei 1644,in_atjeh,,108 taijl 51 maes,taijl,,,"Pasie Jamboel, schrijver op Tico (piutang macet)","eenelick dispereerden wegens de schult van Pasie Jamboel, schrijver op Tico, bedragende 108 taijll 51 maes.",Piutang macet (bukan barang) -- dicatat krn relevan neraca comptoir Atchin
138,121,3 Mei 1644,naar_atjeh,barnsteen,(tak berangka -- 'goede partij'),,,,"schip Willem (Engels, kapt. Perman Hackman)","Op 3 Maij passado was aldaer van de nieuwe Woddelsche Engelsche vloot off Comp verscheenen 'tschip d'Willem, daer cap' op was Perman Hackman, sijne ladinghe bestont in goede partij barnsteen, veel Engelse roode laeckenen, loot ende ijser, divarsche soort ceringh van cleeden, sallepeter, ende wel 40 duijsent reaellen van achten in spetie, daermede voorgaven naer China te willen vertrecken.","Kapal Inggris transit ke China, bukan tujuan akhir Atjeh; kuantitas deskriptif saja ('goede partij'/'veel'), tak ada angka"
138,121,3 Mei 1644,naar_atjeh,roode laeckenen,(tak berangka -- 'veel'),,,,"schip Willem (Engels, kapt. Perman Hackman)","sijne ladinghe bestont in goede partij barnsteen, veel Engelse roode laeckenen, loot ende ijser, divarsche soort ceringh van cleeden, sallepeter, ende wel 40 duijsent reaellen van achten in spetie",Kain wol merah Inggris; kuantitas deskriptif saja
138,121,7 Mei 1644,naar_atjeh,salpeter,80,bhaer,,,Ratu Atjeh (Sultanah) -- dibeli dari schip Willem (Engels),Den 7 ditto hadden audientie voor haere Mat ... ende had haerre Mat belast de 80 bhaer salpeter die met gebracht hadden van haer aff te koopen.,"CATATAN TERJEMAHAN: 'salpeter' (Dutch) = kalium nitrat, bahan mesiu -- BUKAN diterjemahkan 'sendawa' dlm baris data ini, istilah asli dipertahankan. Ratu memerintahkan pembelian dari kapal Inggris."
138,121,Mei 1644,in_atjeh,,1400,taijl,4,percento/maand,dua pedagang Inggris (comptoir lama),d'Engelsen hadden soober negotie ende seer belast met schulden ende was daer aen twee persoonen schulldich 1400 taijl daer permaent 4 percento van betaelen mosten; hadden 24 stuckenlaeckenen uijt de hant geworpen om contant te hebben.,"Kondisi dagang Inggris di Atjeh buruk -- piutang berbunga tinggi, bukan barang VOC"
139,122,keberangkatan 12 Feb-2 Maret 1644,van_atjeh,benjuwin,"(agregat, tak dirinci per komoditas)",,,,"armada asing kolektif: 2 kapal Gousaratse (Gujarat), 1 Massalapatander (Masulipatnam), 4 kapal Clingsche (Kling/Coromandel), 1 kapal Peguer (Pegu)","Twee Gousaratse scheepen, Een Massalapatander ende, Vier Clingsche scheepen, mitsgaders Een Peguer, waeren desen jare daer geparresseert met verscheijde coopmanschappen, daer voren op 12 ende 20 Februarij alls 2 Maert weder vertrocken ende wech gevoert hadden partij benjuwin, campher, swavel, peeper, thin, gout, sandel ende paerden, neffens eenige eliphanten.","Satu kalimat sumber mencantumkan 9 komoditas sekaligus tanpa rincian kuantitas per item -- dipecah jadi baris terpisah per komoditas, quantity_raw semua NULL/agregat"
139,122,keberangkatan 12 Feb-2 Maret 1644,van_atjeh,campher,"(agregat, tak dirinci per komoditas)",,,,armada asing kolektif (Gujarat/Masulipatnam/Kling/Pegu),"wech gevoert hadden partij benjuwin, campher, swavel, peeper, thin, gout, sandel ende paerden, neffens eenige eliphanten.",Lihat baris benjuwin utk konteks lengkap kalimat sumber
139,122,keberangkatan 12 Feb-2 Maret 1644,van_atjeh,swavel,"(agregat, tak dirinci per komoditas)",,,,armada asing kolektif (Gujarat/Masulipatnam/Kling/Pegu),"wech gevoert hadden partij benjuwin, campher, swavel, peeper, thin, gout, sandel ende paerden, neffens eenige eliphanten.",Lihat baris benjuwin utk konteks lengkap kalimat sumber
139,122,keberangkatan 12 Feb-2 Maret 1644,van_atjeh,peeper,"(agregat, tak dirinci per komoditas)",,,,armada asing kolektif (Gujarat/Masulipatnam/Kling/Pegu),"wech gevoert hadden partij benjuwin, campher, swavel, peeper, thin, gout, sandel ende paerden, neffens eenige eliphanten.",Lihat baris benjuwin utk konteks lengkap kalimat sumber
139,122,keberangkatan 12 Feb-2 Maret 1644,van_atjeh,thin,"(agregat, tak dirinci per komoditas)",,,,armada asing kolektif (Gujarat/Masulipatnam/Kling/Pegu),"wech gevoert hadden partij benjuwin, campher, swavel, peeper, thin, gout, sandel ende paerden, neffens eenige eliphanten.",Lihat baris benjuwin utk konteks lengkap kalimat sumber
139,122,keberangkatan 12 Feb-2 Maret 1644,van_atjeh,gout,"(agregat, tak dirinci per komoditas)",,,,armada asing kolektif (Gujarat/Masulipatnam/Kling/Pegu),"wech gevoert hadden partij benjuwin, campher, swavel, peeper, thin, gout, sandel ende paerden, neffens eenige eliphanten.",Lihat baris benjuwin utk konteks lengkap kalimat sumber
139,122,keberangkatan 12 Feb-2 Maret 1644,van_atjeh,sandel,"(agregat, tak dirinci per komoditas)",,,,armada asing kolektif (Gujarat/Masulipatnam/Kling/Pegu),"wech gevoert hadden partij benjuwin, campher, swavel, peeper, thin, gout, sandel ende paerden, neffens eenige eliphanten.",Lihat baris benjuwin utk konteks lengkap kalimat sumber
139,122,keberangkatan 12 Feb-2 Maret 1644,van_atjeh,paerden,"(agregat, tak dirinci per komoditas)",,,,armada asing kolektif (Gujarat/Masulipatnam/Kling/Pegu),"wech gevoert hadden partij benjuwin, campher, swavel, peeper, thin, gout, sandel ende paerden, neffens eenige eliphanten.",Lihat baris benjuwin utk konteks lengkap kalimat sumber
139,122,keberangkatan 12 Feb-2 Maret 1644,van_atjeh,eliphanten,"eenige (agregat, tak dirinci)",,,,armada asing kolektif (Gujarat/Masulipatnam/Kling/Pegu),"wech gevoert hadden partij benjuwin, campher, swavel, peeper, thin, gout, sandel ende paerden, neffens eenige eliphanten, dat gansschoone beesten geweest waeren.",Lihat baris benjuwin utk konteks lengkap kalimat sumber; teks memuji gajah 'gansschoone beesten'
