assay_id,period_or_batch,ore_weight_lb,assayer,mark,lood,grein,gulden,stuiver,penning,assay_type,evidence_status,source_document_id,source_passage_id,review_status
AS-001,1682-01,1250,Hoffman,20,1,15,735,9,2,monthly,,DOC-PROTOCOL-1682,,needs_folio_link
AS-002,1682-01,1250,Vogel,19,2,10,678,7,3,monthly,,DOC-PROTOCOL-1682,,needs_folio_link
AS-003,1682-02-02/07,334,Hoffman,3,12,2,139,15,1,weekly,,DOC-PROTOCOL-1682,,needs_folio_link
AS-004,1682-02-02/07,334,Vogel,3,12,1,131,12,15,weekly,,DOC-PROTOCOL-1682,,needs_folio_link
AS-005,1682-02-09/14,397,Hoffman,3,15,8,143,16,5,weekly,,DOC-PROTOCOL-1682,,needs_folio_link
AS-006,1682-02-09/14,397,Vogel,3,13,8,136,2,3,weekly,,DOC-PROTOCOL-1682,,needs_folio_link
AS-007,1682-03,4103,Hoffman,54,3,11,2195,8,6,monthly,,DOC-PROTOCOL-1682,,needs_folio_link
AS-008,1682-03,4103,Vogel,53,9,15,2184,13,12,monthly,,DOC-PROTOCOL-1682,,needs_folio_link
AS-009,1682-03-29/04-04,901,Hoffman,16,0,5,709,0,8,weekly,,DOC-PROTOCOL-1682,,needs_folio_link
AS-010,1682-03-29/04-04,901,Vogel,15,1,4,691,9,11,weekly,,DOC-PROTOCOL-1682,,needs_folio_link
AS-011,1682-04-12/18,982,Hoffman,12,7,,726,17,5,weekly,,DOC-PROTOCOL-1682,,needs_folio_link
AS-012,1682-04-12/18,982,Vogel,12,8,,692,18,2,weekly,,DOC-PROTOCOL-1682,,needs_folio_link
AS-013,1682-04-19/25,1149,Hoffman,13,13,0,629,14,11,weekly,,DOC-PROTOCOL-1682,,needs_folio_link
AS-014,1682-04-19/25,1149,Vogel,13,11,,623,17,5,weekly,,DOC-PROTOCOL-1682,,needs_folio_link
AS-015,through-1682-04-25,11171,Hoffman,151,9,17,6416,17,6,cumulative,,DOC-PROTOCOL-1682,,needs_folio_link
AS-016,through-1682-04-25,11171,Vogel,149,14,11,6378,14,4,cumulative,,DOC-PROTOCOL-1682,,needs_folio_link
AS-017,shipment-32-barrels,6574,Hoffman,104,12,6,5330,6,3,general_assay,,DOC-PROTOCOL-1682,,needs_folio_link
AS-018,shipment-32-barrels,6574,Vogel,106,13,3,5381,16,4,general_assay,,DOC-PROTOCOL-1682,,needs_folio_link
AS-019,additional-ore,1319,Hoffman,16,2,14,966,18,12,general_assay,,DOC-PROTOCOL-1682,,needs_folio_link
