person_id,name_canonical,entity_level,source_status,identity_confidence,notes,source_document_id,source_passage_id,evidence_status,review_status
P-OLITSCH,Benjamin Olitsch,individual,named_in_docx,0.95,,,,,
P-PLEIJTNER,Johan Pleijtner,individual,named_in_docx,0.95,,,,,
P-HOFFMAN,Johan Hoffman,individual,named_in_docx,0.95,,,,,
P-VOGEL,Johan Willem Vogel,individual,named_in_docx,0.95,,,,,
P-HESSE,Elias Hesse,individual,named_in_docx,0.95,,,,,
P-ROELINGH,Willem Roelingh,individual,named_in_docx,0.95,,,,,
P-VAN-LEENE,Joan van Leene,individual,named_in_docx,0.95,,,,,
P-DARBILO,Jürgen Darbilo,individual,named_in_docx,0.95,,,,,
P-GUNTJER,Michiel Guntjer,individual,named_in_docx,0.95,,,,,
P-REMER,Hans Remer,individual,named_in_docx,0.95,,,,,
P-SCHAFFER,Pieter Schaffer,individual,named_in_docx,0.95,,,,,
P-LANGE,Hans Jürgen Lange,individual,named_in_docx,0.95,,,,,
P-STREIJT,Christian Streijt,individual,named_in_docx,0.65,,,,,
P-EGLER,Jacob Egler,individual,named_in_docx,0.95,,,,,
P-ETTER,Andries Etter,individual,named_in_docx,0.95,,,,,
P-GIEBER,Gabriel Gieber,individual,named_in_docx,0.95,,,,,
P-CRENTSIGH,Christoffel Crentsigh,individual,named_in_docx,0.95,,,,,
P-SMIDT,Hendrick Smidt,individual,named_in_docx,0.95,,,,,
P-MERCKER,Pieter Mercker,individual,named_in_docx,0.95,,,,,
P-CAPHAARDT,Jürgen Caphaardt,individual,named_in_docx,0.95,,,,,
P-KELLER,Hans Ciliax Keller,individual,named_in_docx,0.95,,,,,
P-HINCKEL,Christoffel Hinckel,individual,named_in_docx,0.95,,,,,
P-MWIESNER,Michel Wiesner,individual,named_in_docx,0.95,,,,,
P-JWIESNER,Jürgen Wiesner,individual,named_in_docx,0.95,,,,,
P-BRETSNIJDER,Philip Jacob Bretsnijder,individual,named_in_docx,0.95,,,,,
P-COELOSSE,Roelof Coelosse,individual,named_in_docx,0.95,,,,,
P-ECKER,Hendrick Carl Ecker,individual,named_in_docx,0.95,,,,,
P-WEIJMER,Hendrick Weijmer,individual,named_in_docx,0.95,,,,,
P-ROCKMAN,Pieter Rockman,individual,named_in_docx,0.95,,,,,
P-GERRITSE,Dirck Gerritse,individual,named_in_docx,0.95,,,,,
P-WILLEMSE-SMIT,Emant Willemse,individual,named_in_docx,0.95,,,,,
P-CLAESSEN,Tobias Claessen,individual,named_in_docx,0.95,,,,,
P-HJANSEN,Harmen Jansen,individual,named_in_docx,0.95,,,,,
P-VILTMAN,Barent Viltman,individual,named_in_docx,0.95,,,,,
P-CJANSEN,Crijn Jansen,individual,named_in_docx,0.95,,,,,
P-STEVENSEN,Maurits Stevensen,individual,named_in_docx,0.95,,,,,
P-RADEMAECKER,Michel Rademaecker,individual,named_in_docx,0.95,,,,,
P-STOLTS,Jürgen Stolts,individual,named_in_docx,0.95,,,,,
P-WATSENBURG,Hans Joost Watsenburg,individual,named_in_docx,0.95,,,,,
P-STRELANT,Willem Strelant,individual,named_in_docx,0.95,,,,,
P-BROETHAGEN,Caspar Broethagen,individual,named_in_docx,0.95,,,,,
P-DWILLEMSE,David Willemse,individual,named_in_docx,0.95,,,,,
P-SJACOBSEN,Sijmon Jacobsen,individual,named_in_docx,0.95,,,,,
P-PIETER-VAN-RADEN,Pieter van Raden,individual,named_in_docx,0.95,,,,,
P-SCHILDT,Johan Frederick Schildt,individual,named_in_docx,0.95,,,,,
P-SCHATS,Gedion Schats,individual,named_in_docx,0.95,,,,,
P-HELBORT,Gabriel Helbort,individual,named_in_docx,0.95,,,,,
P-DE-BAAR,Jan de Baar,individual,named_in_docx,0.95,,,,,
P-PIETERSEN,Coenraed Pietersen,individual,named_in_docx,0.95,,,,,
P-CROON,Claes Croon,individual,named_in_docx,0.95,,,,,
