source_id,title,author,path,format,source_class,coverage_period,coverage_topic,already_used_in,verification_status,notes
PS-01,Het Painansch Contract,W.J.A. de Leeuw,docs/thesis/Het Painansch Contract.pdf,PDF,PUBLISHED_PRIMARY_OR_DOCUMENT_EDITION,1663,Painan treaty text and commentary,"Cited in audited plan (PLAN_PAINAN_INDRAPURA_GAME_THEORY_HAWKES_COUNTERFACTUAL_LAB.md refs 3, 19)",REQUIRES_FOLIO_OR_EDITION_CHECK,Genre (document edition vs. colonial synthesis) not bibliographically verified this turn; classified provisionally as a published document edition based on known title/genre only
PS-02,"Achehnese Control over West Sumatra up to the Treaty of Painan, 1663",J. Kathirithamby-Wells,docs/thesis/kathirithamby-wells1976.pdf,PDF,SECONDARY_SCHOLARSHIP,up to 1663,Aceh control over west coast prior to Painan treaty,Cited in audited plan (ref 19); already used in docs/thesis/pilot_annotation/PAINAN_1663_POWER_THEORY_PATRON_CLIENT_DEEP_DIVE.md,PATH_VERIFIED,Path confirmed present; content not opened this turn
PS-03,Corpus Diplomaticum / Daghregister volume 1,unidentified compiler,docs/cd/CD1.pdf,PDF,UNVERIFIED_REFERENCE,unidentified,no volume-to-topic index in repo,none confirmed,PATH_VERIFIED,"File present; bibliographic identity, edition, and topical coverage not confirmed this turn"
PS-04,Corpus Diplomaticum / Daghregister volume 2,unidentified compiler,docs/cd/CD2.pdf,PDF,UNVERIFIED_REFERENCE,unidentified,no volume-to-topic index in repo,none confirmed,PATH_VERIFIED,"File present; bibliographic identity, edition, and topical coverage not confirmed this turn"
PS-05,Corpus Diplomaticum / Daghregister volume 3,unidentified compiler,docs/cd/CD3.pdf,PDF,UNVERIFIED_REFERENCE,unidentified,no volume-to-topic index in repo,none confirmed,PATH_VERIFIED,"File present; bibliographic identity, edition, and topical coverage not confirmed this turn"
PS-06,Corpus Diplomaticum / Daghregister volume 4,unidentified compiler,docs/cd/CD4.pdf,PDF,UNVERIFIED_REFERENCE,unidentified,cited as source for Indrapura 1665/1686/1716 in INDERAPURA_EPISODE_DOSSIER_DRAFT.md; own bibliographic identity not confirmed this turn,docs/thesis/pilot_annotation/INDERAPURA_EPISODE_DOSSIER_DRAFT.md,PATH_VERIFIED,File present; cited elsewhere but this volume's own identity/edition not independently confirmed this turn
PS-07,Corpus Diplomaticum / Daghregister volume 5,unidentified compiler,docs/cd/CD5.pdf,PDF,UNVERIFIED_REFERENCE,unidentified,no volume-to-topic index in repo,none confirmed,PATH_VERIFIED,"File present; bibliographic identity, edition, and topical coverage not confirmed this turn"
PS-08,Corpus Diplomaticum / Daghregister volume 6,unidentified compiler,docs/cd/CD6.pdf,PDF,UNVERIFIED_REFERENCE,unidentified,no volume-to-topic index in repo,none confirmed,PATH_VERIFIED,"File present; bibliographic identity, edition, and topical coverage not confirmed this turn"
PS-09,Painan 1663 relational research artifact (coded actors/treaties/relations),"project-internal, schema_version per file",data/power_relations/painan_1663_relational_research_artifact.json,JSON,REPOSITORY_DERIVED_ARTIFACT,1663,"Existing coded Painan 1663 actors, treaties, and relations",research_prototypes/painan_1663_relational/; scripts/research_validators/validate_painan_1663_relational_artifact.py,FILE_VERIFIED,"Opened via Python (json.load) this turn; top-level keys confirmed: schema_version, case_id, status, generated_from, authorization_notice, actors, treaties, relations, vocabulary_notes"
PS-10,"Painan 1663 relational research artifact, V2.1-migrated",project-internal,data/power_relations/migrated_v2_1/painan_1663_relational_research_artifact_v2_1_migrated.json,JSON,REPOSITORY_DERIVED_ARTIFACT,1663,V2.1-ontology-migrated version of PS-09,docs/thesis/pilot_annotation/ATLAS_POWER_RELATION_V2_1_ARTIFACT_MIGRATION_AUDIT.md,PATH_VERIFIED,Path confirmed present; content not opened this turn
PS-11,Painan 1663 power-theory patron-client deep dive,project-internal,docs/thesis/pilot_annotation/PAINAN_1663_POWER_THEORY_PATRON_CLIENT_DEEP_DIVE.md,Markdown,REPOSITORY_DERIVED_ARTIFACT,1663,Patron-client theoretical framing of Painan treaty,none confirmed beyond itself,PATH_VERIFIED,Path confirmed present; content not opened this turn
PS-12,Painan 1663 game-theory working notes,project-internal,docs/thesis/colab/PAINAN_1663_GAME_THEORY_WORKING.csv,CSV,WORKING_RESEARCH_DATA,1663,Prior working game-theory framing of Painan treaty,none confirmed beyond itself,PATH_VERIFIED,Path confirmed present; content not opened this turn
PS-13,Painan 1663 patron-client working notes,project-internal,docs/thesis/colab/PAINAN_1663_PATRON_CLIENT_WORKING.csv,CSV,WORKING_RESEARCH_DATA,1663,Prior working patron-client framing of Painan treaty,none confirmed beyond itself,PATH_VERIFIED,Path confirmed present; content not opened this turn
PS-14,Painan 1663 power causal-hypothesis matrix,project-internal,docs/thesis/colab/PAINAN_1663_POWER_CAUSAL_HYPOTHESIS_MATRIX.csv,CSV,WORKING_RESEARCH_DATA,1663,Prior working causal-hypothesis matrix for Painan treaty,none confirmed beyond itself,PATH_VERIFIED,Path confirmed present; content not opened this turn
PS-15,Painan 1663 power-theory working notes,project-internal,docs/thesis/colab/PAINAN_1663_POWER_THEORY_WORKING.csv,CSV,WORKING_RESEARCH_DATA,1663,Prior working power-theory notes for Painan treaty,none confirmed beyond itself,PATH_VERIFIED,Path confirmed present; content not opened this turn
PS-16,Painan Tractaat 1663 causal-hermeneutic working notes,project-internal,docs/thesis/colab/PAINAN_TRACTAAT_1663_CAUSAL_HERMENEUTIC_WORKING.csv,CSV,WORKING_RESEARCH_DATA,1663,Prior working causal-hermeneutic notes for Painan treaty,none confirmed beyond itself,PATH_VERIFIED,Path confirmed present; content not opened this turn
PS-17,1662 Batangkapas antecedent,not yet identified,NONE,unknown,UNVERIFIED_REFERENCE,1662,"Batangkapas antecedent to the Painan treaty; cited as required scope in audited plan Phase G1, but no specific document reference exists yet, bibliographic or otherwise",none,UNVERIFIED,"No bibliographic reference at all exists for this item yet, distinct from a source that is cited but merely not locally copied"
