edge_source,edge_target,edge_set,dependency_rationale
R-O2,R-O1,INSTRUCTION_MINIMUM,"Report-event mapping cardinality cannot be assessed until the event-unit construct itself (R-O1) is computable."
R-O3,R-O1,INSTRUCTION_MINIMUM,"Parent-episode membership correctness presupposes a resolved definition of what one event is."
R-O4,R-O1,INSTRUCTION_MINIMUM,"The primary-set dedup-cleanliness question (is this row a duplicate event) presupposes a resolved event-unit construct."
R-O5,R-O1,INSTRUCTION_MINIMUM,"Interval-bound construction per event presupposes the event being bounded is itself well-defined."
R-O7,R-O6,INSTRUCTION_MINIMUM,"Literal source-term to project-category mapping (R-O7) requires the actor/action/outcome layer (R-O6) to know what, specifically, a category label is describing."
R-O8,R-O9,INSTRUCTION_MINIMUM,"Exposure-candidate validity (R-O9) depends on observation/survival/access process readiness (R-O8); an exposure measure cannot be judged externally valid while the processes generating the underlying archival counts are themselves unresolved."
R-O1,R-O10,INSTRUCTION_MINIMUM,"Comparator feasibility (R-O10, O-component) requires event-unit ontology compatibility."
R-O5,R-O10,INSTRUCTION_MINIMUM,"Comparator feasibility (R-O10, T-component) requires usable date semantics."
R-O8,R-O10,INSTRUCTION_MINIMUM,"Comparator feasibility depends indirectly on observation-process readiness via R-O9."
R-O9,R-O10,INSTRUCTION_MINIMUM,"Comparator feasibility (R-O10, E-component) requires a non-circular exposure candidate."
G_sourcecrit,G_reconsider,INSTRUCTION_MINIMUM,"Reconsideration gate requires the source-criticism compound gate to hold."
G_ontology,G_reconsider,INSTRUCTION_MINIMUM,"Reconsideration gate requires the ontology compound gate to hold."
R-O4,R-O3,ADDITIONAL_THIS_OPERATION,"DEDUP-06's resolvability is bounded by parent-episode/dedup-audit evidence quality (R-O3 correctness); grounded in HAWKES_BASELINE_V2_DUPLICATE_CORROBORATION_RELATIONS.csv's dedup06_* columns sitting alongside parent_episode_id assignments."
G_ontology,R-O2,ADDITIONAL_THIS_OPERATION,"M_report component of G_ontology is defined directly on R-O2's genuine report-event relation; grounded in the gate matrix's G_ontology_future row (M_report traces to R-O2's demonstrably absent schema field)."
G_ontology,R-O7,ADDITIONAL_THIS_OPERATION,"M_coding/M_source components of G_ontology trace to R-O7's unmapped colonial categories; grounded in the same gate matrix row."
G_sourcecrit,R-O7,ADDITIONAL_THIS_OPERATION,"G_sourcecrit's gate_indicator=0 is directly and solely attributed to R-O7's incomplete mapping (0/5 categories) in the source gate matrix's own evidence_summary."
R-O10,G_reconsider,ADDITIONAL_THIS_OPERATION,"G_reconsider's definition (Section 20 of the governing instruction) requires Q_R-O1..Q_R-O10 all PASS; R-O10 is therefore a direct, not only indirect, input."
