source_id,frozen_citation,source_type,identity_status,authority_status,methodological_scope,exact_location,proposed_decision_use,scope_gate,verification_status,limitations,requires_researcher_review,notes
SRC-08,WorldCat (OCLC) - library catalogue aggregator,library_catalogue,"VERIFIED (S1-B1: worldcat.org / oclc.org, official identity confirmed)","VERIFIED (recognized library-holdings aggregator, well-established authority type)",PARTIALLY_VERIFIED - S1-B1 verified single-item public catalogue lookup only; bulk literature-search export/query behavior for SLR use was never tested or documented,https://www.oclc.org/developer/api/oclc-apis/worldcat-search-api.en.html; https://www.oclc.org/developer/support/worldcat-search-transition.en.html (captured 2026-09-05 per S1-B1 audit),SLR-DEC-05 (candidate corroboration-tier source),0,SCOPE_PARTIALLY_VERIFIED,"credentialed WorldCat Search API is blocked (no credentials authorized); only the public human-readable catalogue is admissible, which may not support the export/volume needs of a systematic review search",YES,identity/authority/provenance carry over cleanly from S1-B1; SLR-specific bulk-search suitability does not and requires separate verification
SRC-12,Google Scholar - general scholarly discovery index,search_engine,"VERIFIED (S1-B1: scholar.google.com, official ToS confirmed)","VERIFIED (as a discovery-only aid, not a bibliographic authority - role explicitly bounded, not claimed as more)","VERIFIED - S1-B1's verified role (manual, discovery-only, never sole authority) is IDENTICAL to this SLR's own intended use of Google Scholar (protocol Sec.5: search engines may support discovery but must not be the sole bibliographic authority); no new use-case gap exists",https://policies.google.com/terms?hl=en-US (captured 2026-09-05 per S1-B1 audit),"SLR-DEC-05 (discovery-only candidate, matches SRC-12's already-verified role exactly)",1,SCOPE_VERIFIED,manual human search only; no automation of any kind (robots.txt-enforced); cannot independently confirm any record's inclusion,NO,"the only one of the 13 candidates whose S1-B1-verified role transfers to SLR use without a use-case gap, because the role (discovery-only, manual) is identical in both contexts"
SRC-13,Crossref - DOI registration/metadata REST API,persistent_identifier_authority,"VERIFIED (S1-B1: crossref.org / api.crossref.org, official identity confirmed)",VERIFIED (recognized DOI registration authority),PARTIALLY_VERIFIED - S1-B1 verified single-DOI/record metadata lookup only; whether the REST API's search/filter parameters support systematic-review-style bulk querying (e.g. subject/date-range querying at scale) was never tested or documented,https://www.crossref.org/documentation/retrieve-metadata/rest-api/access-and-authentication/; https://github.com/CrossRef/rest-api-doc (captured 2026-09-05 per S1-B1 audit),SLR-DEC-05 (candidate confirmation-tier source for DOI-bearing modern scholarship),0,SCOPE_PARTIALLY_VERIFIED,confirmed relevant only to DOI-bearing modern scholarship (per S1-B1's own finding); pre-DOI-era or non-DOI humanities scholarship (much of domains C1/C3) falls outside this source's confirmed scope entirely,YES,identity/authority/provenance carry over cleanly; SLR-specific bulk-query behavior does not and requires separate verification
SRC-01,Scopus - multidisciplinary citation index,multidisciplinary_citation_index,NOT_INDEPENDENTLY_VERIFIED_THIS_SESSION,NOT_INDEPENDENTLY_VERIFIED_THIS_SESSION,NOT_ASSESSED - no captured evidence available,NONE_CAPTURED,SLR-DEC-05 (candidate confirmation-tier source),0,SOURCE_ACCESS_BLOCKED,"no official documentation, terms, API description, or access-model confirmation has been captured for this source under this review's scope; SLR_SEARCH_SOURCE_REGISTRY.csv's existing entry reflects unverified background assertion only",YES,"No previously-captured, network-verified evidence exists for this source. This source was never accessed by the prior S1-B1 provider-verification work (which covered only WorldCat, Google Scholar, and Crossref). Its entry in SLR_SEARCH_SOURCE_REGISTRY.csv reflects background knowledge asserted during SLR planning, not independently verified official documentation. Per this turn's explicit prohibition on new database/web verification, this source is marked SOURCE_ACCESS_BLOCKED rather than browsed."
SRC-02,Web of Science Core Collection - multidisciplinary citation index,multidisciplinary_citation_index,NOT_INDEPENDENTLY_VERIFIED_THIS_SESSION,NOT_INDEPENDENTLY_VERIFIED_THIS_SESSION,NOT_ASSESSED - no captured evidence available,NONE_CAPTURED,SLR-DEC-05 (candidate confirmation-tier source),0,SOURCE_ACCESS_BLOCKED,"no official documentation, terms, API description, or access-model confirmation has been captured for this source under this review's scope; SLR_SEARCH_SOURCE_REGISTRY.csv's existing entry reflects unverified background assertion only",YES,"No previously-captured, network-verified evidence exists for this source. This source was never accessed by the prior S1-B1 provider-verification work (which covered only WorldCat, Google Scholar, and Crossref). Its entry in SLR_SEARCH_SOURCE_REGISTRY.csv reflects background knowledge asserted during SLR planning, not independently verified official documentation. Per this turn's explicit prohibition on new database/web verification, this source is marked SOURCE_ACCESS_BLOCKED rather than browsed."
SRC-03,JSTOR - humanities bibliography,humanities_bibliography,NOT_INDEPENDENTLY_VERIFIED_THIS_SESSION,NOT_INDEPENDENTLY_VERIFIED_THIS_SESSION,NOT_ASSESSED - no captured evidence available,NONE_CAPTURED,"SLR-DEC-05 (candidate confirmation-tier source, especially for domain C3)",0,SOURCE_ACCESS_BLOCKED,"no official documentation, terms, API description, or access-model confirmation has been captured for this source under this review's scope; SLR_SEARCH_SOURCE_REGISTRY.csv's existing entry reflects unverified background assertion only",YES,"No previously-captured, network-verified evidence exists for this source. This source was never accessed by the prior S1-B1 provider-verification work (which covered only WorldCat, Google Scholar, and Crossref). Its entry in SLR_SEARCH_SOURCE_REGISTRY.csv reflects background knowledge asserted during SLR planning, not independently verified official documentation. Per this turn's explicit prohibition on new database/web verification, this source is marked SOURCE_ACCESS_BLOCKED rather than browsed."
SRC-04,Project MUSE - humanities bibliography,humanities_bibliography,NOT_INDEPENDENTLY_VERIFIED_THIS_SESSION,NOT_INDEPENDENTLY_VERIFIED_THIS_SESSION,NOT_ASSESSED - no captured evidence available,NONE_CAPTURED,SLR-DEC-05 (candidate confirmation-tier source),0,SOURCE_ACCESS_BLOCKED,"no official documentation, terms, API description, or access-model confirmation has been captured for this source under this review's scope; SLR_SEARCH_SOURCE_REGISTRY.csv's existing entry reflects unverified background assertion only",YES,"No previously-captured, network-verified evidence exists for this source. This source was never accessed by the prior S1-B1 provider-verification work (which covered only WorldCat, Google Scholar, and Crossref). Its entry in SLR_SEARCH_SOURCE_REGISTRY.csv reflects background knowledge asserted during SLR planning, not independently verified official documentation. Per this turn's explicit prohibition on new database/web verification, this source is marked SOURCE_ACCESS_BLOCKED rather than browsed."
SRC-05,ACM Digital Library - publisher database,publisher_database,NOT_INDEPENDENTLY_VERIFIED_THIS_SESSION,NOT_INDEPENDENTLY_VERIFIED_THIS_SESSION,NOT_ASSESSED - no captured evidence available,NONE_CAPTURED,SLR-DEC-05 (candidate confirmation-tier source),0,SOURCE_ACCESS_BLOCKED,"no official documentation, terms, API description, or access-model confirmation has been captured for this source under this review's scope; SLR_SEARCH_SOURCE_REGISTRY.csv's existing entry reflects unverified background assertion only",YES,"No previously-captured, network-verified evidence exists for this source. This source was never accessed by the prior S1-B1 provider-verification work (which covered only WorldCat, Google Scholar, and Crossref). Its entry in SLR_SEARCH_SOURCE_REGISTRY.csv reflects background knowledge asserted during SLR planning, not independently verified official documentation. Per this turn's explicit prohibition on new database/web verification, this source is marked SOURCE_ACCESS_BLOCKED rather than browsed."
SRC-06,"arXiv (stat, cs.CL, physics.soc-ph) - preprint repository",preprint_repository,NOT_INDEPENDENTLY_VERIFIED_THIS_SESSION,NOT_INDEPENDENTLY_VERIFIED_THIS_SESSION,NOT_ASSESSED - no captured evidence available,NONE_CAPTURED,SLR-DEC-05 (candidate corroboration-tier source),0,SOURCE_ACCESS_BLOCKED,"no official documentation, terms, API description, or access-model confirmation has been captured for this source under this review's scope; SLR_SEARCH_SOURCE_REGISTRY.csv's existing entry reflects unverified background assertion only",YES,"No previously-captured, network-verified evidence exists for this source. This source was never accessed by the prior S1-B1 provider-verification work (which covered only WorldCat, Google Scholar, and Crossref). Its entry in SLR_SEARCH_SOURCE_REGISTRY.csv reflects background knowledge asserted during SLR planning, not independently verified official documentation. Per this turn's explicit prohibition on new database/web verification, this source is marked SOURCE_ACCESS_BLOCKED rather than browsed."
SRC-07,SocArXiv / OSF Preprints - preprint repository,preprint_repository,NOT_INDEPENDENTLY_VERIFIED_THIS_SESSION,NOT_INDEPENDENTLY_VERIFIED_THIS_SESSION,NOT_ASSESSED - no captured evidence available,NONE_CAPTURED,SLR-DEC-05 (candidate corroboration-tier source),0,SOURCE_ACCESS_BLOCKED,"no official documentation, terms, API description, or access-model confirmation has been captured for this source under this review's scope; SLR_SEARCH_SOURCE_REGISTRY.csv's existing entry reflects unverified background assertion only",YES,"No previously-captured, network-verified evidence exists for this source. This source was never accessed by the prior S1-B1 provider-verification work (which covered only WorldCat, Google Scholar, and Crossref). Its entry in SLR_SEARCH_SOURCE_REGISTRY.csv reflects background knowledge asserted during SLR planning, not independently verified official documentation. Per this turn's explicit prohibition on new database/web verification, this source is marked SOURCE_ACCESS_BLOCKED rather than browsed."
SRC-09,Digital Humanities Quarterly (DHQ) - publisher database,publisher_database,NOT_INDEPENDENTLY_VERIFIED_THIS_SESSION,NOT_INDEPENDENTLY_VERIFIED_THIS_SESSION,NOT_ASSESSED - no captured evidence available,NONE_CAPTURED,"SLR-DEC-05 (candidate confirmation-tier source, domain C1)",0,SOURCE_ACCESS_BLOCKED,"no official documentation, terms, API description, or access-model confirmation has been captured for this source under this review's scope; SLR_SEARCH_SOURCE_REGISTRY.csv's existing entry reflects unverified background assertion only",YES,"No previously-captured, network-verified evidence exists for this source. This source was never accessed by the prior S1-B1 provider-verification work (which covered only WorldCat, Google Scholar, and Crossref). Its entry in SLR_SEARCH_SOURCE_REGISTRY.csv reflects background knowledge asserted during SLR planning, not independently verified official documentation. Per this turn's explicit prohibition on new database/web verification, this source is marked SOURCE_ACCESS_BLOCKED rather than browsed."
SRC-10,KITLV / Brill catalogue - publisher database,publisher_database,NOT_INDEPENDENTLY_VERIFIED_THIS_SESSION,NOT_INDEPENDENTLY_VERIFIED_THIS_SESSION,NOT_ASSESSED - no captured evidence available,NONE_CAPTURED,"SLR-DEC-05 (candidate confirmation-tier source, domains C3/C6)",0,SOURCE_ACCESS_BLOCKED,"no official documentation, terms, API description, or access-model confirmation has been captured for this source under this review's scope; SLR_SEARCH_SOURCE_REGISTRY.csv's existing entry reflects unverified background assertion only",YES,"No previously-captured, network-verified evidence exists for this source. This source was never accessed by the prior S1-B1 provider-verification work (which covered only WorldCat, Google Scholar, and Crossref). Its entry in SLR_SEARCH_SOURCE_REGISTRY.csv reflects background knowledge asserted during SLR planning, not independently verified official documentation. Per this turn's explicit prohibition on new database/web verification, this source is marked SOURCE_ACCESS_BLOCKED rather than browsed."
SRC-11,"Institutional repositories (SOAS Research Online, university theses repositories)",institutional_repository,NOT_INDEPENDENTLY_VERIFIED_THIS_SESSION,NOT_INDEPENDENTLY_VERIFIED_THIS_SESSION,NOT_ASSESSED - no captured evidence available,NONE_CAPTURED,SLR-DEC-05 (candidate discovery-only source for grey literature/theses),0,SOURCE_ACCESS_BLOCKED,"no official documentation, terms, API description, or access-model confirmation has been captured for this source under this review's scope; SLR_SEARCH_SOURCE_REGISTRY.csv's existing entry reflects unverified background assertion only",YES,"No previously-captured, network-verified evidence exists for this source. This source was never accessed by the prior S1-B1 provider-verification work (which covered only WorldCat, Google Scholar, and Crossref). Its entry in SLR_SEARCH_SOURCE_REGISTRY.csv reflects background knowledge asserted during SLR planning, not independently verified official documentation. Per this turn's explicit prohibition on new database/web verification, this source is marked SOURCE_ACCESS_BLOCKED rather than browsed."
